Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency
1575662228212,2500.002,fe:b4:22:9b:20:73,90.00B,90.00B,4.60820198059082e-06,4.857254028320313e-06
1575662228211,2500.002,1a:ba:a5:fa:b6:05,90.00B,90.00B,4.562950134277344e-06,4.913187026977539e-06
1575662228206,2500.008,66:e6:e5:e1:7a:54,90.00B,90.00B,4.533529281616211e-06,4.410076141357422e-06
1575662228208,2500.0,ae:fe:50:90:b6:74,90.00B,90.00B,4.765987396240234e-06,4.614782333374023e-06
1575662228215,2500.002,0a:55:50:49:04:fd,90.00B,90.00B,4.575872421264648e-06,4.9045085906982425e-06
1575662228206,2500.002,1a:73:5f:74:c5:be,90.00B,90.00B,4.565048217773438e-06,4.8768520355224605e-06
1575662228214,2500.0,7a:80:53:6f:6c:fc,90.00B,90.00B,4.647064208984375e-06,4.726314544677734e-06
1575662228209,2500.002,da:91:12:c7:ff:28,90.00B,90.00B,4.49223518371582e-06,4.961395263671875e-06
1575662228206,2500.002,66:d8:24:c2:e7:02,90.00B,90.00B,4.645347595214844e-06,4.928064346313476e-06
1575662228212,2500.002,d6:a9:b9:56:a8:d9,90.00B,90.00B,4.571104049682617e-06,4.856538772583008e-06
1575662228214,2500.002,22:44:8c:df:64:72,90.00B,90.00B,4.705572128295898e-06,4.934930801391601e-06
1575662228205,2500.008,f2:10:15:81:47:c1,90.00B,176.00B,4.5523166656494145e-06,4.442834854125976e-06
1575662228206,2500.006,66:33:17:c1:c2:31,90.00B,90.00B,4.674482345581055e-06,4.868078231811523e-06
1575662228214,2500.002,b2:5c:94:79:ef:e9,90.00B,90.00B,4.6198844909667965e-06,4.793310165405274e-06
1575662228212,2500.002,f6:5a:2f:ae:57:57,90.00B,90.00B,4.702472686767578e-06,4.940462112426758e-06
1575662228238,2500.008,4a:25:55:d6:ea:24,90.00B,176.00B,4.3895244598388675e-06,4.3689727783203124e-06
1575662228200,2500.002,da:0f:5f:69:76:66,90.00B,90.00B,5.344390869140625e-06,4.942846298217773e-06
1575662228218,2500.008,22:72:3a:bf:ea:47,90.00B,90.00B,4.673671722412109e-06,4.765033721923828e-06
1575662228223,2500.0,8e:16:60:d5:81:6d,90.00B,90.00B,4.7061920166015626e-06,4.767370223999023e-06
1575662228240,2500.0,06:87:3a:b7:5c:85,90.00B,90.00B,4.686832427978516e-06,4.699468612670898e-06
1575662228242,2500.006,f2:f1:e4:52:20:a6,90.00B,90.00B,4.636049270629883e-06,4.525661468505859e-06
1575662228219,2500.008,fe:64:d4:14:d4:4e,90.00B,90.00B,4.674959182739258e-06,4.716300964355469e-06
1575662228212,2500.008,2e:cb:42:11:bb:d9,176.00B,180.00B,4.851055145263672e-06,4.798603057861328e-06
1575662228205,2500.002,fe:0d:63:d2:7f:fb,90.00B,90.00B,4.822731018066407e-06,5.017995834350586e-06
1575662228209,2500.0,2e:e3:aa:16:04:6d,90.00B,90.00B,4.670333862304687e-06,4.588413238525391e-06
1575662228211,2500.006,92:2f:5b:b5:69:4a,90.00B,90.00B,4.736328125e-06,4.577398300170899e-06
1575662228206,2500.006,26:62:99:18:5f:78,90.00B,90.00B,4.849290847778321e-06,4.914569854736328e-06
1575662228207,2500.006,16:76:19:d0:2d:02,90.00B,90.00B,4.783391952514648e-06,5.303192138671875e-06
1575662228206,2500.002,32:53:14:ff:21:a5,90.00B,90.00B,4.722309112548828e-06,4.9530029296875e-06
1575662228213,2500.002,a6:4f:54:44:fb:22,90.00B,90.00B,4.687356948852539e-06,5.5630207061767574e-06
1575662228206,2500.002,3e:a5:5d:46:48:b1,90.00B,176.00B,4.712152481079101e-06,4.607582092285157e-06
1575662228235,2500.008,ce:d7:12:a3:1e:ba,90.00B,90.00B,4.606914520263672e-06,4.38394546508789e-06
1575662228212,2500.006,d6:6d:65:d7:81:f1,90.00B,90.00B,4.628181457519531e-06,4.786252975463867e-06
1575662228214,2500.008,3a:bb:64:14:25:8e,180.00B,90.00B,4.722833633422852e-06,4.656028747558594e-06
1575662228215,2500.008,66:21:6c:52:59:9f,90.00B,90.00B,4.730224609375e-06,4.88886833190918e-06
1575662228245,2500.006,52:e2:64:4c:90:3f,90.00B,90.00B,4.797792434692383e-06,4.705667495727539e-06
1575662228239,2500.0,42:f2:9c:b7:8d:35,90.00B,90.00B,4.681539535522461e-06,4.746580123901367e-06
1575662228220,2500.0,66:a4:8b:f4:42:71,90.00B,90.00B,4.739713668823242e-06,4.783821105957032e-06
1575662228212,2500.008,4a:da:f6:dc:86:63,90.00B,90.00B,4.785299301147461e-06,4.917621612548828e-06
1575662228215,2500.002,5e:c9:47:57:d3:07,90.00B,90.00B,4.623794555664062e-06,4.878568649291992e-06
1575662228211,2500.002,6a:5a:a0:b8:5e:61,90.00B,90.00B,4.659223556518555e-06,4.9710273742675785e-06
1575662228239,2500.008,7e:6c:ec:a8:4d:e0,90.00B,90.00B,4.527425765991211e-06,4.370355606079102e-06
1575662228232,2500.0,ee:b3:a3:7d:d0:da,90.00B,90.00B,4.327249526977539e-06,4.445648193359375e-06
1575662228234,2500.0,6a:b1:2a:f8:f1:77,90.00B,90.00B,4.614067077636718e-06,4.7053813934326175e-06
1575662228289,2500.002,2e:c0:e4:eb:c9:90,90.00B,90.00B,4.1778564453125e-06,4.246044158935547e-06
