Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,First Iteration,Rdrand Latency,Rdrand Stdev,Contention Rdrand Latency,Contention Rdrand Stdev,Total Latency,Boot ID,Elapsed Time
1575937417820,2500.012,06:6e:f6:2e:ed:aa,90.00B,90.00B,5.4775896072387695,2.3688316345214842e-05,3.1680920290568588e-06,2.348170280456543e-05,2.8079396176198975e-06,-2.0661354064941195e-07,47445afe-0015-4b2c-8e2e-a3a45cf8ecfe,1558757651
1575937417846,2500.008,1a:68:03:ad:bc:a3,90.00B,90.00B,5.475261211395264,2.3565196990966798e-05,2.7740137101256963e-06,2.334613800048828e-05,1.876736190406903e-06,-2.190589904785167e-07,2953b9de-506b-46cb-961a-c674f786823e,1558757566
1575937417848,2500.012,46:5b:4c:fc:de:19,90.00B,90.00B,5.476956367492676,2.4568748474121094e-05,1.0905557886484864e-05,2.3638248443603516e-05,3.86231011803999e-06,-9.305000305175779e-07,c707cab4-a26e-4e61-8419-becdb84539e0,1558757652
1575937417840,2500.008,da:96:36:3e:1c:02,90.00B,90.00B,5.471247911453247,2.395954132080078e-05,2.296337457199889e-06,2.4027347564697267e-05,3.1310851236923833e-06,6.780624389648559e-08,8bc5af94-f19c-485e-b14a-411814fc6060,1558757565
1575937417835,2500.01,6a:5d:73:ab:66:40,90.00B,90.00B,5.480540752410889,2.4101781845092772e-05,3.3533149605834988e-06,2.4169349670410155e-05,2.529050600284304e-06,6.756782531738289e-08,f4c61efb-e037-429c-b8fa-ce3fca571d60,1558757588
1575937417872,2500.01,92:ea:d0:a1:56:34,90.00B,90.00B,5.460664749145508,2.3930215835571288e-05,4.36894753411451e-06,2.35506534576416e-05,3.539214827404014e-06,-3.795623779296872e-07,7ac8bba3-def1-4654-9b0c-f756a5d1dc0c,1558757651
1575937417840,2500.002,66:54:34:1d:dd:7a,90.00B,90.00B,5.476970672607422,2.4376773834228516e-05,3.4294077267313067e-06,2.4516868591308593e-05,3.4005694117391356e-06,1.4009475708007688e-07,7d78ecfc-914e-46b7-ba69-12f645c48dce,1558757597
1575937417881,2500.012,fa:f8:6e:22:86:9e,90.00B,90.00B,5.47376561164856,2.4353218078613282e-05,3.0486990764450436e-06,2.3614120483398436e-05,2.9697330850482434e-06,-7.390975952148458e-07,8936658b-a492-496e-be2f-3c325a98332f,1558757652
1575937417873,2500.002,f6:36:c0:b4:72:e2,90.00B,90.00B,5.481876850128174,2.443509101867676e-05,3.2987771414729125e-06,2.4447011947631837e-05,4.125289215387723e-06,1.1920928955077447e-08,cdac08ea-4887-4edf-9fc1-e5a81d473fbd,1558757598
1575937417881,2500.01,8e:20:01:8d:ea:9e,90.00B,90.00B,5.467521667480469,2.41239070892334e-05,2.561740796713293e-06,2.392559051513672e-05,2.2105845121365275e-06,-1.9831657409667997e-07,680ffaf0-0c65-4d50-bef2-1329421d0cb2,1558757589
1575937417865,2500.01,b6:9d:4b:e1:22:b8,90.00B,90.00B,5.4768126010894775,2.4376487731933595e-05,3.654609477408044e-06,2.4085330963134764e-05,2.6817973699573408e-06,-2.911567687988306e-07,8862d1ec-4c7e-4ff8-84e6-0312b48ae418,1558757639
1575937417916,2500.008,b2:65:42:41:76:ee,90.00B,90.00B,5.460853338241577,2.3308324813842775e-05,3.7447551767317515e-06,2.3495054244995117e-05,2.992922045140532e-06,1.8672943115234224e-07,0bc700dc-8920-45e6-b7b8-e8566fa86007,1558757566
1575937417871,2500.01,72:fe:d5:7f:57:50,90.00B,90.00B,5.48294997215271,2.42276668548584e-05,3.0031975177997377e-06,2.4279403686523438e-05,4.471710609899646e-06,5.1736831665038764e-08,2bc1e1fd-75b0-4746-b175-3c2fc26a5906,1558757641
1575937417932,2500.01,aa:58:c2:26:33:d0,90.00B,90.00B,5.462810754776001,2.3789787292480468e-05,2.4773318938772152e-06,2.3590803146362305e-05,3.7902130916371004e-06,-1.989841461181628e-07,7e1e0e9e-52cc-4829-85e6-c870095c79c5,1558757651
1575937417902,2500.01,26:5e:9f:41:2f:f2,90.00B,90.00B,5.4637839794158936,2.400689125061035e-05,3.0736797056500295e-06,2.4306535720825195e-05,3.3350245525051077e-06,2.9964447021484336e-07,a996a741-5424-4687-b3d4-de187610bbd8,1558757589
1575937417907,2500.012,5a:6b:85:2e:56:9b,90.00B,90.00B,5.482614755630493,2.4567127227783204e-05,4.278246090825916e-06,2.4207735061645507e-05,3.8109485435405153e-06,-3.593921661376963e-07,60bf6321-fa3a-4ef7-8dd1-cb95dec1d7b4,1558757659
1575937417891,2500.01,1a:52:dc:99:4e:16,90.00B,90.00B,5.503294944763184,2.3976945877075194e-05,4.260879824910948e-06,2.492990493774414e-05,7.729672952575987e-05,9.529590606689453e-07,1e3d9bd1-b41f-4a83-97cd-9c3723da8d82,1558757651
1575937417862,2500.01,9e:40:77:35:ae:d6,90.00B,90.00B,5.502227783203125,2.4524164199829102e-05,4.510767932920203e-06,2.5292301177978517e-05,5.166891700805547e-06,7.681369781494145e-07,120b94b7-68e3-486c-9182-07341cf51262,1558757650
1575937417871,2499.996,96:bf:86:8b:0c:5f,90.00B,90.00B,5.528929233551025,2.554926872253418e-05,5.373614944380873e-06,2.495894432067871e-05,4.97532175138957e-06,-5.903244018554685e-07,3c90fc6e-dc87-479a-99fc-4d378910a273,1558757651
1575937417949,2500.012,ba:3e:1c:01:b9:66,90.00B,90.00B,5.486894130706787,2.454195022583008e-05,5.385854149429377e-06,2.4307584762573243e-05,4.060253927605161e-06,-2.3436546325683691e-07,a1d259d2-0707-4f8a-8301-658b754295ce,1558757663
1575937417875,2499.996,2a:ba:a7:87:2e:63,90.00B,90.00B,5.5231945514678955,2.765212059020996e-05,0.0001993428429745493,2.449054718017578e-05,6.248747790874469e-06,-3.161573410034179e-06,a5c1113c-b3c4-46b4-af14-37fe78ebf3ef,1558757636
1575937417923,2500.012,26:27:84:70:56:a9,90.00B,90.00B,5.492089509963989,2.4517822265625e-05,5.079585039456088e-06,2.5936269760131835e-05,0.00010485779310523169,1.4184474945068353e-06,de31cbad-ca7c-4851-8d2a-163931a5cadc,1558757662
1575937417842,2500.01,26:b5:6c:7b:cc:ad,176.00B,90.00B,5.5673346519470215,2.596149444580078e-05,1.2769352083823726e-05,2.5862884521484374e-05,2.5029173827033653e-05,-9.860992431640682e-08,6046e2c6-9fbd-4d28-a3a3-25b2aa117b4e,1558757291
