Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575688825152,2500.012,ce:f1:7f:4d:74:1b,90.00B,90.00B,4.287528991699219e-06,4.079771041870117e-06,-2.0775794982910187e-07
1575688825198,2500.008,ee:87:63:13:ad:39,90.00B,90.00B,4.311943054199219e-06,4.120731353759766e-06,-1.9121170043945303e-07
1575688825150,2500.01,4a:db:8c:e6:fd:8b,180.00B,90.00B,4.937171936035156e-06,5.035209655761719e-06,9.803771972656271e-08
1575688825142,2500.0,9e:81:3e:ff:60:12,90.00B,90.00B,4.803180694580078e-06,4.5628070831298825e-06,-2.4037361145019584e-07
1575688825179,2500.002,c6:85:ba:6d:a3:90,90.00B,176.00B,4.814863204956055e-06,4.697513580322266e-06,-1.1734962463378916e-07
1575688825170,2500.01,f6:d7:7a:38:92:a8,90.00B,90.00B,4.901456832885742e-06,4.744529724121093e-06,-1.5692710876464862e-07
1575688825191,2500.008,5e:ca:78:54:5f:c0,90.00B,90.00B,4.41741943359375e-06,4.572391510009766e-06,1.5497207641601613e-07
1575688825213,2500.012,06:d0:ef:bc:d6:83,90.00B,90.00B,4.397296905517578e-06,4.2001724243164066e-06,-1.9712448120117155e-07
1575688825145,2500.002,06:1a:0b:14:df:2a,90.00B,90.00B,5.373907089233398e-06,4.6093940734863285e-06,-7.645130157470699e-07
1575688825191,2500.002,9e:68:0f:b2:11:fd,90.00B,90.00B,4.80494499206543e-06,4.813098907470703e-06,8.153915405273069e-09
1575688825189,2500.01,6a:41:de:69:d4:2e,90.00B,90.00B,4.525423049926758e-06,4.56247329711914e-06,3.7050247192382014e-08
1575688825200,2500.006,16:fe:39:25:93:93,90.00B,90.00B,4.58369255065918e-06,4.792261123657227e-06,2.0856857299804699e-07
1575688825170,2500.002,5e:eb:9e:7d:30:fc,90.00B,90.00B,4.6359539031982425e-06,4.766321182250976e-06,1.3036727905273378e-07
1575688825133,2500.0,46:27:1d:9a:84:e7,180.00B,90.00B,5.007171630859375e-06,5.278539657592774e-06,2.713680267333987e-07
1575688825193,2500.008,36:2e:14:fb:0c:ad,90.00B,176.00B,4.449796676635742e-06,4.584932327270508e-06,1.3513565063476578e-07
1575688825140,2500.01,56:41:d8:e1:5e:83,90.00B,90.00B,5.1385879516601566e-06,5.0330638885498044e-06,-1.0552406311035212e-07
1575688825145,2500.012,4a:7e:d8:55:4e:7a,90.00B,90.00B,4.918718338012696e-06,4.58979606628418e-06,-3.289222717285156e-07
1575688825194,2500.008,e2:7a:00:49:03:a6,90.00B,90.00B,4.362630844116211e-06,4.537630081176758e-06,1.7499923706054645e-07
1575688825167,2500.006,36:f2:e0:d5:ce:ee,90.00B,90.00B,4.636144638061523e-06,4.739236831665039e-06,1.0309219360351592e-07
1575688825188,2500.002,42:48:de:06:8c:46,176.00B,90.00B,5.34820556640625e-06,4.916286468505859e-06,-4.319190979003903e-07
1575688825141,2500.01,36:d7:5b:bb:fe:ba,90.00B,90.00B,4.995393753051758e-06,4.717588424682617e-06,-2.7780532836914116e-07
1575688825157,2500.01,c6:90:53:f6:86:b2,90.00B,90.00B,4.930925369262695e-06,5.07659912109375e-06,1.4567375183105484e-07
1575688825206,2500.006,36:aa:5e:2f:31:36,90.00B,90.00B,4.525947570800781e-06,4.770660400390625e-06,2.447128295898435e-07
1575688825173,2500.01,12:3c:ce:1b:66:f2,90.00B,90.00B,5.231046676635742e-06,4.7269344329833984e-06,-5.041122436523437e-07
1575688825158,2500.01,d6:9f:9f:56:14:8a,90.00B,90.00B,5.100393295288086e-06,5.1380157470703124e-06,3.7622451782226125e-08
1575688825162,2500.01,e2:53:4c:67:9c:7c,90.00B,90.00B,4.987907409667969e-06,4.9823284149169924e-06,-5.578994750976266e-09
1575688825201,2500.008,b2:35:5b:29:bd:41,90.00B,90.00B,4.717826843261719e-06,4.859638214111328e-06,1.4181137084960922e-07
1575688825249,2500.012,4e:fa:f4:85:f1:96,90.00B,90.00B,4.373836517333984e-06,4.171419143676758e-06,-2.0241737365722576e-07
1575688825192,2500.006,9a:0c:51:06:89:0b,90.00B,90.00B,5.209827423095703e-06,4.805469512939453e-06,-4.0435791015625036e-07
1575688825145,2500.01,72:d9:05:80:86:10,90.00B,90.00B,5.173063278198242e-06,4.8079490661621095e-06,-3.651142120361323e-07
1575688825186,2500.002,e6:d5:32:58:10:2c,90.00B,90.00B,5.277872085571289e-06,4.93922233581543e-06,-3.3864974975585956e-07
1575688825160,2500.01,a6:1f:31:23:ce:81,176.00B,90.00B,5.054330825805664e-06,5.03082275390625e-06,-2.3508071899414332e-08
1575688825155,2500.008,0a:2b:b8:24:77:41,90.00B,90.00B,4.92253303527832e-06,4.748630523681641e-06,-1.7390251159667928e-07
1575688825140,2500.0,72:e6:07:52:e0:e6,90.00B,90.00B,5.224227905273437e-06,4.896974563598633e-06,-3.2725334167480433e-07
1575688825188,2500.01,32:b0:a2:75:5c:f7,90.00B,90.00B,5.060291290283203e-06,4.801273345947266e-06,-2.590179443359369e-07
1575688825146,2500.002,d2:d7:e6:3c:9f:cb,176.00B,90.00B,5.1359176635742185e-06,4.839849472045899e-06,-2.960681915283198e-07
1575688825183,2500.01,ea:b6:d9:28:78:37,90.00B,90.00B,5.261516571044922e-06,5.0130844116210935e-06,-2.484321594238285e-07
1575688825160,2500.002,72:8a:8c:b0:d1:e2,90.00B,90.00B,4.782485961914063e-06,5.05828857421875e-06,2.758026123046876e-07
1575688825164,2500.002,56:9d:d1:30:c0:0b,90.00B,90.00B,5.284833908081055e-06,4.787445068359375e-06,-4.973888397216801e-07
1575688825204,2500.012,c2:ec:63:e3:da:20,90.00B,90.00B,5.058765411376953e-06,4.826450347900391e-06,-2.3231506347656233e-07
1575688825187,2500.01,76:14:d5:80:1e:b6,90.00B,90.00B,5.133962631225586e-06,4.641771316528321e-06,-4.921913146972654e-07
1575688825213,2500.01,82:ef:d8:96:6f:8b,90.00B,90.00B,4.864597320556641e-06,4.464769363403321e-06,-3.998279571533202e-07
1575688825173,2500.012,ee:60:08:07:48:06,90.00B,90.00B,4.9557685852050785e-06,4.985189437866211e-06,2.9420852661132855e-08
1575688825180,2500.01,3e:2c:84:ba:4d:08,90.00B,90.00B,4.917955398559571e-06,4.784393310546875e-06,-1.3356208801269574e-07
1575688825189,2500.002,2e:61:34:41:81:0f,90.00B,90.00B,4.751968383789063e-06,4.737424850463867e-06,-1.4543533325195299e-08
1575688825200,2500.01,16:7f:26:a2:60:f4,90.00B,90.00B,4.9510002136230465e-06,4.797077178955078e-06,-1.5392303466796831e-07
1575688825185,2499.998,fa:c1:d8:08:f4:73,90.00B,90.00B,4.855489730834961e-06,4.9773216247558594e-06,1.2183189392089825e-07
1575688825179,2500.012,02:34:40:c5:84:86,90.00B,90.00B,5.29775619506836e-06,5.0473213195800785e-06,-2.504348754882812e-07
1575688825199,2500.004,72:9f:68:4c:f0:56,90.00B,90.00B,4.95915412902832e-06,4.705238342285156e-06,-2.5391578674316437e-07
1575688825210,2500.006,62:4e:fe:91:8a:65,90.00B,90.00B,4.654693603515625e-06,4.8858165740966796e-06,2.3112297058105475e-07
1575688825223,2500.004,f2:16:a8:93:4c:50,90.00B,90.00B,4.825639724731446e-06,4.8882007598876956e-06,6.256103515624989e-08
1575688825214,2500.01,2a:9b:3b:e2:01:7f,90.00B,90.00B,5.008649826049805e-06,4.860401153564453e-06,-1.4824867248535165e-07
1575688825224,2500.006,1a:a7:37:a4:5f:f9,90.00B,90.00B,4.991483688354492e-06,4.808950424194336e-06,-1.8253326416015605e-07
1575688825197,2500.01,ee:33:f5:f7:32:f4,90.00B,90.00B,5.165052413940429e-06,4.695701599121094e-06,-4.693508148193356e-07
1575688825198,2500.01,c6:f8:e6:23:3c:0c,90.00B,90.00B,4.894256591796875e-06,5.033111572265625e-06,1.3885498046874995e-07
1575688825222,2500.006,26:85:a9:f5:bb:20,90.00B,90.00B,4.902172088623047e-06,4.848766326904297e-06,-5.340576171875005e-08
1575688825217,2500.004,42:bc:7d:ae:c4:e2,90.00B,90.00B,5.1393508911132815e-06,4.987907409667969e-06,-1.5144348144531276e-07
1575688825195,2500.002,e6:be:4d:fd:97:26,90.00B,176.00B,5.072355270385742e-06,4.732704162597656e-06,-3.396511077880855e-07
1575688825200,2500.01,2a:68:d5:13:38:24,90.00B,90.00B,6.071090698242187e-06,4.762411117553711e-06,-1.308679580688476e-06
1575688825189,2500.006,9e:07:d1:1b:90:0c,90.00B,180.00B,4.855680465698242e-06,4.7345638275146485e-06,-1.2111663818359354e-07
1575688825194,2500.02,52:88:30:93:cc:78,90.00B,90.00B,5.127143859863281e-06,5.056142807006836e-06,-7.100105285644501e-08
1575688825210,2500.0,5e:54:8b:1a:c3:19,90.00B,90.00B,4.733657836914062e-06,4.669523239135742e-06,-6.413459777831992e-08
1575688825183,2499.998,3e:2b:f1:36:3e:9b,90.00B,90.00B,5.041980743408203e-06,5.040311813354492e-06,-1.668930053711283e-09
1575688825176,2500.012,be:b8:8e:36:17:2b,90.00B,90.00B,5.1987648010253904e-06,5.102682113647461e-06,-9.608268737792938e-08
1575688825233,2500.006,2e:d6:66:7b:62:d6,90.00B,90.00B,5.233430862426758e-06,4.851531982421875e-06,-3.81898880004883e-07
1575688825185,2500.012,8a:c0:82:62:9d:65,90.00B,90.00B,5.408716201782227e-06,5.044889450073242e-06,-3.6382675170898433e-07
1575688825222,2500.054,62:6d:1a:5b:06:d4,90.00B,90.00B,5.176067352294922e-06,4.915857315063477e-06,-2.6021003723144535e-07
1575688825229,2500.012,e2:87:46:19:67:34,90.00B,90.00B,4.82487678527832e-06,4.578399658203125e-06,-2.4647712707519517e-07
1575688825198,2500.02,5a:99:6a:28:1b:ad,90.00B,90.00B,4.951667785644531e-06,4.904079437255859e-06,-4.758834838867193e-08
1575688825216,2500.002,ea:af:3d:dd:28:7d,90.00B,90.00B,4.623031616210937e-06,4.3692588806152345e-06,-2.537727355957029e-07
1575688825264,2500.002,e6:9e:2c:01:a0:9d,90.00B,90.00B,4.794502258300781e-06,4.632663726806641e-06,-1.6183853149414038e-07
1575688825215,2500.004,1e:60:01:d9:e0:c3,90.00B,90.00B,5.2169322967529295e-06,5.063915252685547e-06,-1.530170440673828e-07
1575688825179,2500.01,5a:83:20:8b:b9:bb,90.00B,90.00B,5.068778991699219e-06,5.099344253540039e-06,3.056526184082023e-08
1575688825253,2500.012,0a:23:53:36:97:2d,90.00B,90.00B,4.689645767211914e-06,4.76064682006836e-06,7.100105285644586e-08
1575688825199,2500.004,c2:22:4a:e4:cf:32,90.00B,90.00B,4.81719970703125e-06,4.741764068603516e-06,-7.54356384277339e-08
1575688825214,2500.006,26:da:37:df:00:e8,90.00B,90.00B,5.032539367675781e-06,4.720354080200195e-06,-3.1218528747558597e-07
1575688825191,2500.002,ce:3f:82:6f:9e:c3,90.00B,90.00B,5.290079116821289e-06,5.207014083862305e-06,-8.306503295898391e-08
1575688825198,2500.002,1e:a6:3b:59:3a:7d,90.00B,90.00B,5.164670944213867e-06,5.075263977050781e-06,-8.940696716308594e-08
1575688825219,2500.008,a6:4a:a0:db:ca:39,90.00B,90.00B,5.092334747314453e-06,4.607105255126953e-06,-4.852294921874999e-07
1575688825229,2500.006,ca:4f:92:c6:73:15,90.00B,90.00B,5.122995376586914e-06,4.8755645751953126e-06,-2.4743080139160173e-07
1575688825203,2500.004,7e:df:6b:c8:81:3e,90.00B,90.00B,4.758310317993164e-06,4.780483245849609e-06,2.2172927856445306e-08
1575688825208,2500.002,da:0d:58:4c:ce:1a,90.00B,90.00B,5.006837844848633e-06,5.049419403076172e-06,4.2581558227538926e-08
1575688825219,2500.01,be:e3:f0:01:48:6b,90.00B,180.00B,5.106306076049805e-06,5.125236511230469e-06,1.893043518066399e-08
1575688825140,2500.01,d2:9d:9c:bf:b7:01,90.00B,90.00B,4.962921142578125e-06,5.017185211181641e-06,5.426406860351621e-08
1575688825176,2500.012,ae:24:aa:dd:06:78,90.00B,90.00B,5.117940902709961e-06,4.966068267822266e-06,-1.5187263488769542e-07
1575688825263,2500.01,4a:ed:36:25:e5:08,90.00B,90.00B,5.034732818603516e-06,4.828310012817383e-06,-2.0642280578613284e-07
1575688825199,2500.012,26:36:a2:5f:da:c5,90.00B,90.00B,4.523086547851562e-06,4.5978069305419924e-06,7.472038269043003e-08
1575688825244,2500.008,ee:6d:1e:27:86:9d,176.00B,90.00B,5.2618980407714844e-06,5.4636478424072265e-06,2.017498016357421e-07
1575688825227,2500.054,f2:5e:48:5e:d0:19,90.00B,90.00B,5.013704299926758e-06,4.935550689697266e-06,-7.815361022949216e-08
1575688825242,2499.99,5a:b0:63:61:88:c9,90.00B,90.00B,4.9473285675048825e-06,4.95901107788086e-06,1.1682510375977288e-08
1575688825190,2500.006,5e:f0:65:4f:cd:af,90.00B,90.00B,5.214786529541015e-06,5.157470703125e-06,-5.731582641601503e-08
1575688825233,2500.004,26:ea:cb:7a:04:1e,176.00B,90.00B,5.206871032714844e-06,4.92396354675293e-06,-2.8290748596191456e-07
