Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575688301184,2500.006,ba:36:f0:08:44:4f,90.00B,90.00B,5.281972885131836e-06,5.157375335693359e-06,-1.245975494384767e-07
1575688301577,2500.01,fa:23:d9:1d:b4:ed,176.00B,90.00B,4.288959503173828e-06,3.928899765014648e-06,-3.6005973815917995e-07
1575688301581,2499.992,0a:9a:69:5c:85:b0,90.00B,90.00B,3.949308395385742e-06,3.828811645507813e-06,-1.2049674987792923e-07
1575688301576,2500.01,f2:93:ec:c9:61:2d,90.00B,90.00B,4.2295932769775394e-06,3.922748565673828e-06,-3.0684471130371155e-07
1575688301577,2500.01,1e:df:a1:07:ca:e3,90.00B,90.00B,4.25262451171875e-06,3.98406982421875e-06,-2.6855468750000007e-07
1575688301587,2500.01,ca:d3:a4:fb:b2:25,90.00B,90.00B,4.599618911743164e-06,4.26788330078125e-06,-3.3173561096191427e-07
1575688301570,2500.006,ee:1f:e2:6f:fd:1e,90.00B,90.00B,4.530143737792969e-06,4.355716705322266e-06,-1.7442703247070318e-07
1575688301569,2500.01,fa:dd:25:95:57:41,90.00B,90.00B,4.628610610961914e-06,4.222297668457031e-06,-4.0631294250488285e-07
1575688301580,2499.992,6a:d6:1b:06:62:98,90.00B,90.00B,4.656600952148437e-06,4.435968399047851e-06,-2.2063255310058588e-07
1575688301580,2499.992,96:5e:f5:4e:d0:a9,90.00B,90.00B,4.068183898925781e-06,3.941917419433594e-06,-1.2626647949218715e-07
1575688301579,2499.992,42:76:29:27:7a:10,90.00B,90.00B,3.944969177246093e-06,3.802061080932617e-06,-1.429080963134764e-07
1575688301576,2500.01,4e:81:09:8f:26:db,176.00B,90.00B,4.452276229858398e-06,4.038667678833008e-06,-4.136085510253906e-07
1575688301577,2500.012,9e:c2:07:de:ba:f6,90.00B,90.00B,4.424571990966797e-06,4.487466812133789e-06,6.289482116699214e-08
1575688301572,2500.006,6e:1e:33:3b:52:31,90.00B,90.00B,4.636526107788086e-06,4.4560432434082034e-06,-1.804828643798823e-07
1575688301579,2499.992,3e:84:c0:89:f0:5b,176.00B,90.00B,4.654073715209961e-06,4.426813125610351e-06,-2.2726058959960997e-07
1575688301580,2500.01,d2:ac:55:30:a6:d5,180.00B,176.00B,4.228067398071289e-06,3.9825439453125e-06,-2.455234527587886e-07
