Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Exec Time
1575607835841,0.86,2019-12-06 04:50:34,2000.167,eth0,192.168.1.1,fd:82:7f:43:a7:65,24.292642831802368
1575607836355,0.78,2019-12-06 04:50:35,2000.167,lo,127.0.0.1,e1:6b:1b:3e:01:70,25.601056337356567
1575607836172,0.78,2019-12-06 04:50:35,2000.167,eth2,169.254.8.1,3d:ab:2c:35:01:a1,28.176867246627808
1575607823858,296.35,2019-12-06 04:45:27,2000.148,eth2,169.254.8.1,91:4b:3b:4b:54:8e,48.32920503616333
1575607824770,308.99,2019-12-06 04:45:15,2000.17,lo,127.0.0.1,8b:28:d4:47:30:cf,47.36213135719299
1575607823858,308.19,2019-12-06 04:45:15,2000.148,eth2,169.254.8.1,2d:ea:47:2e:18:86,48.55167317390442
1575607824770,309.04,2019-12-06 04:45:15,2000.17,eth2,169.254.8.1,e3:8c:4a:de:7e:90,48.5506796836853
1575607825755,0.73,2019-12-06 04:50:24,2000.144,eth1,169.254.8.130,97:b8:d9:f1:66:b7,47.931358337402344
1575607824795,308.44,2019-12-06 04:45:16,2000.144,eth1,169.254.8.130,41:be:8c:9f:55:b3,49.074803590774536
1575607824795,309.25,2019-12-06 04:45:15,2000.144,eth2,169.254.8.1,d5:c7:f3:7a:49:3a,49.277483224868774
1575607823861,307.49,2019-12-06 04:45:16,2000.148,eth1,169.254.8.130,9d:64:1a:13:bc:14,50.367295026779175
1575607826579,0.85,2019-12-06 04:50:25,2000.17,eth1,169.254.8.130,db:80:da:a5:ec:7c,49.0954372882843
1575607836509,0.70,2019-12-06 04:50:35,2000.165,eth0,192.168.1.1,f3:b8:cd:d0:a2:56,46.20944905281067
1575607835585,0.80,2019-12-06 04:50:34,2000.143,lo,127.0.0.1,cd:cc:12:b8:fc:51,47.560384035110474
1575607836085,0.67,2019-12-06 04:50:35,2000.143,eth1,169.254.8.130,1b:2c:cf:09:56:a7,47.27260780334473
1575607836345,0.61,2019-12-06 04:50:35,2000.143,eth0,192.168.1.1,5f:34:49:51:fd:a2,47.026076555252075
1575607836164,0.72,2019-12-06 04:50:35,2000.17,lo,127.0.0.1,69:7b:a9:b1:c4:83,47.38253307342529
1575607836060,0.77,2019-12-06 04:50:35,2000.165,eth1,169.254.8.130,69:7d:23:22:40:96,47.49294686317444
1575607836085,0.77,2019-12-06 04:50:35,2000.165,eth0,192.168.1.1,ef:12:6a:90:08:bb,47.91468286514282
1575607835984,0.71,2019-12-06 04:50:35,2000.177,eth0,192.168.1.1,1f:2c:d3:0c:09:ee,48.038822412490845
1575607836164,0.80,2019-12-06 04:50:34,2000.17,eth1,169.254.8.130,71:82:b1:b8:00:4a,48.19002866744995
1575607835521,0.69,2019-12-06 04:50:34,2000.157,eth1,169.254.8.130,11:ba:f3:4a:d3:58,48.93642449378967
1575607835749,0.75,2019-12-06 04:50:34,2000.177,eth1,169.254.8.130,b5:3a:90:01:da:77,48.72322964668274
1575607835964,0.71,2019-12-06 04:50:35,2000.18,eth0,192.168.1.1,5d:84:c7:da:8a:d3,48.59585213661194
1575607835959,0.62,2019-12-06 04:50:35,2000.166,eth0,192.168.1.1,0d:64:11:49:62:1f,48.75133156776428
1575607835774,0.90,2019-12-06 04:50:34,2000.173,eth2,169.254.8.1,bf:2f:92:64:24:c1,49.04431986808777
1575607835775,0.84,2019-12-06 04:50:34,2000.177,eth2,169.254.8.1,e3:39:b3:4b:5d:e9,49.14423990249634
1575607835962,0.99,2019-12-06 04:50:34,2000.17,lo,127.0.0.1,71:69:c5:9d:a9:22,49.0027642250061
1575607836322,0.72,2019-12-06 04:50:35,2000.17,eth2,169.254.8.1,ab:ac:3b:b0:26:ff,48.717262983322144
1575607835799,0.79,2019-12-06 04:50:34,2000.17,lo,127.0.0.1,ed:b1:fb:35:06:76,49.31434416770935
