In,Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Rdseed Enabled,Total Time,Exec Time
Both,1575692577154,6.93,2019-12-07 04:22:56,2300.0,eth2,169.254.8.1,03:07:0d:31:1a:1a,0,7.8403613567352295,1.8356828689575195
Both,1575692577978,7.07,2019-12-07 04:22:56,2300.0,eth0,192.168.1.1,95:a5:46:ba:1e:06,0,7.89266300201416,1.8907780647277832
Both,1575692577892,7.26,2019-12-07 04:22:56,2299.999,eth2,169.254.8.1,ed:3a:fe:a9:4c:4e,0,8.074646711349487,2.0725536346435547
Both,1575692577878,7.31,2019-12-07 04:22:56,2299.999,eth2,169.254.8.1,57:34:99:5e:21:09,0,8.089778184890747,2.0877156257629395
Both,1575692577996,7.27,2019-12-07 04:22:56,2299.999,lo,127.0.0.1,19:59:3f:b9:a9:8f,0,8.217508554458618,2.2158772945404053
Both,1575692577934,7.36,2019-12-07 04:22:56,2299.999,lo,127.0.0.1,db:4d:46:24:4e:ab,0,8.305356740951538,2.303680181503296
Both,1575692578339,7.33,2019-12-07 04:22:56,2299.999,lo,127.0.0.1,a7:9c:a6:2a:9f:22,0,8.125505208969116,2.123610258102417
Both,1575692579016,7.37,2019-12-07 04:22:57,2299.999,eth0,192.168.1.1,c3:6f:ad:0c:a1:9e,0,7.7274463176727295,1.725599765777588
Both,1575692578535,7.59,2019-12-07 04:22:56,2299.999,eth0,192.168.1.1,99:99:ef:94:ee:ee,0,8.249208450317383,2.246907949447632
Both,1575692578560,7.65,2019-12-07 04:22:56,2299.999,eth2,169.254.8.1,63:b6:54:a8:7e:a2,0,8.231150388717651,2.229058027267456
Both,1575692578688,8.00,2019-12-07 04:22:56,2299.999,eth2,169.254.8.1,cf:d3:30:cb:b7:39,0,8.108153104782104,2.1061229705810547
Both,1575692578467,7.71,2019-12-07 04:22:56,2299.999,eth2,169.254.8.1,ff:a4:09:2e:d2:51,0,8.362321376800537,2.36055588722229
Both,1575692578760,8.08,2019-12-07 04:22:56,2299.999,lo,127.0.0.1,fd:6c:c6:7f:d4:a2,0,8.102622985839844,2.1005311012268066
Both,1575692578491,7.57,2019-12-07 04:22:56,2299.999,eth2,169.254.8.1,73:bc:cd:4b:e8:17,0,8.398990869522095,2.396827220916748
Both,1575692578451,7.61,2019-12-07 04:22:56,2300.0,eth0,192.168.1.1,9d:58:20:a3:62:ef,0,8.448142766952515,2.446011543273926
Both,1575692578881,7.30,2019-12-07 04:22:57,2300.0,eth0,192.168.1.1,45:1e:d0:e6:c0:fc,0,8.034248352050781,2.0323500633239746
Both,1575692578913,7.08,2019-12-07 04:22:57,2300.0,eth0,192.168.1.1,1b:0c:17:b3:bb:f1,0,8.06134581565857,2.059305429458618
Both,1575692579106,7.04,2019-12-07 04:22:57,2300.0,eth2,169.254.8.1,41:e0:f2:36:b5:d8,0,7.998865365982056,1.9968712329864502
Both,1575692578904,7.50,2019-12-07 04:22:57,2299.999,eth1,169.254.8.130,4d:1f:dd:ef:d9:79,0,8.210915327072144,2.2089672088623047
