In,Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Rdseed Enabled,Total Time,Exec Time
Both,1575696354484,106.58,2019-12-07 05:24:13,2300.0,eth2,169.254.8.1,b7:9b:1e:fe:ea:49,0,23.37956428527832,17.378567934036255
Both,1575696354504,106.96,2019-12-07 05:24:13,2300.0,eth0,192.168.1.1,c3:ee:2a:53:ef:e2,0,23.52055525779724,17.519551753997803
Both,1575696355787,6.83,2019-12-07 05:25:54,2300.0,lo,127.0.0.1,67:c0:72:be:88:db,0,23.539795398712158,17.53793478012085
Both,1575696355011,107.68,2019-12-07 05:24:13,2300.0,lo,127.0.0.1,71:d5:4d:e2:dd:08,0,26.631871700286865,20.630638122558594
Both,1575696356456,7.06,2019-12-07 05:25:55,2300.0,lo,127.0.0.1,57:ba:74:6c:02:71,0,25.51461124420166,19.509238719940186
Both,1575696356960,7.20,2019-12-07 05:25:55,2300.0,eth2,169.254.8.1,c3:72:60:0c:aa:cc,0,25.09909677505493,19.096292972564697
Both,1575696365611,6.78,2019-12-07 05:26:04,2300.0,eth2,169.254.8.1,01:65:f8:8a:51:ec,0,22.612462282180786,16.61049723625183
Both,1575696365652,6.80,2019-12-07 05:26:04,2300.0,eth0,192.168.1.1,b3:27:be:66:96:d2,0,22.651788234710693,16.650200605392456
Both,1575696365693,6.70,2019-12-07 05:26:04,2300.0,eth0,192.168.1.1,25:d2:80:38:bb:91,0,22.640735626220703,16.639058589935303
Both,1575696365891,6.66,2019-12-07 05:26:05,2300.0,eth1,169.254.8.130,c7:be:3c:df:23:9a,0,22.706857442855835,16.70526146888733
Both,1575696365661,6.89,2019-12-07 05:26:04,2300.0,eth2,169.254.8.1,89:3b:1b:1d:d8:77,0,23.12523341178894,17.123439073562622
Both,1575696366158,6.68,2019-12-07 05:26:05,2300.0,eth2,169.254.8.1,1b:8d:8a:41:93:6a,0,22.689840078353882,16.64416265487671
Both,1575696366339,6.73,2019-12-07 05:26:05,2300.0,eth1,169.254.8.130,1d:73:39:d0:e5:60,0,22.69407081604004,16.692472457885742
Both,1575696365855,6.86,2019-12-07 05:26:04,2300.0,lo,127.0.0.1,bf:fa:a8:0e:1b:ce,0,23.27608036994934,17.27436375617981
Both,1575696366356,6.80,2019-12-07 05:26:05,2300.0,eth1,169.254.8.130,9b:ce:95:6f:9f:81,0,22.955254554748535,16.95361351966858
Both,1575696366263,6.69,2019-12-07 05:26:05,2300.0,lo,127.0.0.1,fb:47:99:4e:90:08,0,23.07422423362732,17.07250690460205
Both,1575696366385,6.75,2019-12-07 05:26:05,2300.0,eth0,192.168.1.1,f1:f3:bc:4d:85:c4,0,23.075135946273804,17.073243141174316
Both,1575696366017,6.77,2019-12-07 05:26:04,2300.0,eth1,169.254.8.130,11:bc:37:36:f7:50,0,23.452481985092163,17.450831174850464
Both,1575696366644,7.19,2019-12-07 05:26:05,2300.0,eth1,169.254.8.130,fb:78:a6:0d:88:ea,0,23.31158757209778,17.30932879447937
Both,1575696366607,7.22,2019-12-07 05:26:05,2300.0,eth2,169.254.8.1,d7:ed:56:c5:16:aa,0,23.562183618545532,17.560335636138916
Both,1575696367121,7.06,2019-12-07 05:26:05,2300.0,eth0,192.168.1.1,27:da:9a:ab:45:20,0,23.469090938568115,17.467442989349365
Both,1575696367227,8.08,2019-12-07 05:26:04,2300.0,eth0,192.168.1.1,85:79:3d:db:13:d3,0,23.630205631256104,17.628225088119507
Both,1575696367026,8.05,2019-12-07 05:26:04,2300.0,eth1,169.254.8.130,91:f1:b9:ac:ba:a1,0,23.922160863876343,17.920110940933228
Both,1575696367549,7.59,2019-12-07 05:26:05,2300.0,eth0,192.168.1.1,41:15:12:86:e6:58,0,24.053213119506836,18.050986289978027
Both,1575696367380,8.07,2019-12-07 05:26:05,2300.0,eth2,169.254.8.1,bb:c0:48:61:46:a9,0,24.928706884384155,18.925901174545288
Both,1575696367342,8.09,2019-12-07 05:26:05,2300.0,eth0,192.168.1.1,b9:6b:f9:d0:4b:05,0,25.097201585769653,19.094796895980835
Both,1575696367945,8.11,2019-12-07 05:26:05,2300.0,eth2,169.254.8.1,8d:28:5d:4c:e6:7b,0,24.86822509765625,18.86628293991089
Both,1575696376681,6.92,2019-12-07 05:26:15,2300.0,eth1,169.254.8.130,99:ee:c9:40:9b:00,0,24.865232944488525,18.86322593688965
Both,1575696378017,6.85,2019-12-07 05:26:17,2300.0,eth0,192.168.1.1,07:6e:4a:96:3a:97,0,24.894385814666748,18.892374277114868
Both,1575696385602,138.27,2019-12-07 05:24:13,2300.0,lo,127.0.0.1,71:d5:4d:e2:dd:08,0,22.579179286956787,16.57825493812561
Both,1575696385596,36.20,2019-12-07 05:25:55,2300.0,eth0,192.168.1.1,57:ba:74:6c:02:71,0,22.657280683517456,16.65408945083618
Both,1575696385597,35.84,2019-12-07 05:25:55,2300.0,eth0,192.168.1.1,c3:72:60:0c:aa:cc,0,22.71150493621826,16.7088406085968
Both,1575696388342,29.35,2019-12-07 05:26:04,2300.0,eth1,169.254.8.130,25:d2:80:38:bb:91,0,22.553767442703247,16.553029775619507
Both,1575696388312,29.46,2019-12-07 05:26:04,2300.0,eth2,169.254.8.1,b3:27:be:66:96:d2,0,22.62088394165039,16.620054006576538
Both,1575696388231,29.40,2019-12-07 05:26:04,2300.0,eth1,169.254.8.130,01:65:f8:8a:51:ec,0,22.778999090194702,16.778034925460815
Both,1575696388604,29.37,2019-12-07 05:26:05,2300.0,eth2,169.254.8.1,c7:be:3c:df:23:9a,0,22.659262895584106,16.65842366218567
Both,1575696388794,30.02,2019-12-07 05:26:04,2300.0,eth2,169.254.8.1,89:3b:1b:1d:d8:77,0,22.87714433670044,16.876240253448486
Both,1575696388855,29.38,2019-12-07 05:26:05,2300.0,eth1,169.254.8.130,1b:8d:8a:41:93:6a,0,22.82830548286438,16.827365159988403
Both,1575696389042,29.44,2019-12-07 05:26:05,2300.0,eth1,169.254.8.130,1d:73:39:d0:e5:60,0,22.737355709075928,16.736313343048096
Both,1575696387729,6.84,2019-12-07 05:26:26,2300.0,eth1,169.254.8.130,6d:e8:84:55:29:d7,0,24.594693899154663,18.59278130531311
Both,1575696389318,29.76,2019-12-07 05:26:05,2300.0,eth1,169.254.8.130,9b:ce:95:6f:9f:81,0,23.022114992141724,17.02127504348755
Both,1575696389466,29.84,2019-12-07 05:26:05,2300.0,eth2,169.254.8.1,f1:f3:bc:4d:85:c4,0,22.876962661743164,16.87606167793274
Both,1575696390177,30.79,2019-12-07 05:26:05,2300.0,lo,127.0.0.1,d7:ed:56:c5:16:aa,0,22.590173721313477,16.589221000671387
Both,1575696389963,30.51,2019-12-07 05:26:05,2300.0,eth2,169.254.8.1,fb:78:a6:0d:88:ea,0,22.861782789230347,16.860674142837524
Both,1575696389141,30.15,2019-12-07 05:26:04,2300.0,eth2,169.254.8.1,bf:fa:a8:0e:1b:ce,0,23.878541707992554,17.87752890586853
Both,1575696389479,30.23,2019-12-07 05:26:04,2300.0,lo,127.0.0.1,11:bc:37:36:f7:50,0,23.896418809890747,17.895404815673828
Both,1575696389347,29.77,2019-12-07 05:26:05,2300.0,eth0,192.168.1.1,fb:47:99:4e:90:08,0,24.085715532302856,18.084744691848755
Both,1575696390599,30.54,2019-12-07 05:26:05,2300.0,eth0,192.168.1.1,27:da:9a:ab:45:20,0,22.840681314468384,16.839741706848145
Both,1575696390958,31.98,2019-12-07 05:26:04,2300.0,eth0,192.168.1.1,91:f1:b9:ac:ba:a1,0,22.999186754226685,16.998237371444702
Both,1575696390868,31.72,2019-12-07 05:26:04,2300.0,lo,127.0.0.1,85:79:3d:db:13:d3,0,23.097989559173584,17.097001552581787
Both,1575696391612,31.65,2019-12-07 05:26:05,2300.0,eth0,192.168.1.1,41:15:12:86:e6:58,0,23.196048736572266,17.195037364959717
Both,1575696392321,33.01,2019-12-07 05:26:05,2300.0,eth0,192.168.1.1,bb:c0:48:61:46:a9,0,23.305251836776733,17.304241180419922
Both,1575696392451,33.20,2019-12-07 05:26:05,2300.0,eth2,169.254.8.1,b9:6b:f9:d0:4b:05,0,23.44883942604065,17.447815656661987
Both,1575696392824,32.99,2019-12-07 05:26:05,2300.0,eth2,169.254.8.1,8d:28:5d:4c:e6:7b,0,23.416991710662842,17.415398120880127
Both,1575696395726,148.18,2019-12-07 05:24:13,2300.0,eth1,169.254.8.130,c3:ee:2a:53:ef:e2,0,22.468485355377197,16.467568397521973
Both,1575696398054,150.15,2019-12-07 05:24:13,2300.0,eth0,192.168.1.1,b7:9b:1e:fe:ea:49,0,22.516332626342773,16.515372037887573
Both,1575696401557,31.80,2019-12-07 05:26:15,2300.0,eth2,169.254.8.1,99:ee:c9:40:9b:00,0,24.749144554138184,18.748117923736572
Both,1575696402925,31.76,2019-12-07 05:26:17,2300.0,lo,127.0.0.1,07:6e:4a:96:3a:97,0,25.015824794769287,19.014739513397217
Both,1575696407089,58.13,2019-12-07 05:25:54,2300.0,eth1,169.254.8.130,67:c0:72:be:88:db,0,22.79511547088623,16.79424262046814
Both,1575696408189,160.86,2019-12-07 05:24:13,2300.0,eth2,169.254.8.1,71:d5:4d:e2:dd:08,0,22.484118461608887,16.483163833618164
Both,1575696411017,52.19,2019-12-07 05:26:04,2300.0,eth0,192.168.1.1,01:65:f8:8a:51:ec,0,22.4517982006073,16.450818061828613
Both,1575696411677,52.91,2019-12-07 05:26:04,2300.0,lo,127.0.0.1,89:3b:1b:1d:d8:77,0,22.592870473861694,16.591979503631592
Both,1575696412840,53.45,2019-12-07 05:26:05,2300.0,eth2,169.254.8.1,d7:ed:56:c5:16:aa,0,21.933801651000977,15.931939125061035
Both,1575696417540,58.55,2019-12-07 05:26:04,2300.0,eth0,192.168.1.1,bf:fa:a8:0e:1b:ce,0,22.384459018707275,16.383572578430176
Both,1575696417906,58.43,2019-12-07 05:26:05,2300.0,eth2,169.254.8.1,1b:8d:8a:41:93:6a,0,22.229796171188354,16.22890281677246
Both,1575696418210,170.67,2019-12-07 05:24:13,2300.0,eth0,192.168.1.1,c3:ee:2a:53:ef:e2,0,22.830252408981323,16.829339027404785
