In,Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Rdseed Enabled,Total Time,Exec Time
Both,1575694837216,7.73,2019-12-07 05:00:35,2300.0,lo,127.0.0.1,b3:73:da:82:3b:b3,0,8.416256189346313,2.412764549255371
Both,1575694837332,8.06,2019-12-07 05:00:35,2300.0,eth1,169.254.8.130,ed:cf:bf:6c:37:80,0,8.655414342880249,2.6533429622650146
Both,1575694837292,8.07,2019-12-07 05:00:35,2300.0,eth1,169.254.8.130,c3:56:cc:28:36:10,0,8.780335903167725,2.775200128555298
Both,1575694837445,7.60,2019-12-07 05:00:35,2300.0,lo,127.0.0.1,db:f5:6c:4a:b4:72,0,8.720869064331055,2.718471050262451
Both,1575694837661,7.34,2019-12-07 05:00:35,2300.0,eth2,169.254.8.1,af:7a:22:5f:7d:1e,0,8.54334282875061,2.540827989578247
Both,1575694837596,7.67,2019-12-07 05:00:35,2300.0,lo,127.0.0.1,2f:91:ec:70:3e:3f,0,8.666660785675049,2.664297342300415
Both,1575694837835,8.14,2019-12-07 05:00:35,2300.0,eth0,192.168.1.1,3f:ce:7c:53:7a:02,0,8.668459177017212,2.6663613319396973
Both,1575694837869,8.10,2019-12-07 05:00:35,2300.0,eth2,169.254.8.1,6b:ee:3a:00:52:67,0,8.736299276351929,2.734090566635132
Both,1575694838014,8.37,2019-12-07 05:00:35,2300.0,eth1,169.254.8.130,7b:10:23:c4:ce:01,0,8.607088804244995,2.6049673557281494
Both,1575694838340,7.60,2019-12-07 05:00:36,2300.0,eth0,192.168.1.1,19:d2:40:36:51:96,0,8.49365234375,2.4899511337280273
Both,1575694838132,8.19,2019-12-07 05:00:35,2300.0,lo,127.0.0.1,db:4d:2c:5c:28:89,0,8.70768404006958,2.705230236053467
Both,1575694838390,7.52,2019-12-07 05:00:36,2300.0,eth1,169.254.8.130,a5:69:2b:46:53:93,0,8.56481409072876,2.553072690963745
Both,1575694838822,8.89,2019-12-07 05:00:35,2300.0,lo,127.0.0.1,a1:c2:fb:59:4e:3d,0,9.032447338104248,3.0302987098693848
Both,1575694838885,9.26,2019-12-07 05:00:35,2300.0,lo,127.0.0.1,05:2f:f4:ed:33:60,0,9.395995616912842,3.393869638442993
Both,1575694839235,8.13,2019-12-07 05:00:36,2300.0,eth2,169.254.8.1,1f:84:51:44:b6:b7,0,9.255047082901001,3.252469301223755
Both,1575694838973,8.68,2019-12-07 05:00:36,2299.999,eth2,169.254.8.1,15:af:fb:34:a9:b1,0,9.85539984703064,3.834152936935425
Both,1575694838927,8.65,2019-12-07 05:00:36,2299.999,eth0,192.168.1.1,65:5d:f0:da:3d:a6,0,10.01278829574585,4.009791374206543
Both,1575694839254,7.81,2019-12-07 05:00:37,2299.999,eth2,169.254.8.1,03:15:95:93:2b:3a,0,9.833008766174316,3.827664613723755
Both,1575694834019,307.70,2019-12-07 04:55:31,2000.133,lo,127.0.0.1,9b:4e:a4:2e:06:b4,1,16.933895111083984,10.932905197143555
Both,1575694836328,7.03,2019-12-07 05:00:34,2000.17,eth0,192.168.1.1,b9:39:3f:57:42:0e,1,16.907382011413574,10.90554666519165
Both,1575694836918,7.43,2019-12-07 05:00:34,2000.17,eth0,192.168.1.1,fb:20:de:04:13:a1,1,19.759215116500854,13.756977319717407
Both,1575694837432,8.43,2019-12-07 05:00:34,2000.173,eth0,192.168.1.1,8f:0a:ad:6c:3b:d8,1,19.280111074447632,13.2757568359375
Both,1575694836734,7.53,2019-12-07 05:00:34,2000.175,eth1,169.254.8.130,13:c5:14:cb:46:89,1,21.00253987312317,14.999979734420776
Both,1575694836987,7.99,2019-12-07 05:00:34,2000.171,eth1,169.254.8.130,7f:d9:6a:95:39:49,1,20.686814069747925,14.683449029922485
