Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Rdseed Enabled,Rdseed Latency,Rdrand Latency,Contention Rdseed Latency,Contention Rdrand Latency,Total Latency
1575694834305,468.44,2019-12-07 04:52:45,2300.0,eth1,169.254.8.130,57:b9:80:2e:88:3e,0,0,1.4461660385131835e-05,0,9.249258041381835e-06,-5.21240234375e-06
1575694836844,1.57,2019-12-07 05:00:35,2300.0,lo,127.0.0.1,0f:f2:91:78:91:ed,0,0,5.4149627685546874e-06,0,5.842161178588867e-06,4.2719841003417933e-07
1575694836804,1.57,2019-12-07 05:00:35,2300.0,eth2,169.254.8.1,3d:14:38:3c:13:55,0,0,5.3123950958251954e-06,0,5.594396591186524e-06,2.820014953613282e-07
1575694836819,1.60,2019-12-07 05:00:35,2300.0,eth2,169.254.8.1,1b:f7:88:e0:09:9c,0,0,6.313085556030273e-06,0,5.459213256835938e-06,-8.538722991943356e-07
1575694836913,1.32,2019-12-07 05:00:35,2300.0,eth0,192.168.1.1,6f:6c:db:37:96:f7,0,0,4.788637161254883e-06,0,4.8069000244140625e-06,1.8262863159179476e-08
1575694836920,1.61,2019-12-07 05:00:35,2300.0,eth1,169.254.8.130,47:6f:fa:7e:34:be,0,0,6.1674594879150395e-06,0,5.809688568115234e-06,-3.577709197998052e-07
1575694836907,1.57,2019-12-07 05:00:35,2300.0,lo,127.0.0.1,19:30:a1:2e:93:45,0,0,5.620479583740235e-06,0,8.047771453857423e-06,2.427291870117188e-06
1575694836995,2.01,2019-12-07 05:00:34,2300.0,lo,127.0.0.1,dd:a9:54:32:cb:00,0,0,6.566905975341797e-06,0,6.1626911163330075e-06,-4.0421485900878976e-07
1575694837317,1.19,2019-12-07 05:00:35,2300.0,eth0,192.168.1.1,45:01:58:25:67:fe,0,0,5.523014068603515e-06,0,5.7555675506591795e-06,2.3255348205566418e-07
1575694834300,468.53,2019-12-07 04:52:45,2300.0,eth2,169.254.8.1,dd:8a:00:87:42:65,0,0,2.3648977279663087e-05,0,5.856370925903321e-06,-1.7792606353759766e-05
1575694834305,299.12,2019-12-07 04:55:33,2300.0,eth2,169.254.8.1,23:87:f0:9d:e6:ca,0,0,1.8918275833129884e-05,0,1.4822912216186523e-05,-4.095363616943361e-06
1575694837115,1.25,2019-12-07 05:00:35,2300.0,lo,127.0.0.1,cf:69:01:72:dd:25,0,0,5.3252696990966794e-06,0,6.40726089477539e-06,1.0819911956787109e-06
1575694836903,1.50,2019-12-07 05:00:35,2300.0,eth2,169.254.8.1,21:63:85:93:75:12,0,0,5.4770469665527345e-06,0,1.007838249206543e-05,4.601335525512695e-06
1575694837010,1.66,2019-12-07 05:00:35,2300.0,eth0,192.168.1.1,63:46:27:3e:d9:4c,0,0,5.605792999267578e-06,0,1.0048151016235352e-05,4.442358016967774e-06
1575694837235,1.23,2019-12-07 05:00:35,2300.0,lo,127.0.0.1,6b:73:c6:0c:2f:9d,0,0,5.085515975952149e-06,0,8.458709716796875e-06,3.3731937408447264e-06
1575694837131,1.58,2019-12-07 05:00:35,2300.0,lo,127.0.0.1,37:fa:f0:38:3f:b1,0,0,6.059932708740235e-06,0,6.376314163208008e-06,3.16381454467773e-07
1575694836997,1.38,2019-12-07 05:00:35,2299.999,eth2,169.254.8.1,bf:48:33:58:93:dd,0,0,7.435035705566406e-06,0,6.3234329223632815e-06,-1.1116027832031245e-06
1575694836904,1.53,2019-12-07 05:00:35,2299.999,eth1,169.254.8.130,75:98:e9:4a:32:a9,0,0,9.265565872192383e-06,0,6.111097335815429e-06,-3.1544685363769536e-06
1575694837515,1.57,2019-12-07 05:00:35,2300.0,lo,127.0.0.1,87:1d:33:22:57:c1,0,0,5.236959457397461e-06,0,5.637311935424805e-06,4.0035247802734413e-07
1575694836988,1.67,2019-12-07 05:00:35,2299.999,eth2,169.254.8.1,df:f4:77:f4:e1:73,0,0,1.0095071792602539e-05,0,6.137657165527344e-06,-3.957414627075195e-06
1575694837334,1.44,2019-12-07 05:00:35,2300.0,eth1,169.254.8.130,91:d0:b1:c4:96:3a,0,0,5.781316757202148e-06,0,9.406518936157227e-06,3.6252021789550785e-06
1575694834299,101.12,2019-12-07 04:58:52,2300.0,lo,127.0.0.1,bf:91:1c:db:e3:89,0,0,1.4865827560424804e-05,0,6.274747848510742e-06,-8.59107971191406e-06
1575694837323,1.40,2019-12-07 05:00:35,2300.0,lo,127.0.0.1,b5:18:f5:af:a6:bc,0,0,6.368255615234375e-06,0,6.433868408203125e-06,6.56127929687504e-08
1575694836935,1.71,2019-12-07 05:00:35,2300.0,eth2,169.254.8.1,1f:af:9f:85:1a:d4,0,0,9.04221534729004e-06,0,7.140016555786132e-06,-1.9021987915039072e-06
1575694837419,2.02,2019-12-07 05:00:35,2299.999,eth2,169.254.8.1,35:34:1f:a3:cd:cb,0,0,6.4167499542236324e-06,0,1.002821922302246e-05,3.6114692687988283e-06
