Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-08 23:39:31,2019-12-08 23:39:46,3688,35808,3614,10320,74,1198,c5e87368-0052-47d9-b4f6-f64e3c9cb28d,CA:14:C3:A8:97:A0,5b0d1e13-8a4e-47a5-b635-03c04192fe73
sampler,2019-12-08 23:39:31,2019-12-08 23:39:46,3661,35084,3579,9368,82,1198,1282fb31-3090-4884-a70a-e416a979e025,E2:52:A6:D4:D2:9F,149807b3-f0a8-49d6-b101-6dfc6397d037
sampler,2019-12-08 23:39:31,2019-12-08 23:39:46,3658,33554,3586,9972,72,1198,6c7312b6-d58e-45b6-81d6-b020f7a9cd1a,BE:4C:F9:63:66:16,0d566e2c-6ee3-4e63-b903-4732861118bb
sampler,2019-12-08 23:39:31,2019-12-08 23:39:46,4237,152192,4286,91172,49,1198,6cba793b-06b8-45e8-b244-f6db375c3478,4A:A1:18:0C:70:2B,7934d542-7d12-4e1f-8c83-6348482772bf
sampler,2019-12-08 23:39:31,2019-12-08 23:39:46,4543,139504,4375,74692,168,1198,c52f5470-f5dc-4931-aea5-d299c6cac905,EE:F1:08:32:EE:55,958ed4ea-0ad2-4186-8907-6830ae52e6b5
sampler,2019-12-08 23:39:31,2019-12-08 23:39:46,4326,82646,4208,53684,118,1198,9d93cbd9-04b6-4e98-b491-d5f62fb0cc31,6A:4C:2E:5C:FD:09,466d6bdb-c30a-420b-8adc-6fd3c027c951
sampler,2019-12-08 23:39:31,2019-12-08 23:39:46,4712,77234,4465,102190,247,1198,9e3da8f8-5f0d-48cf-8af4-348f5ac9faa1,06:87:1B:9C:2C:88,b44a9bb9-ccc4-4c94-9fac-8f01e22f424d
sampler,2019-12-08 23:39:31,2019-12-08 23:39:46,4553,50740,4506,90604,47,1198,1ff84fd1-5d25-4cfa-90ba-ede39a05118c,6E:32:52:26:D5:7C,a6bc9a9e-38c7-42e0-90b8-5b00c6f972cf
sampler,2019-12-08 23:39:31,2019-12-08 23:39:46,4484,294306,4649,579382,165,1198,37b78b5c-5ed2-4788-ab64-e30e7aabc81a,A6:C0:F1:4A:D1:F9,81531cf5-318c-4cc8-ba7c-be5dd39d1287
sampler,2019-12-08 23:39:31,2019-12-08 23:39:46,4578,54600,4592,72928,14,1198,e3e360b5-4cc5-40b9-8616-bf5c27cd1a69,D6:8F:E2:AB:52:63,5639222e-ec77-4ff4-a356-a873779715c5
sampler,2019-12-08 23:39:31,2019-12-08 23:39:46,4161,61402,4125,76018,36,1198,1c1dbb7f-8575-4138-b940-6f7226cdd3f1,72:89:91:F5:DD:CE,4c5a53b3-44cb-4b95-a0ac-4774cfa2f6d6
