Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-10 02:52:30,2019-12-10 02:52:45,3974,89086,4159,49846,185,1198,e3325d11-a835-4a57-914d-669ca00eb739,3E:5E:95:C0:DE:36,ab2bfa3d-6e1c-469e-853f-f47e4af1f1b0
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,4099,83510,4376,79372,277,1198,abc2825d-6a41-48cc-8c2d-1337d6709ac5,2A:E2:80:C6:8D:35,1ed511b6-bc94-4d1f-b644-edc9af86f0f9
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,4022,61766,4145,60116,123,1198,e6848c07-1214-455f-a45b-320a71505b76,A6:86:DE:4B:C8:9D,11657422-dd55-4c67-8c72-dc71b6c90680
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,4226,78522,4209,273496,17,1198,a2af7fac-7f23-4cab-bffa-c87943401514,0A:F1:07:6B:DD:B0,e1105c8a-9912-4cef-82fc-4737222af88e
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,4041,84344,4421,410090,380,1198,9a3c8d8c-6aab-4927-a99f-c1f92a1d5b7c,AE:71:05:16:E4:1F,18ea4ece-2277-4423-b42c-60af8546a00f
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,3907,132570,4151,70788,244,1198,35af93cb-4ddb-4e1f-8d8c-ded156773ae6,82:10:9E:6B:C0:41,4ded35b6-f59d-4b1b-ac60-fb793eae3cc9
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,4193,76708,4223,211886,30,1198,8d3a7cd2-8b73-4e08-bf58-bca4944fa52f,CE:5A:50:8E:6D:CB,45e0c289-da34-4d83-95ba-ff638273d6f7
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,3931,67634,4181,55006,250,1198,78697a14-32d1-4d9c-bec0-bb0415d5b6a6,26:B5:06:F2:52:EE,bd353d2f-bde9-439c-beb7-ca9ec460f69d
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,4340,39342,4044,77450,296,1198,5310cfef-3ca6-4d09-8aa9-1c0cf4290f7c,4E:69:90:B2:47:58,d4e18b2b-8c8c-4208-9c8f-15c2e1b01af3
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,4338,364622,4172,205816,166,1198,7e92f224-a882-4776-b746-b5925d4c47b0,0A:99:72:A1:41:19,72d44e1f-cec4-4e3d-b424-de069e4f42e4
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,4311,72784,4168,46806,143,1198,a0ff18f7-6cfd-4728-8f55-6c950ed8b38f,02:F1:1B:3D:21:A2,e18f97c7-17d1-4732-9299-dc552ea5041c
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,3936,50988,4190,75636,254,1198,3eb8348f-98ed-4312-946d-202783ef65b0,E2:90:DF:76:36:3B,238a8b8e-7a8f-4efa-a287-a8a79905907f
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,4068,63726,4292,79210,224,1198,0c21b9ad-86a2-4494-9faf-86c08a735a32,A6:D5:42:3F:D1:0F,050aefa3-2120-4009-8bf5-ff1ee01f9fcc
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,3899,62950,3962,42016,63,1198,0a66e228-fee6-4d20-9ae8-afb3b8c4a8ce,1E:A2:FA:78:FC:8F,e5891a9f-cd3a-4a43-bab3-fd626a287f2b
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,3949,80860,4234,98538,285,1198,a207f8b0-8232-4dc6-8afe-0d4c09dc136b,12:46:39:6A:A5:1C,eef3765d-e2d9-4561-a695-65c994cd35dd
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,4318,87170,4251,64800,67,1198,001d23e1-db4f-42a2-8569-247ba5baa112,7E:07:58:37:13:CD,8a728ac0-c080-40eb-bcb3-f480acdc7d94
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,4039,115326,3961,53040,78,1198,dd677968-c598-4920-afeb-f32ac45a1c49,BA:82:EF:3A:2E:0A,685e3c04-a077-4d09-96b9-8a62f8218ce3
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,4053,62618,3909,53066,144,1198,ff1ffc95-a1dd-4373-a91c-b2e15661dde0,B6:5E:21:7F:C5:51,b864d164-c1ee-4495-ad94-63cc4910efb7
sampler,2019-12-10 02:52:30,2019-12-10 02:52:46,3959,57704,4339,308132,380,1198,382a746e-a7d2-45f5-ab9b-9b4b5a4dc465,7A:CD:6A:44:39:AC,db9e2b3a-4db7-4335-aeca-73e678c0b7a4
