Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-10 02:52:48,2019-12-10 02:53:03,4012,55572,4150,96596,138,1198,5e762eb1-264f-4e16-90f4-a0196e0933ac,AA:63:08:D8:43:9C,7bb55117-ec12-46ed-bc88-8ef638a2a4ed
sampler,2019-12-10 02:52:48,2019-12-10 02:53:03,3991,59230,4027,99990,36,1198,3a74f6df-ed5b-4c77-aa26-3d7f77b27405,22:E0:03:AC:99:7A,780790dd-2b49-4d50-b65c-ed4eddbac251
sampler,2019-12-10 02:52:48,2019-12-10 02:53:03,4092,42894,4903,101296,811,1198,23973b0d-30d8-4f54-af51-4a61cdc54e89,A6:EF:32:EC:CD:A0,32987392-5c95-4167-9982-d3f0eed11fe0
sampler,2019-12-10 02:52:48,2019-12-10 02:53:03,3884,73758,5315,85488,1431,1198,9a8384a5-9bc4-4a64-be9b-dfc06224053a,D6:03:2F:31:DF:C6,e754746b-d32b-4d26-b46b-e11d66a7b2cb
sampler,2019-12-10 02:52:48,2019-12-10 02:53:03,4093,78798,4566,100690,473,1198,0c396d63-fdbf-43f7-94b2-6e05af3e995d,FA:7A:90:59:F7:B6,5c9debd8-04f2-4046-b295-866b7176ba21
sampler,2019-12-10 02:52:48,2019-12-10 02:53:03,4006,46442,5384,299458,1378,1198,5c93285b-d64f-44a3-97da-6d8e44aa585b,F2:C9:03:D1:81:0C,82bec280-e766-4796-9642-049d8ef8301f
sampler,2019-12-10 02:52:48,2019-12-10 02:53:03,4055,83978,4096,60532,41,1198,b7742bbf-0531-4597-bb29-55d279fb0112,7E:38:BC:FA:2C:6A,82698150-7b98-4af4-91dd-fd8b63ede7b8
sampler,2019-12-10 02:52:48,2019-12-10 02:53:03,4136,50862,5538,64488,1402,1198,24ddd68b-be52-42ea-bc2b-ec79ea538ba8,8E:0D:5F:3B:D2:06,c492abfd-0768-4d2e-9c7f-85a5945ddcf4
sampler,2019-12-10 02:52:48,2019-12-10 02:53:03,4239,57958,7256,3355398,3017,1198,cbf7e6d5-b4e8-4133-88e9-96bad7bcbc44,5E:BA:8E:5F:F2:EB,e5bf9b14-2b43-4685-b582-7b145cd4ecfd
sampler,2019-12-10 02:52:48,2019-12-10 02:53:03,3907,78474,4720,145218,813,1198,ca6fb0d8-c77c-4742-8c2f-49ff3404b445,AE:70:75:C9:2A:2A,4987954e-6560-4ed9-bd68-4fc85ba99b12
sampler,2019-12-10 02:52:48,2019-12-10 02:53:03,3674,35402,4413,335718,739,1198,7ac4af62-b4b4-44f3-9886-6365593f8b64,9E:3F:71:4E:75:30,356ef0d1-e783-4d14-a721-ba0da7fb82fa
sampler,2019-12-10 02:52:48,2019-12-10 02:53:03,4013,38262,4816,130446,803,1198,319080df-62d2-4c4c-9ea3-1b93edbac97d,36:EF:EA:91:DE:E3,5ca7efa2-de63-4aed-a553-fdf1a63fd702
sampler,2019-12-10 02:52:48,2019-12-10 02:53:03,4202,96942,5393,88164,1191,1198,aaa868bf-9e9e-4535-90b1-f73ee99e4f56,42:81:F6:39:8E:DE,d650315f-e2f1-47de-a98b-038a47e9ce01
sampler,2019-12-10 02:52:48,2019-12-10 02:53:03,4008,41834,4907,186498,899,1198,1715b6e3-28c2-4a17-9fdb-4d1f4aeb7209,B6:C8:B1:0D:6D:6E,605beed5-67c3-4ddb-9072-1449914def86
sampler,2019-12-10 02:52:48,2019-12-10 02:53:03,4158,77998,5058,581614,900,1198,54017c60-e004-4c58-be31-342285f5235d,C2:EE:67:69:F4:D1,0f7564ac-63ac-4f38-a023-b127ce63b40b
sampler,2019-12-10 02:52:48,2019-12-10 02:53:03,4144,79428,4018,107964,126,1198,1e659f53-39d1-46c9-8f91-1d3ce63f45a5,42:1D:6C:D2:08:F1,ebfc4cfd-07f2-462c-9be3-a017d889c749
