Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4307,64318,4452,79490,145,1198,3ad9d35a-c1ac-4f88-a377-380ccee0cd6c,4A:42:26:6F:D5:FF,af93d93b-bfc4-4840-9e22-08b2fdb86d98
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4559,83142,4570,76798,11,1198,de8b9e6e-b5ae-46e0-9599-f1812917ab89,7E:68:70:D9:D0:2B,1729b8ac-a24e-47f7-91bf-b1243b2e9486
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4667,94452,5081,53258,414,1198,bd496fcd-4b70-48b2-b3c2-56a20d2bac92,1A:08:46:3B:C6:02,4e216c2a-60bb-4d62-9b35-9247f5985fc8
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4546,53786,4413,52154,133,1198,f61df74a-32db-4ed2-855d-c45843a14a39,52:00:F5:A2:8E:28,4bf1b664-9fca-4670-aa69-bd0f20c31389
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4360,56130,4755,90444,395,1198,ef3b95b9-4427-4bd4-be5d-317155381c12,C2:DA:14:EE:AD:A4,2da7f473-c5fc-489c-97ba-0e9b58150718
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4259,72598,4162,37926,97,1198,317c7960-495a-40d9-9d85-bad0d4fa81d5,DE:A8:31:CD:6D:22,b63f486c-d432-4add-9126-95bd9b1e2805
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4341,40098,4724,56514,383,1198,74f7a3ec-1cf9-4bef-bbae-5c7e439fef95,16:2D:02:2E:B4:0D,35966249-30ac-4743-bceb-35d08bf05e18
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4272,118704,3993,44206,279,1198,48a79769-a800-4e61-a83e-4aafe2932562,FA:02:6C:51:69:B3,76daf207-da86-4073-b868-97ea7f4268ef
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,3956,48378,4696,76358,740,1198,70312730-6406-421f-b1d0-7874aa3ae8cf,CA:3C:A2:BC:34:8E,1c03f929-424c-4971-a4c7-f814ed8efee2
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4208,53736,4667,78976,459,1198,094bb068-9d45-4858-b8f6-7c19981b94df,3A:8E:4E:BD:BE:37,e8c19c13-947e-4375-88a1-cb6e7ad04873
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4321,66980,5086,166592,765,1198,bda9e6c8-46eb-47ca-b9ba-e56dfc1854a1,92:0E:27:FC:94:06,b5152f57-5880-4f0d-8a07-137d924e971e
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4180,98406,4192,41420,12,1198,30abb570-4971-4d10-8e89-f918be30a86a,56:4F:7E:AA:BB:77,001d3f10-ed92-45ac-9eb1-101128e791fc
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4346,97878,5393,653250,1047,1198,b6becde9-0330-46cc-a03e-84ebd52fc204,12:00:63:5D:18:0E,60eb0dcc-e581-48d9-98ea-0c880d57bd32
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4294,86586,4743,51968,449,1198,7cb8b248-e225-4f72-9ac2-58b00629b482,FA:90:D0:8B:B1:43,dcb79183-6e73-4770-894e-9563c384eaa3
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4384,294150,4356,80436,28,1198,d330b782-838a-49c7-b4da-63c0a894b283,72:00:BC:92:17:9A,6007fa19-5d4d-4f1a-b874-76fdfa50797a
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4139,43304,5246,117474,1107,1198,d6e134cd-1ede-42c5-bcd8-4f32b977bc08,5A:14:45:99:DF:36,8cba07ff-aaa1-4c42-9905-96f9c73e0c94
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4187,44370,5125,74074,938,1198,096011bd-32db-420d-9dc4-85c874cee5c2,B2:C1:7E:A6:40:9F,cbc2cfec-86c1-48f0-a179-a9a2e8851baf
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4211,58952,4886,238326,675,1198,0dd7a185-6e12-46ea-af50-eab6ef8a65cf,16:42:0C:F0:65:B2,a5b22a28-da17-42df-ae4c-09c61eca2b76
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4248,80568,4391,42536,143,1198,f5775252-5287-4caa-b5a8-29f38c025af2,D2:2D:44:03:A0:1B,6def3e6b-d96d-41cb-8940-0527e6c56b40
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4347,69348,4651,55444,304,1198,88f0e56f-a2ac-494f-8b87-908d20b77d5f,B2:7C:A7:B1:34:45,38718e7f-ff2c-4e26-b24f-aa4afa1d2a1b
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,3994,41726,5248,63066,1254,1198,ebc0ac63-6da5-4c0e-8155-b3af74b23f8e,2E:0C:23:06:8D:5E,bd755f1a-11f1-4676-adf6-3ca2b788d840
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,7131,3292754,4881,151930,2250,1198,1bc55836-9913-4fea-b285-5c6e2e9b8481,42:D2:35:FD:A3:C0,f7b7f9dc-5faf-4158-accc-c86cf237cc74
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4308,55432,4669,55512,361,1198,b28a228f-4b24-4ecd-b240-263ff5232722,6E:3A:5D:1E:EC:42,bdfc369c-50d1-4ccf-b3bf-8c43024a8cc2
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,3914,63420,5095,58944,1181,1198,a9b4a402-f0fc-4720-af1d-53db939959e6,1A:57:B7:B1:8F:6A,65908a44-c7e2-4e73-b84f-26ff530e6217
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4224,254900,5980,79754,1756,1198,70382b3b-2935-4b04-811a-7d6294ddf831,BE:40:2F:59:F4:7C,5bc17d16-0677-4a1e-86c6-51737f754982
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4157,79380,5332,275582,1175,1198,eef4e6c4-652e-44e9-8514-7b4885dacf4f,FE:B0:B5:6E:2A:0C,ed1bc91d-9519-4b94-aa3f-5f5121dc89b6
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4320,59136,5331,54182,1011,1198,1c81b1d9-d4ff-406f-a2dd-4889d9f8d2ea,92:FF:F1:B4:7B:A2,629cfdbd-98d6-456a-9a97-40fdf0803755
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4098,78090,5017,155394,919,1198,31890bfb-f0ac-47a4-9613-2e3d150dbc21,2E:77:28:FA:EC:A5,f88168aa-acbe-4626-8ebb-da14324b74c5
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,3997,54876,5014,80542,1017,1198,31b50778-ce6b-46ad-aea0-ef234a546e16,BE:B3:D0:10:1B:6D,5796cbbc-d931-4e26-86f4-19a6ebd2d68d
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4287,94666,5230,77602,943,1198,6e0f27cb-ac4e-4952-a47f-9e60d92172cb,42:E3:A3:C2:A6:5D,a02e1859-1dcc-4211-a2dd-9c0e4e5a1fdb
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4380,56628,4692,88416,312,1198,87566cdb-dfd3-4a09-8122-0a9cb54f8033,F2:61:40:05:AE:53,e00f1fe2-ff2e-40c5-9735-9db50b548067
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4331,114120,5005,85838,674,1198,2af9a84d-9709-4ea3-b05f-a21bd9d42537,C6:00:F9:C3:51:31,1e6782bf-895d-4cb5-8d10-46c1ad18493c
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,11509,8683870,5558,273068,5951,1198,f32d9bb8-0be2-423b-b7f4-984b343a8bdb,2A:D0:69:D0:9E:BD,927ec1d8-ce44-4b51-9568-d99f78af8406
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4533,79368,4730,73872,197,1198,84e028fc-67ed-4735-8152-da595deb3f60,1A:2F:9A:C9:74:CD,f420a9a4-d46d-4807-a98c-12cbe4f567b3
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4580,403318,4892,120448,312,1198,2c5e93cd-0407-4a7d-bda3-46a80204e8e8,6E:82:95:44:C9:A0,a77c0a05-74c1-4ea6-9bc7-074812184c6c
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4148,41006,5588,84300,1440,1198,84673706-ea2f-4f0f-be5e-bad508dec92a,9A:3A:EA:FB:CE:15,e521d1f7-bf03-4a1c-bb3b-0685c00c3bdc
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4108,90910,6968,206090,2860,1198,10657b2d-5d37-4c66-8a2b-13506ad733a0,EE:1A:88:81:FB:59,9a85f272-837a-4f03-98b4-035df5f2c7f5
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4026,50856,5810,114292,1784,1198,29e94658-f0d7-408c-9d15-17151e093cfb,2A:E8:65:7F:DB:DB,8b306748-4519-4aef-b66b-da04f4205454
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4371,47762,4771,54964,400,1198,714fa4a9-b99c-42e8-a2b4-9f09d5a86493,4E:7F:14:FD:91:D9,87c97af4-4a0f-4250-8a03-ba21fa5a5fb6
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4232,53516,5142,73660,910,1198,51021cee-0a28-4782-bf9a-e2feaf72b97f,2E:11:B5:9F:D2:48,721f3f7e-e44d-4c6c-9613-00c764ecbc88
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4251,125090,5341,81616,1090,1198,6308bfea-cf2d-4b7d-8240-ab5b72c2945a,72:10:38:1E:BE:69,d697fafd-e472-4a13-9c28-f9a7e3f76ec1
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4309,110280,5082,78472,773,1198,68c5ce18-e450-4f4f-a4c2-2b932991dd1f,AE:7D:1F:F1:13:90,10025e3b-1535-41b3-b7b1-30637a8d3707
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4391,108810,5089,70798,698,1198,3e4f168f-4b04-4144-8fc5-cc0e106c3e26,E2:BA:54:19:18:78,287aa4a2-f1b3-4d88-b9be-1724cedf2d03
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4083,56898,4405,57012,322,1198,3ef3931a-0f9d-4ff3-8451-11314e490cfc,26:EA:94:76:4C:D7,d7957e02-426b-46cd-b955-9ebf13e13391
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4225,88758,4740,87662,515,1198,3e0265f2-e59a-4c41-ae9c-99ae54bb9a49,BE:57:D9:25:4E:2F,8e4e2c65-44bc-4bae-9ceb-b7e3ed98f803
sampler,2019-12-10 02:40:51,2019-12-10 02:41:06,4081,49210,5394,77282,1313,1198,fe129583-4c4e-49e3-9adf-d034ad0e1bb0,76:1D:DB:80:EA:1C,6da13487-49fc-4960-ac95-484c30557d95
