Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-10 02:54:50,2019-12-10 02:55:05,4210,39322,4639,42592,429,1198,5ac68654-9770-49ff-a744-35885be251a2,E6:D7:1D:52:4C:5B,c5b84975-12ba-4fba-b7bb-d5b5c0e75777
sampler,2019-12-10 02:54:50,2019-12-10 02:55:05,4171,85594,4344,40726,173,1198,22e20a7f-8698-487a-b438-bb18e6123848,7A:42:16:03:EE:D1,6eddc839-a687-455f-910f-4b9f2f327409
sampler,2019-12-10 02:54:50,2019-12-10 02:55:05,4312,40336,4099,43770,213,1198,0e0bb1ea-d25c-49d2-9f26-c1b34ea88beb,36:E7:27:73:A9:4E,399b8407-91b2-4af9-af1a-fd7b022da2be
sampler,2019-12-10 02:54:50,2019-12-10 02:55:05,4098,53656,4506,236948,408,1198,9a2fc52b-015b-4b42-a3df-953e31ad2ecb,26:9F:A4:52:F9:C5,1897174c-d3c3-4d48-9685-df914bcd34f7
sampler,2019-12-10 02:54:50,2019-12-10 02:55:05,4208,71722,4305,362466,97,1198,0a04fc8a-c40c-4bd1-b1dc-a33373026f8a,02:D8:32:3A:D9:DA,385670b5-40a5-4da9-ade5-3a9af4515343
sampler,2019-12-10 02:54:50,2019-12-10 02:55:05,4224,261368,4050,45794,174,1198,6a0d01ec-5892-48f8-be68-6e6b8fb45828,A6:EE:BD:B1:76:76,14718d8f-27c0-4576-bd30-a5e7514b116a
sampler,2019-12-10 02:54:50,2019-12-10 02:55:06,4261,49848,4622,247206,361,1198,6e8fc051-a555-4889-b205-0fe519ad3133,D6:87:23:61:70:61,d2100ace-316c-4f70-9bac-76b9ac38f2c5
sampler,2019-12-10 02:54:50,2019-12-10 02:55:06,4147,92402,4160,82822,13,1198,e88c8a19-450f-4daa-9b78-585ed5808412,AA:60:7A:B8:72:44,2e08c86b-5af7-4846-a4a4-5ba42a5428bd
sampler,2019-12-10 02:54:50,2019-12-10 02:55:06,4095,56124,4384,54066,289,1198,71e1f63d-8627-4650-b017-648659b6d1df,FA:B3:91:F2:15:05,dd74fd40-b20e-4d02-af10-4bae97ec32e3
sampler,2019-12-10 02:54:50,2019-12-10 02:55:06,4527,43018,4455,88144,72,1198,6147214c-095a-4151-96c3-acae15270f47,76:64:31:8D:4B:4F,fcbf369b-bbc0-4a09-a775-be3425cc4a15
sampler,2019-12-10 02:54:50,2019-12-10 02:55:06,4965,124320,4308,71482,657,1198,4302c099-0dc2-4438-b934-a7305b802578,32:4E:25:A8:3C:48,0799164c-404e-4dcb-82a0-6868ef4c3b5e
sampler,2019-12-10 02:54:50,2019-12-10 02:55:06,4280,58132,4552,45728,272,1198,c09fe8fa-f2de-4f81-b241-ae4b5aeeb7c7,5A:85:F3:E0:0F:33,8f00647c-1359-4d2b-aeb8-45dbd2ebbc39
sampler,2019-12-10 02:54:50,2019-12-10 02:55:06,4239,54302,4398,88044,159,1198,3a8c226f-69a7-4a87-9511-80c8dff009b3,DA:1B:18:8F:DE:54,b5d035b3-2fba-4183-8a00-b58af4f8b7d9
