Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4000,37462,4711,82424,711,1198,afae2bcf-f49a-4ec4-9562-6dd76f160abb,3A:D4:6E:38:A4:09,d9efbd78-056a-435b-abdb-4e9193d73d75
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4217,54110,4547,75540,330,1198,e0c12e27-61ac-434d-a5ba-24caa9068f32,FA:BD:F9:4D:7B:54,49f52658-dd11-4b1a-865a-97fab6b8f104
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,3992,42146,4437,64500,445,1198,374a42ce-0126-4858-9a79-7b8635d03d6c,36:76:78:BA:26:AB,504f78be-784a-409f-a560-ad3ac1a2bd8a
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4448,100238,4280,121510,168,1198,c944228c-fdfd-4bf3-92d0-e535093a415e,26:51:6B:51:E6:33,af2b7b85-af6d-44b8-8a7b-b5ff2cb69b01
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4215,52212,5247,626202,1032,1198,eaa3ddd3-bbc0-44fe-9aee-483dd6cb0d4d,32:63:07:A3:FF:DA,1468f1d6-daf2-484e-8e04-aabf92ad8421
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4376,294916,4112,48784,264,1198,067c5f0e-385c-474b-92be-64a1caa9fcee,06:59:BE:A7:09:31,9b87092a-8807-45a5-a1e3-9dfd4bb1ab12
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4115,97030,4810,275432,695,1198,e418da51-7c69-456b-8ec3-e00c8d92920b,F6:C2:73:8F:50:4C,3f90948e-8e82-4e36-812d-ab4e443c4845
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4402,54006,4575,68484,173,1198,6b47a739-492a-436a-a6cb-6fd58a274d9f,66:54:FA:40:F7:F8,8e1ccbc5-88cb-493d-92ec-773d8db566f7
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4095,65356,4637,95026,542,1198,93faf6ed-4cf8-4006-8206-f68f9445d0be,06:A9:57:32:62:C3,822c80db-582c-4284-b018-236be494db25
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4269,165194,5712,78154,1443,1198,e459dbcd-830f-4c6f-8d03-29509d4596b1,EE:A9:DE:97:E8:80,e71c7ed6-a31d-4635-9fb5-5ecbfb3055e2
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4145,68356,4070,46594,75,1198,e29239de-fe1d-404a-8612-8ef4cbc7d9a2,0A:98:B0:8D:C4:B7,2d58cd5a-55eb-43d7-bd2b-f6c0599cc0fa
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4341,51998,4561,138672,220,1198,5a014507-3c67-4bf2-af4e-6f16a4dd3745,1E:FD:C4:67:7B:A2,3ebf97ae-7681-49e0-b3f7-2317263000ed
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4212,39854,4993,279948,781,1198,29b98156-f1be-4ab5-b597-391c4d7a7455,2A:AA:09:F3:0A:54,6b67a32f-0c29-4940-81c8-7ce518d148f3
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4162,61252,4936,115226,774,1198,65a946dc-db06-41fb-967e-f3aa2a444e81,46:C7:DE:D7:78:29,6c628094-40d4-4bd2-b5d8-7c8dc3844415
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4078,54058,5774,70886,1696,1198,bbb68f2c-5013-48fa-bb51-561adf94d514,EE:47:87:B1:0F:64,07a915e2-a7aa-4812-9434-9365ad210fb4
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4185,81448,5093,61440,908,1198,7fb1ce27-e985-4192-ba4b-905e881fa661,F6:2E:70:21:B5:BA,e1e7aef9-58cb-4a61-bd1e-8d115198e7aa
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4231,48054,5747,928834,1516,1198,8cfe4875-d582-4916-bf87-f3c9e45c79eb,06:21:65:B6:59:14,21d7a281-680c-4607-addb-5443ab9bf362
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4718,319582,4744,516342,26,1198,99f3b9b9-2cee-4cbe-bea9-936b429219bc,2E:16:8A:A1:14:30,99034925-932d-4288-a6cb-cefe12f99df0
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4346,43044,4237,63314,109,1198,26b4ff1c-5614-490f-a0cb-668246f2bdf9,12:89:52:4B:BE:0C,54b9eec9-839d-475b-a7c3-24194077f4f5
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4109,80638,4954,117022,845,1198,29d009c0-7763-488c-96a8-0d9df6f05472,C2:C5:08:14:C0:72,d7e24ec9-0a92-4106-a1a6-16aa4d193ebe
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4012,49480,4274,267982,262,1198,9ea82361-aae8-45fe-9a9f-961de35e0032,BE:54:49:F5:D6:A5,58ecfb3c-d6cc-4447-9af0-bf36c9cda9b2
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4235,75050,4442,42976,207,1198,c70c11ef-b791-4126-81ea-23c3da1dd94a,3A:1F:FD:85:65:13,68b0b837-00bd-465f-97c1-1a0bf68da026
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4419,66818,4917,95500,498,1198,595bf809-5141-46ea-a404-f0c66e0e3bc6,0A:D6:31:F4:16:AD,cc7b7cbf-a90c-4d05-ab96-c04f98264d1c
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4086,45658,4836,95094,750,1198,cee80358-ed55-4c1e-92c9-e803dc9adf9b,7A:B0:A1:7A:3E:63,57ab830a-3f5d-4e5f-a5b7-5bbfcbf94ee3
sampler,2019-12-09 04:31:58,2019-12-09 04:32:13,4315,51622,4560,61444,245,1198,85c951f0-28a5-456c-9132-28167a24ee72,66:C0:06:84:5A:51,f05bd385-0c06-46de-96c3-6bcfe9c105db
