Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 20:26:08,2020-02-13 20:26:23,4813,480608,4398,125710,415,1198,d0d2c2aa-b988-451d-a2c7-c814cac0cbeb,FA:88:7C:33:92:F6,61ad6206-81c0-4412-8a07-0f54dcdc2d8a
sampler,2020-02-13 20:26:08,2020-02-13 20:26:23,4056,80242,4462,46186,406,1198,6cef9b4e-68c4-403b-b388-31faa15b42dd,CE:23:82:A5:27:68,07c49cef-bf78-4a9e-a3bc-1ee20906dcf1
sampler,2020-02-13 20:26:08,2020-02-13 20:26:23,4149,52024,4354,95298,205,1198,3c26e707-d199-4f51-afbf-a0f181007ab5,6E:05:A3:A1:8D:6A,c4587455-d92b-4f9b-b8a6-dd5d8960b5aa
sampler,2020-02-13 20:26:08,2020-02-13 20:26:23,3968,124376,4082,86210,114,1198,fb9b26f4-99a6-4120-9b33-cde4fd5771ce,02:3F:88:2C:08:B3,b44ed1c0-dde7-427e-b125-00d6d2e0f283
sampler,2020-02-13 20:26:08,2020-02-13 20:26:23,3924,101142,4239,89480,315,1198,45b8b386-4d6f-4504-b98f-fa5be4b5b17c,E6:37:98:30:0B:01,28d87544-defc-492e-a813-02b8dfde7311
sampler,2020-02-13 20:26:08,2020-02-13 20:26:23,3711,48966,3882,52312,171,1198,c562dbc6-5ce5-4295-9949-d13679743928,96:22:C4:56:A5:49,b3d91725-cc5a-4771-b88d-b4ff4c186eba
sampler,2020-02-13 20:26:08,2020-02-13 20:26:23,3967,55094,4278,80706,311,1198,f3405b14-ea7f-4cd2-b2fb-e4cc4fc8abc6,12:AF:E4:3F:61:F4,e082dd62-c1f3-4800-b87e-08244d016ede
sampler,2020-02-13 20:26:08,2020-02-13 20:26:23,3976,126800,3605,67074,371,1198,a1f6f282-ef93-462d-acf4-8d0d83621de2,22:75:6D:D7:98:7D,78c65b2e-a8da-4389-8eb9-d473c26cee92
sampler,2020-02-13 20:26:08,2020-02-13 20:26:23,4087,78630,4239,78314,152,1198,b10855ae-7407-4a1c-9168-e59857b27156,2A:08:FF:E7:1F:D7,60914402-8498-4491-93ba-3780baf3d6e2
sampler,2020-02-13 20:26:08,2020-02-13 20:26:23,4300,42762,4531,90164,231,1198,ccfd70a4-8404-4d35-84ec-c6fdf71d3040,CE:5F:5A:74:83:61,a8b78955-3c9b-44dc-913b-c1f7df3bf575
