Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,3980,52528,4023,82780,43,1198,9bbed0b1-1985-464d-8d02-0da450730520,BE:ED:DE:C8:08:B2,5fa45e29-b8a7-409a-8854-ef7808992501
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4228,53610,4496,86014,268,1198,407177fd-2461-4f23-a942-9850a466643b,B2:3A:38:C1:DE:A6,864b9f07-6248-4f6a-9c4e-3d60f546d64f
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4908,570392,4146,84026,762,1198,63923479-0b48-45e8-86d5-6e95afee339e,2E:FA:76:68:EA:02,dd7fb5f6-cb42-482f-80c8-fdc95680aee1
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4239,79020,3912,58442,327,1198,72632dda-12d2-47b0-a678-9c89670b10de,6E:F3:4D:27:09:C1,206a6311-077f-4f3b-a22b-b944ab487f19
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4228,87692,4346,306952,118,1198,01e8e9b5-9094-45d9-ac99-6a69a5455138,26:B8:80:2B:70:2B,00c92aab-ab40-4fc1-830a-179f37788526
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4228,111180,4190,90702,38,1198,7eb1cc10-609f-4dc4-b183-018db222c799,5E:00:FA:75:9B:FF,3eecd8c7-a76d-4d12-aa24-23b026892396
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4937,343274,4032,55900,905,1198,d8405c01-2085-4893-ba64-c689ba04b7d8,BA:15:AD:9C:21:2C,46338a45-1e89-4532-9abe-f982694f76a4
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4359,74808,4153,83848,206,1198,a69f3f4e-5fd3-4cb0-95e1-44de2a503291,AA:81:D3:1C:A2:84,7561476d-5569-4169-ba25-c8d7fad81c2b
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4410,82524,4461,387180,51,1198,81725f4c-9c16-4558-b390-beb986131cbe,AE:57:96:5B:D6:64,53916ca4-11c3-4fe1-a946-f8f139c78d38
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4469,67626,4263,61158,206,1198,025adf49-3ce6-483a-8ef0-4c9429ac291c,B6:83:3F:F4:9A:A6,44b41a1b-7bda-4c3b-b54f-9ac0b4fd5597
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4198,89244,4151,86986,47,1198,7a184f57-2916-48e7-b639-5cfd83672103,5A:55:7F:AD:A2:98,7fb8e424-be97-42a1-957e-69def3e5050e
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4375,55820,4461,298382,86,1198,7c171d84-7913-4aae-8dd6-2d8afb26eec2,8A:16:1C:DC:60:5A,f554365d-4785-4f74-8ab3-aa76d7deb6ec
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4020,98012,3874,54154,146,1198,4919b6a8-f30f-44d4-afc0-a7bf004a8d70,CE:DD:F2:0C:7C:67,71ba3120-e0a5-4fad-99ef-fa865c5cc088
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4234,116126,4309,82714,75,1198,6fa94696-9663-4a6e-82a7-512c5ac09c87,7A:A1:42:E1:3C:55,9f826ebf-f8e6-439d-8632-b28b2ac4a71c
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4209,59655,4399,70009,190,1198,69d029e3-cb9d-4368-9c17-ddf853919811,B2:84:18:89:BD:02,a8d6dc22-bdd7-4ad8-ae22-01826a94a086
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4318,434318,4267,120476,51,1198,0f5e124a-5635-4017-9133-10ee032398ae,7E:D9:53:39:44:0C,969a1447-b6e7-4808-bbc0-954221017de7
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4311,121392,4413,385470,102,1198,3d85269a-4f7d-4398-bc8f-49f5bd6d40fe,C6:5F:BE:24:B4:51,7912ac5b-5d3f-4718-a662-c2968da93035
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4230,67050,4084,53826,146,1198,ef02956a-9d67-42a8-bb9d-89e5306d337b,DE:7A:36:23:FC:1F,a3731d78-51cb-4034-85af-7cf19f5cb6a7
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4254,51378,4226,64800,28,1198,03e84eae-1057-4eab-bf82-a70c862b4e75,9A:ED:83:AA:4C:33,0a8ec163-3af3-4f33-85f4-908ffc017e9e
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4079,60990,4268,84502,189,1198,fd5e53b4-b4fb-45f1-9012-25d51f8ec5f7,4A:05:75:ED:6E:99,78b441d4-39d5-4f5f-b4c3-917fb1d29f3f
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4631,53420,4425,49492,206,1198,7e04225d-73dd-4dfb-91ae-81fe468b49d3,16:F4:96:30:BC:08,5fbe9031-54fd-44b6-961a-b79486eb4a28
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4326,52360,4251,66240,75,1198,6b56a4ed-2516-4bd9-9f4a-4eac343de6c6,36:B7:E1:6F:FD:76,d923d284-ca2f-4eef-a40a-57b8616e4741
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4137,67728,4219,241396,82,1198,2e2ad115-c5cc-49c3-894a-cd1ed1d46373,AE:0B:9F:CE:F4:84,be66cdf8-8b0e-4dc6-b77e-bd80be005815
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4189,87225,3944,70081,245,1198,9fd9917a-51c5-4a1f-a78c-f5e4b6d3c034,0A:98:75:49:11:24,c219db6b-155f-4897-a418-e75c3ac1f369
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4702,222396,4179,46072,523,1198,c2a5725c-6a7f-4bb7-b2bb-b82bea0fe62d,BA:B0:6E:DB:FA:C1,775f945e-86fc-43b0-9eda-c3d993e1f599
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4458,344976,4457,114842,1,1198,aeb4d639-14df-461d-ab88-30f80885a359,56:84:76:A2:3C:29,48d5dc33-3a6b-4f97-8162-6983d6c305ef
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4250,39336,4279,73442,29,1198,fbfd35e0-403e-4305-80a9-9dbfd2d9f57b,D6:A2:80:88:CD:70,1d0c46e0-b4b1-4039-987c-c653213f6e7e
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4251,111688,3808,36288,443,1198,3fc23fa0-2ca0-46a7-b899-23d70e41c76e,6A:7C:9D:30:88:4B,bdc40fcf-b28e-466e-9378-588bbf331628
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4076,55276,4155,59174,79,1198,aa2ac4e3-6c5f-41fc-9130-43858c31cf06,CE:9D:63:7C:78:38,f8dbae35-5a67-4da5-b57f-a173ca3aa9a4
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4426,62838,4347,112450,79,1198,8cc922d5-85aa-45ef-b5b1-4e1b0f21a7bd,FE:35:AD:D7:27:2B,9b610d15-d5bf-4ef8-8611-964bf94a0cff
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4186,63940,4090,42590,96,1198,fde4e010-838a-4654-b5fe-000fd62db150,62:38:09:4C:7A:1F,ed804137-3da9-41db-bbc6-85faf7b132fe
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4330,88328,3935,81774,395,1198,7fb05e1b-6665-4359-9c05-fed45cace82c,EE:8B:A5:9F:A0:E9,acc713b8-13a0-42b6-a283-88ff8f084a84
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4281,55340,4251,64378,30,1198,78efeb9c-6ded-4395-8542-987d9c2ad69b,2E:15:72:62:1C:BE,d4fd9ca8-0167-4e08-b776-5667412b7f2f
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4107,92486,4089,43462,18,1198,d5e1b1d1-cf35-4e80-a378-6146061c49e9,9A:E0:02:81:49:8B,43bb873b-de81-4fac-b68f-6955e4d729ad
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4242,112476,4115,39720,127,1198,48e8b149-61cc-460a-9e86-2e5eb8aabac6,16:9F:2D:3B:5F:63,21850139-eb61-4de8-a7f5-04c11d4082ec
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4232,48244,4046,52174,186,1198,44138bf7-9f24-4cd0-bdda-621e4a9150e6,82:D6:F0:7F:95:B3,8ae715d5-40fe-4bf7-9994-5e4f1c3f6ced
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4192,44986,4575,325236,383,1198,541fb310-5d3b-4771-8ff2-49e6b040d62b,6E:D7:CE:6B:1B:F0,f69b0372-b316-4c4b-b2dd-9857bd30b20f
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,5050,395474,4248,100976,802,1198,157ac0fe-52d4-4f61-b5ad-0cc3522b27db,42:88:94:F1:62:45,6b522df2-bf01-424d-99f1-b3021f7cfcc3
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4413,83172,4525,94174,112,1198,6d497b61-cd75-4607-b2bf-7002e6e9d8a1,76:19:99:45:D7:F4,690c2004-5ccd-4873-8671-43fe38ec9b2a
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4055,58556,4265,99648,210,1198,0392df66-e27b-4651-85ce-71966837b011,5A:80:CF:AB:F2:B3,78de5696-463f-43f1-94c3-e5b2dc299045
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4192,52158,4472,332976,280,1198,006ecfa9-4fc2-4a16-803a-1d6fa55164cd,A6:5C:87:C7:63:1C,5f620e57-7894-46c4-a634-6a1531f97255
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4724,414226,4327,207938,397,1198,e0f1e4fd-9136-406c-9e2c-e3ba9fd07ae2,06:2C:C4:22:09:6B,0ce3ed07-2361-4690-850e-300d1462ce9f
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4051,44026,4084,69358,33,1198,3da1c765-17f0-4c9b-a115-8e5ab5b83eb1,CA:93:E3:EC:95:60,df8a7709-c86a-48a0-919b-950eed2f2bd7
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4482,234830,4406,98720,76,1198,b78f263e-7251-4cfb-bac2-c4f805b9d469,0A:07:C9:9F:30:97,d1293e01-5641-4075-8e59-7958dacb2dd0
sampler,2020-02-13 08:10:51,2020-02-13 08:11:06,4900,344406,4263,110208,637,1198,24585f13-6078-4fb9-a22b-1cc4efe42bc6,BE:34:9A:87:6C:A6,4f15bc28-1fdf-4d18-8a2b-c51847dc3208
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4410,83914,4436,293126,26,1198,1b8e4493-577e-48a2-addd-783bd8036541,12:84:82:A3:9E:68,a1c8ac1c-a832-49a2-ac2d-00e16fd9322d
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4436,427104,4075,50158,361,1198,6e33d8c4-c60f-43ec-99c1-b539cb827afc,9E:0F:67:A5:83:2A,fe90a700-de71-4bc3-a3fa-1c0071d7df1d
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,3945,113632,4098,105756,153,1198,88162ad3-e46d-466d-9bf4-eddb3f3cd7f2,7E:9C:24:2D:C0:7D,de555556-628a-4b98-bd8b-2c931e060aa6
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4008,57484,4013,71304,5,1198,91d9ac9b-56c2-4ade-841b-78de067fa79f,9A:1B:F4:1D:76:B7,79999e14-db95-4ae5-a1bb-207295b8e71f
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4333,115216,4342,53924,9,1198,894eafa0-f6cd-4960-8c7e-1078992f4233,62:14:CA:E6:54:2A,51fa18d2-b877-4d49-b098-54b249c1c5dc
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4287,52344,4205,89824,82,1198,6ac05bc3-5ce4-47ac-b921-20d031d800a0,CA:4C:7D:4E:6F:1A,f934d9df-4482-466b-854b-17705ac27748
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4358,61002,4069,42590,289,1198,12174a21-7a64-4bbf-8160-48519096d9d6,86:66:E4:66:A7:95,686e376a-59fe-4843-84f0-9e62054bdb06
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4486,91710,4161,109280,325,1198,b51e07a3-74e3-4d77-9bf7-772b98fea43e,22:BB:3E:F8:92:BE,d4c7dc90-8096-458a-a3a1-f013bb59191e
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4401,53504,4730,340112,329,1198,3a3dd02f-71f1-4006-abd5-ec524de70cbc,0E:E0:8F:AD:F2:79,775be6cb-bb12-4db3-8160-07faf91e5e76
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4637,320320,4259,83496,378,1198,770d1f30-13aa-46c1-8b9f-9dffba3dd9e8,5A:9F:CE:C5:23:A7,48e38bd0-1a2e-4fda-a57f-2ccbce251188
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4402,54820,4407,152078,5,1198,5b07cec3-437e-457a-a3f3-00070dc4e6a4,82:92:17:E0:23:25,bb2e161a-cb3b-418f-9a71-5f1ecb7869c4
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4225,52972,3992,64748,233,1198,016f8a40-2d1a-4d04-a21a-c88c7900fae6,1A:5F:6F:88:3B:D5,ccac6a3c-bb27-48d6-8510-3bc3023b6891
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4385,56758,4342,213748,43,1198,92f2a5af-3491-44e1-9c89-86ec6c926ae7,6A:14:1C:7E:17:32,b2ac8288-0f31-415d-b9cb-4e338278d578
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4164,73204,3837,92100,327,1198,2306d45d-0ab0-4bb8-8e8a-8d45e5c48c88,8A:59:E9:5D:49:4B,32421e6f-490f-435f-9005-bc071b419212
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4641,72124,4694,337040,53,1198,f16b1024-80fd-44ec-80ed-1a4c4fef1446,82:7A:FB:7C:10:2F,cb6034cf-c948-42e0-8b6e-8c22d135f64c
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4158,58260,3708,39358,450,1198,35b4725d-47c8-4b8a-bee7-8f083492b545,92:11:EE:C4:BB:12,625bb457-ce58-41e0-b018-bcadf2749f66
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4169,73594,3912,37370,257,1198,bccbfc19-59a8-4ef5-9d8b-133f9d001710,F6:04:62:4A:0A:49,554f03ba-bd09-42f6-97ff-6e1e058dea42
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4290,57460,3957,69920,333,1198,58938d44-ea03-4b9e-9857-ab8b3d11b84d,F2:5B:3B:F1:EB:58,14de5804-a553-4975-86ed-1e3b2dc9d990
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4307,82630,4166,87372,141,1198,72198383-fca1-4530-b342-0000b4fe353f,F2:98:D6:52:32:9C,f4d3f937-564d-4df5-b0e7-613b8faa806d
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4253,118652,3997,52100,256,1198,ce1c68e8-36af-42c8-8c9e-8a13d7e0b76f,4A:BD:B9:A7:0F:0C,b2303de9-34c0-4f55-9307-cec2329c4b88
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4101,44090,4268,96412,167,1198,6769f4c0-e5e5-4c5a-8446-6437be376cbd,D2:E9:B5:A7:8C:27,5f96dc56-3ad7-40bc-b4ab-e121c318d26f
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4119,55670,3992,50216,127,1198,e98f3426-dfe4-4477-b74e-6c08a2180d3c,16:FF:65:60:77:83,465e8cdd-8251-4caf-ac68-77f996984535
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4320,366362,4083,108468,237,1198,9315e97a-e0a7-40b2-95b1-8b79b65a0296,B2:31:56:04:85:E6,b24d2ef7-fef0-48f7-baf5-b379102144e0
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4298,53562,4153,60816,145,1198,4cde78e7-1c43-4101-8de6-9135e9ea0413,B2:14:3F:B8:9B:0D,c5c98bc7-6332-4673-ae30-d542e95e97c4
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4397,344911,4157,41002,240,1198,9296faac-b2a9-4613-807b-f33a84928ddb,2E:02:D7:B9:36:5D,18abd4dd-a989-4314-849a-5df5a05730df
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4250,62352,4065,54780,185,1198,8cd0f9f9-3080-478d-bb2e-3a307318c3e8,2E:B2:4B:FD:68:FE,a115c711-b6d6-4674-8acf-55ab361e3840
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4026,39962,4110,199112,84,1198,f63be1fd-7925-422b-bdb5-3e396b0d700a,D6:7A:AF:78:33:46,7b59bfa8-144f-43d0-af14-3ea29592559c
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4478,91764,4101,41054,377,1198,42eabcf9-8145-4438-8259-3aba9a581d0e,5A:08:DA:09:A1:DF,9b3dd55b-36db-40d7-8d41-d050c5161376
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,3793,44998,4029,139834,236,1198,1fac5293-3a6d-450f-a8c7-7169a1ad1dc2,DA:64:81:75:54:9A,fcb9a070-38d9-44b3-935e-db7b4d2afa46
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4322,81358,4043,46620,279,1198,21813c27-5108-4df7-ba97-d24cea7df8ef,C2:D5:87:ED:51:4B,d8c3172c-0cd5-4057-ac60-4f5fcd2c5466
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4341,76146,4178,55080,163,1198,072500d0-0250-44d6-b98f-e3c3da5c5765,16:01:F9:BF:9D:79,99cb6de3-d90d-4be6-b765-2a294d15ce02
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4295,60196,3925,44214,370,1198,be99abc7-0a7c-4c08-9af7-be4ca8f27c86,B2:D0:36:0F:68:23,8900fcf9-db38-4dd9-8cc9-b0c4d28ef50b
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4141,68226,4179,66992,38,1198,888799f3-2e87-4cc5-9471-23c8f42eb271,32:0E:A3:BB:27:7E,a35da0bb-18d4-4a96-ad6f-9f09e18d7733
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4132,133336,3810,52606,322,1198,24f6f9ae-6fd7-4406-8b44-8e804a272452,EE:25:A6:4F:71:78,7c6cba1f-f832-46ce-a445-d01385dee2b2
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4169,61672,4190,258648,21,1198,d228dab5-15ad-4cc4-b341-104244a2da7a,46:4C:9F:A9:71:C5,45352a9a-0bac-4c99-ab56-854ffad13f21
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4844,783254,4338,226620,506,1198,f400078d-9c4c-4a9e-a9f1-fbda707029bf,A6:73:9E:D6:5C:0D,7b0aedf8-7082-42d2-bfdd-3edc064c2ee7
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4559,225582,4297,110278,262,1198,9aa06b9f-93d8-4224-9ce8-d95e4c897be6,46:C6:4D:08:2D:1C,5e5c77e3-1d4e-4b53-8fb5-bcad3c86f95d
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4190,55152,4350,381562,160,1198,6c634fdf-7141-4a38-8312-cbb011f0d13a,46:64:7E:8D:15:11,0c16713d-47f8-4970-81af-83e1aa289205
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4233,65082,4195,55154,38,1198,e2bded94-2090-4543-a956-da9303f9c66a,FA:3A:8F:49:AB:82,305accea-e8c0-474a-9803-f7531fdf162c
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4204,101324,4065,55956,139,1198,9d59889f-035d-471c-9c01-3a29bb42b6ea,E2:2C:B5:03:C4:30,a6b51fcb-15cc-4423-9163-db91b0fd9d69
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4236,72760,3884,40858,352,1198,df32e316-8e3e-4c1d-af99-4ba554462611,CE:6C:A9:22:4C:3A,73962285-b0ac-4db2-baf3-772813b34e42
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4403,88840,4441,81740,38,1198,19ad8f7b-1916-4eec-b317-cb4a3800dd65,F6:BE:B9:1D:0D:75,e03c7f89-0ed8-4f6b-aae5-88bdb189bf9d
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4090,52406,4236,54128,146,1198,71829c94-d3ab-4d0e-834b-32e1cef23840,76:B2:09:9E:7A:82,687de7c5-4572-4106-b695-52c9b1e88d1e
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4268,87943,3674,34500,594,1198,88130e77-216a-4c61-8d22-7fc4eaf40b7c,D2:E9:12:80:FD:40,d2b9d5b7-6bb1-4fb2-85ae-d3d7018c22cc
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4306,122196,4431,42188,125,1198,246591c0-44f1-4afe-8e67-d14e4756ebe3,2A:CC:88:A0:8B:9F,80f2cd32-8bce-465a-8b34-e6d03f348a2b
sampler,2020-02-13 08:10:52,2020-02-13 08:11:07,4269,69736,3912,89598,357,1198,7418527b-5f68-40fc-b095-d9020e849ece,B6:78:E6:AE:BA:A5,a4be0949-79b1-4cd3-b206-cace7d8191e3
