Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 22:15:49,2020-02-13 22:16:04,3815,62537,3682,361501,133,1198,b2408054-fe54-4061-818d-60797716565a,D2:97:78:6C:0F:E3,446397b9-3765-4696-837a-b63ab9a8e6fb
sampler,2020-02-13 22:15:49,2020-02-13 22:16:05,3964,94544,7791,228206,3827,1198,c63703ac-066e-4739-8eb6-79317dfe084a,E6:7A:8C:86:53:DD,97c04a68-fe07-4283-8f51-d36f5b4a07cc
sampler,2020-02-13 22:15:49,2020-02-13 22:16:05,3989,39920,9099,487348,5110,1198,5a2d4197-fed9-4ffe-b0a3-17f3309dd071,7E:88:17:CE:16:C7,dbec332e-0690-4ec0-916b-baf51f03e32a
sampler,2020-02-13 22:15:49,2020-02-13 22:16:05,4012,48230,17329,751306,13317,1198,bdb38207-5241-4d43-8c86-341a2cd0ea96,4A:23:6A:EF:35:AA,16eeda62-ca2c-461b-86a3-2161fff728b6
sampler,2020-02-13 22:15:49,2020-02-13 22:16:05,3844,37613,49265,42935643,45421,1198,7c2a134c-8e37-4e15-98a3-6ec600949800,8A:AE:1D:16:08:C7,fd0d5ff7-aada-4d66-a4cf-ddbd8c55a76d
sampler,2020-02-13 22:15:49,2020-02-13 22:16:05,4555,97614,70302,24812592,65747,1198,58d8b356-0f97-4cef-b234-2b91b9a2d6b4,5E:FE:57:84:99:EE,5dfb4955-e80a-4284-a326-79a9fbfed06b
sampler,2020-02-13 22:15:49,2020-02-13 22:16:05,4450,56434,17584,1555830,13134,1198,26ff5142-5549-44a2-9bb5-501ae5cca120,8A:7F:A2:6C:D5:4A,6535c7ac-7d17-4432-be6e-eaf6415009f5
sampler,2020-02-13 22:15:49,2020-02-13 22:16:05,4299,102212,9351,1273024,5052,1198,36202bd2-93b3-41a5-b6f9-9f8f6f04ab8d,46:D8:39:03:58:E3,e9126506-b31b-4bfe-836a-ef0f79a44443
sampler,2020-02-13 22:15:49,2020-02-13 22:16:05,4668,602000,11028,4400268,6360,1198,da567bca-8b8a-4d07-bbec-ca4cc0b9e6af,D2:B9:9A:75:15:F1,3fd5ac1d-951d-4a28-b6d8-df0677729dec
sampler,2020-02-13 22:15:49,2020-02-13 22:16:05,4543,90808,26234,14795132,21691,1198,a41e2093-f6e6-41e4-a16f-908993eec6d8,2E:37:2B:CF:97:39,c6464ba2-21bf-4392-b966-86dc479b71ca
