Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 08:09:32,2020-02-13 08:09:48,3675,35269,4060,47828,385,1198,9cad040b-9b30-40a9-bd9c-0bd90916aef3,D2:E9:12:80:FD:40,d2b9d5b7-6bb1-4fb2-85ae-d3d7018c22cc
sampler,2020-02-13 08:09:32,2020-02-13 08:09:48,4290,97948,4987,74514,697,1198,55160b2e-79fe-48f5-9153-b2426edb268a,96:B0:90:5D:D0:00,6ed7b7cf-b5dc-45a5-8670-9144d8c300de
sampler,2020-02-13 08:09:32,2020-02-13 08:09:48,4204,68432,4667,142926,463,1198,0c15e490-98d6-45b1-a9c8-2b98cd4c3767,C2:D5:87:ED:51:4B,d8c3172c-0cd5-4057-ac60-4f5fcd2c5466
sampler,2020-02-13 08:09:32,2020-02-13 08:09:48,4211,76996,4262,105578,51,1198,6cf43b0f-82e1-45f0-9108-914eda5a2d61,46:C6:4D:08:2D:1C,5e5c77e3-1d4e-4b53-8fb5-bcad3c86f95d
sampler,2020-02-13 08:09:32,2020-02-13 08:09:48,4298,47280,3921,82568,377,1198,dd544279-b04b-4696-8c9a-93dc0fe587eb,CE:6C:A9:22:4C:3A,73962285-b0ac-4db2-baf3-772813b34e42
sampler,2020-02-13 08:09:32,2020-02-13 08:09:48,4197,83876,5510,361174,1313,1198,abfb90fe-4e13-4ca3-bba0-8d2e4e8abcdb,DA:DA:91:82:15:71,09bcb432-be71-48a6-a4e4-a598473ce28b
sampler,2020-02-13 08:09:32,2020-02-13 08:09:48,4611,324360,5404,86254,793,1198,81ad7dbb-dba3-4f69-997d-5986486f723d,5E:38:41:80:5A:BC,44c9b5e2-23e2-4383-89e2-ecbdee5dedea
sampler,2020-02-13 08:09:32,2020-02-13 08:09:48,4472,206592,4174,85028,298,1198,7a404780-70ac-4250-a34d-5eaa090fe62c,06:F3:F7:5B:EB:C6,bdeb02e6-b57a-45f8-b93e-d89d3844d485
sampler,2020-02-13 08:09:32,2020-02-13 08:09:48,4304,56746,5596,150438,1292,1198,97c04db8-bf7f-4fb7-a84c-0eb7418d6a2e,B6:78:E6:AE:BA:A5,a4be0949-79b1-4cd3-b206-cace7d8191e3
sampler,2020-02-13 08:09:32,2020-02-13 08:09:48,4426,108724,4402,79380,24,1198,4982a6c8-697a-4625-8103-4a16667aa363,D2:40:92:A7:37:97,69fa0bf8-7e4e-4c0f-aeae-fd9f2665f13d
sampler,2020-02-13 08:09:32,2020-02-13 08:09:48,4390,126924,5754,779674,1364,1198,bb345d76-8146-4133-bd08-aa1d5860ae5f,E2:2C:B5:03:C4:30,a6b51fcb-15cc-4423-9163-db91b0fd9d69
sampler,2020-02-13 08:09:32,2020-02-13 08:09:48,4483,467760,4684,300026,201,1198,74345261-a9fc-4b00-8d3f-61e590c5a068,16:01:F9:BF:9D:79,99cb6de3-d90d-4be6-b765-2a294d15ce02
sampler,2020-02-13 08:09:32,2020-02-13 08:09:48,4214,98338,4528,54394,314,1198,c3986e66-1f49-442b-871a-b03977cf38ea,32:0E:A3:BB:27:7E,a35da0bb-18d4-4a96-ad6f-9f09e18d7733
sampler,2020-02-13 08:09:32,2020-02-13 08:09:48,4496,86142,5830,216636,1334,1198,685ecad6-250e-4ffe-a788-691210a2980e,2E:B2:4B:FD:68:FE,a115c711-b6d6-4674-8acf-55ab361e3840
sampler,2020-02-13 08:09:32,2020-02-13 08:09:48,3983,48154,4186,68152,203,1198,06ee3b9d-ef53-4a8c-abda-35da590b9fc6,F6:BE:B9:1D:0D:75,e03c7f89-0ed8-4f6b-aae5-88bdb189bf9d
sampler,2020-02-13 08:09:32,2020-02-13 08:09:48,4312,55028,5133,103488,821,1198,2f6aa715-d16e-4dba-a908-4500c7838f90,FA:3A:8F:49:AB:82,305accea-e8c0-474a-9803-f7531fdf162c
