Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4009,94134,4062,60307,53,1198,eebf78b1-0e29-428c-b6d7-5f08b677ce22,26:0B:4A:29:42:09,8fca7a37-161a-49e7-bb43-78807ea287b8
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4132,44047,3890,42148,242,1198,73e73527-2930-4d6d-be5f-ca66e73ca39e,2A:69:87:31:AB:C2,716bcad8-d3d5-4097-a138-d2bd18e069ff
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4181,125699,4080,42892,101,1198,99d197f9-ca35-46c3-9337-02fb7a655b45,72:B8:F1:76:42:40,ec86cb07-d0dd-407c-9a71-fe09986ec9c6
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,3832,40872,4216,112373,384,1198,1dff929f-b0e7-4232-b36d-57e8b92b4f5d,5A:4C:B9:C0:64:98,ee69a966-1acb-4503-8591-c544bb2f1eef
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,3780,97580,3922,135038,142,1198,c1a9a1ec-2594-4217-b80e-07cfaa6adac0,CE:CD:58:EF:26:9A,10b93080-3bf6-454b-af3f-8f6e4237ec62
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4186,56435,3982,123610,204,1198,4c8ef5b8-aa5c-46a6-bd13-4aad45b9d411,EA:92:A1:49:52:AB,ffe1eb51-278e-4caf-8c34-6c6a8d807587
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4017,75485,4117,63005,100,1198,96e436a3-2447-403b-8594-c2125c7ad45b,CE:53:44:37:9D:26,5e275034-340b-48d2-9b66-99465a07e2f6
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4066,46386,4357,129148,291,1198,aa49e25e-46be-4154-8699-a34b307ce439,26:18:4F:57:29:B7,e3e5d578-814e-45d8-801f-ffe5b4748a0f
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,3933,76785,4034,114552,101,1198,6c2da9aa-d799-4d47-9d3c-f5954f5f3607,16:82:6E:B8:C7:AE,ab5e9961-c705-40d6-b98c-f8fc00947df0
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4152,155885,4165,43128,13,1198,ae23e55a-f943-4adc-9cb7-966d8af847b1,26:BF:99:C9:D5:D8,d508c091-07b6-4766-bd0e-8c435f36ff2d
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4082,146330,4248,77577,166,1198,472e3edd-923a-47a8-9314-e114f4796aa2,5A:7A:6A:03:D7:E8,648c1188-7f91-407b-9246-6b97beb948df
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4116,44973,3865,44488,251,1198,927199f5-8147-4a75-90aa-4b8b6bb9887a,36:DD:B4:02:F0:8A,2b4553a8-1a70-4156-b694-ac856cb2ad1a
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4148,37776,4043,49493,105,1198,cd6588ce-c4c9-4396-baa0-f0ad14662756,5E:05:F5:B6:D2:B4,d0e27f81-8146-44d0-a311-bea03f640df8
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4068,45329,3977,60370,91,1198,48e0dae2-34ff-4a40-80f1-b663deb1b2a0,5A:00:42:B7:BD:1E,a35c4aac-4605-4b74-8db5-4425a3035b65
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4096,58203,4298,147506,202,1198,ef10a332-dbe2-4786-a402-496c558d0c96,D6:30:D5:97:81:9B,5cd07494-9391-4b7d-af9e-08cc469fb240
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4375,301009,3694,60837,681,1198,b129e9d9-7083-40b4-8e06-da33ce0a009c,AA:DF:3F:5C:AA:AC,6d83efe6-907f-48fe-8754-7ddd6761d482
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4073,109815,4148,76286,75,1198,a4254a0d-c78e-4eaa-ba89-373f45985f0d,0A:F7:49:0D:9C:43,e372b1e6-fd8e-4cd3-86e8-2ef08354eb5e
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4355,125066,8299,1968614,3944,1198,779f4cc6-4dc8-4389-95f5-84b9741dfeb8,FA:1E:29:AB:24:81,7753c14b-56b1-4d0e-aad3-56e5dcd93852
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4251,52814,6320,270032,2069,1198,7da731c0-f200-492a-9116-b7671782010a,92:D9:B7:02:F8:CE,8b85d0bb-c2e4-4ee5-a831-213ae828cc64
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4207,105948,6906,456992,2699,1198,44805bd5-90c4-4658-b488-34fe14aa8301,E2:6F:53:BC:DD:14,0445d981-a9fe-407e-b9cb-40d9890e5e01
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4151,357390,5060,84729,909,1198,7741ea68-cbed-467c-a396-224e04fab208,AA:F3:B0:6B:EA:F0,7e2078a6-94eb-41d4-ba19-fc3fb0039a33
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4612,312606,7844,803858,3232,1198,68e27a1a-2a58-4c72-b55e-43f9730e943b,66:50:7A:88:81:C2,07cfbc28-21bf-4013-8835-79f590bc7abd
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4754,167260,6880,479946,2126,1198,5da73f3c-bc53-4539-9d0a-d03b6a2ddd03,42:AD:F0:4E:56:17,8db44815-6b35-4180-a3dd-5381a5bdbfc7
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4336,76568,6931,587694,2595,1198,fa440543-797b-4a6d-950f-f88b9bc09712,B2:1C:6F:8E:02:39,d7eb4075-1f1d-427a-8e49-cec9322346a8
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,3978,48626,6100,404586,2122,1198,bb605ef5-2fa1-48ae-9261-f63c93f1a05c,2E:88:C3:5C:CC:A0,0caaf6b0-349b-429c-8c3d-dbf60f57f6b2
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4022,53706,6300,67734,2278,1198,b456a098-7aab-4041-bac6-fc3e799134cb,16:1B:C7:AE:D1:1B,e5912490-32c7-4488-aabc-bb823f2114ec
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4205,80174,7046,503872,2841,1198,fff7188b-3197-43bc-a21a-f4a9a68f71e8,36:4D:42:83:8A:F3,486a6d50-3517-41bb-befe-e363e934e840
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4099,56718,5942,191092,1843,1198,6ac96d70-c984-44b4-abb9-8a6a9bbeaebf,FA:0B:14:2E:20:4C,1ba00af7-b46d-4c34-b8a5-77b06456ce03
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4139,69888,7419,518478,3280,1198,c0801313-73c7-4549-92d1-8296b99a9c5a,42:8F:8B:BE:CA:E5,a19f2dec-00d9-46bd-ab9d-0eeed3a82836
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4521,297932,7228,194966,2707,1198,6dc76e0c-2123-4951-bd26-6132dcef9940,52:60:24:1A:91:A6,5a3694df-6869-44f6-96ed-29064fa2a6a1
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4527,332314,6157,72940,1630,1198,6db37268-5912-4b3f-bb6d-96f5b5346c34,1E:88:15:75:10:A5,3303f92a-f69b-488f-8996-520addfacf47
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4150,59218,6210,117344,2060,1198,221c37d0-1b38-4001-b0eb-f8904aae53a7,5E:50:A1:2E:11:B3,f51754ab-a1b5-4ec3-9683-3cf6402b61ae
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4309,60092,9205,311422,4896,1198,01e4a2a0-6a65-49fa-9a38-b54cd88b438b,B2:4C:FC:8A:F8:1D,c23a5d30-f883-4946-bc5c-0a8f9c2d1f80
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4373,53520,6569,77830,2196,1198,5e534ae7-e749-46bd-9649-3a44d338ca69,EE:7A:1D:65:BB:96,f44b0cfe-1315-408a-8cab-c1655543dd4b
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4723,402378,7718,469980,2995,1198,e76ff942-7ae9-4494-8b65-8aef16eff583,7A:A7:03:F2:82:35,1da10617-9342-4bd1-8082-f118ffe2ffda
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,3880,36472,8628,406328,4748,1198,df0feb9a-ead9-465b-9c2a-925b3695bed1,D6:4C:8F:93:FE:1F,c37bc7ec-d3d1-422a-9961-534c0c639c2f
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4037,111224,16959,908034,12922,1198,866ddc0f-aee4-45c1-a0b4-eb7e914b0967,5E:5B:98:62:43:62,488a976a-cc7d-4fdc-93df-822f03d3cc8f
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4144,95229,7237,326119,3093,1198,bf4513b8-2c9e-4a43-ae69-89fe0f07b6d3,1E:CA:EE:7E:5E:36,7b64b1bc-0ea2-417b-b5cb-b5eeac7e3825
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4447,79150,6217,105794,1770,1198,47f61950-d46a-4a9c-9ba8-a16d6f3cbb12,32:AC:28:4A:D7:F3,6838503d-2c73-4dfe-af6c-84d5df690585
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,3941,37194,15510,337558,11569,1198,019e8b44-0268-4207-925a-e4ed793af521,4A:9F:DE:B0:2F:60,adf40580-c196-44f2-a7d2-58de79f0580e
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4461,51552,7306,541900,2845,1198,5e4473ee-37ca-49a3-9002-b1a5133ca8fb,4E:C0:4E:AE:E2:6B,dd9f0759-18a0-48fb-9d86-fb258222d65a
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4325,57758,6578,70646,2253,1198,7e6372a5-1ee5-4b70-a47c-6b25d7eedf01,3E:E2:73:AF:36:CF,74f0e0d6-aa13-46a5-97cf-53ed544e51cb
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4007,236514,5698,60372,1691,1198,8185eb92-ee27-4891-be99-1917b1e5f608,9E:1D:7A:90:61:7F,bf1130fa-991c-402e-b8f0-78f3032d8bc5
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4152,65774,6302,75822,2150,1198,f980e514-bf04-4bbb-93d6-2de17d3cedf1,9E:21:D6:9B:DE:F1,7e71f7e0-54dd-4eb1-a81f-d910cd333cf0
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4065,45536,9738,404658,5673,1198,b5cef0b6-6e09-4ac1-ad26-7eae403c5da0,7E:D2:A1:E3:B6:94,38ead924-aef0-4586-a739-ef862ba79b3c
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,3987,45256,10695,324410,6708,1198,07ca0595-e631-46a6-83f2-9607982f4b89,56:7D:9C:EA:77:72,9effdedb-6eef-4457-b25b-c4d66ccf63bb
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,3890,87972,15145,587918,11255,1198,df2d1758-42db-4927-8f39-23c65eff8d47,BA:F7:15:7A:9E:E2,16ce1682-4283-4755-aefb-5e24771d4250
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4209,43382,9114,145668,4905,1198,08577205-7cb8-447b-8df0-0a9e0ec82a33,AE:F1:9C:3D:74:EB,862216e0-81a7-4ea1-a0f1-d36102d07adf
sampler,2019-12-10 02:35:55,2019-12-10 02:36:10,4152,281062,16061,888422,11909,1198,4eabe12a-ec86-44b1-852d-1c43660439ee,A2:D6:3A:B4:E8:1E,c9d1996a-ab23-49eb-9338-b197b11174cc
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4068,42584,10432,791908,6364,1198,0a15bc3a-64e2-45e6-917a-360eeeff17c2,02:CA:FB:90:4C:F7,9e7ec58a-5080-4a44-9667-e74ac1bc8830
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,3992,61634,15650,960270,11658,1198,09030d13-60c9-4eb9-8da0-a06f830b4040,E2:76:5E:ED:A9:72,ebe5ded5-fdcb-453f-a30f-0adb8255039f
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4107,85328,6011,390224,1904,1198,38fe04b6-c938-43fb-9a09-9b8e9cd78618,0A:ED:E4:EA:71:19,9431e18f-ed41-4928-8f2d-a6a57e09bc57
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4035,45670,10346,351872,6311,1198,7821b988-e71d-4cb6-87c1-c3ee4398be0c,0A:82:33:CF:BB:9F,b1054fb9-3eb7-4cfa-afcb-adb0d2ef9273
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4114,53624,6763,299290,2649,1198,fb2e3dec-6728-4dac-a147-5b7ca76bf1b7,5A:EB:2B:F9:6C:07,4c342fcc-902c-4850-87d1-a2324bacadf9
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4125,66468,14494,660704,10369,1198,b811b34f-6c6a-44d3-9593-5b19f099a08f,0E:0E:2F:13:72:4B,e8fb904d-cf7b-4910-9ade-28314687385d
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,3931,42496,11792,664164,7861,1198,01c57670-20d4-4ca6-a707-e6bc59c1a2c1,2E:1C:4D:2F:72:63,cb80ab07-92bf-4785-aede-caf657ce955a
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4166,224556,10885,493372,6719,1198,927a3534-c4a0-4948-9791-850bbd096eb7,96:74:90:FB:0D:22,d17cdf99-1c7b-44d8-b358-c0d7ac331b4a
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4260,52430,10955,2094324,6695,1198,7febad42-f076-4979-8bb1-4767d0fd1b88,E6:85:A1:AB:81:C7,c7623290-6116-4dda-864d-e8a01fab17dc
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4546,98264,12688,2454982,8142,1198,75212165-5621-4a41-bd0c-f3ea1a8df6f2,A2:1A:88:9D:FA:41,68f4d861-8034-4bf8-b41a-9661b377dd14
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4404,100316,7135,124132,2731,1198,0555bb3c-1884-410f-b00b-24917dfec926,4E:AF:FF:58:52:49,a2825aad-4e0c-465e-9626-1aa5b29ee7dc
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,3904,71880,16270,1179624,12366,1198,07a092b8-fdc9-46c8-82b0-7e544edbd0b6,D2:3B:14:79:D8:E3,44aa0836-3120-4653-8d1f-a5fa983da51a
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4275,91496,10638,233000,6363,1198,10e3dcf8-64f6-4c38-a00f-a51b9a2bd350,CA:32:BD:6C:10:53,81c5fc31-8835-4abe-811d-9e2636930fe2
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4151,85418,13611,275650,9460,1198,81dd8c3e-c175-4f43-be65-8661fc942ec4,DA:4D:FB:0C:8C:B6,5c8fec1d-6d5e-4635-a31d-8c7bd6d27339
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4098,43820,10748,208448,6650,1198,5736611a-d06d-4610-8a24-604b84163be3,1A:3E:AB:A2:F0:03,3b194723-fd5e-4868-88a2-1a238f7b3bdb
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4292,92616,9524,283430,5232,1198,e9d6020d-b468-45d3-9e9f-1370242a660c,66:B3:0B:85:99:A2,15706069-81b0-4cd3-8d02-9ee331016dfd
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4759,478292,9000,458018,4241,1198,f500f38c-21ea-4e22-b9e3-47b638efd854,02:22:3B:26:11:63,59b7e818-5459-430d-9fcd-fae2ddbae7aa
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4092,78938,6494,258992,2402,1198,d3721e80-baac-4a08-9a2f-542a9b58d7b1,D2:CD:B0:2B:7E:FA,bdcde49c-d324-46e5-b781-74bbe5c85727
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4147,63608,23708,5847884,19561,1198,84ce9b93-ab64-4c32-9d34-7b909b3e109f,C2:DE:6A:71:A7:BC,0e1fc859-c3ed-4d9b-9c35-a1a1bc2edb33
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,3683,95285,8684,1395409,5001,1198,a47d0744-bce5-439c-8caf-a895deb85da4,F2:9D:C4:C3:05:AA,6a86c1c3-15af-4e63-b7ed-7cd34a3e2f69
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4562,171388,11557,1056158,6995,1198,fdb197cc-56fb-4c98-85ef-b4d5db74cae7,0A:3D:72:FF:31:07,efcf01f5-adb3-48f7-8368-e7aa2a74ae76
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4440,57028,6612,356000,2172,1198,39c41d8a-738e-48c7-bf5c-00b80d23d80d,1A:F9:61:AE:83:81,6d9c981e-47ae-41db-abeb-44df3e090332
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,3908,40074,10449,622338,6541,1198,7e6b4f6e-ae72-48d0-9935-b846142e6e31,A2:AB:EA:0A:1B:E0,220ff049-cb1c-4d59-bb44-5d02261ad255
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4043,60794,14627,146134,10584,1198,56a02430-4037-4c91-8632-8047308f23e6,9E:3A:9F:2A:C4:E3,c846c254-4797-4c94-81e1-5f16afbfcabd
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4359,52682,9381,195594,5022,1198,fd015554-fa2c-45db-a1d5-5d742925d4ef,5A:9C:5F:17:5D:B1,bda13987-baa3-4d66-9ea9-27b56c91f04d
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4371,411498,12302,2948478,7931,1198,c454f027-a4e8-41aa-b25a-a95b21590e5f,8E:EB:27:1C:2A:42,a392afe5-5d55-4aff-a511-83f2801c7183
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,3952,96016,9876,1079757,5924,1198,69eb7486-c212-44d6-84b5-522be422d018,D6:93:62:53:3F:3C,a3f192d6-35a9-480b-b672-c0da589aec9a
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,26843,27114506,16617,1315490,10226,1198,f04948d5-878d-4351-b2b1-01312cf98897,D2:DE:FD:1C:4D:54,8c762b31-9889-4b6f-ac96-2423f11c014e
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4206,70868,13214,169914,9008,1198,a47c76bc-bfc2-4537-bd13-992ec620a875,F2:CF:8A:61:CC:98,f2d8c28e-5cee-47c9-ac89-96d12ba5c339
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4534,273762,5928,75016,1394,1198,7c1d33e7-fd64-4aeb-b8b9-a78ca1e340fc,FE:3E:BB:54:E0:6B,240d9023-e0b8-400e-82dc-f99bc83dc39b
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4080,66088,9592,519878,5512,1198,b00d2f69-bdd1-4d4e-b15e-5daad66949ce,66:2F:10:0F:CD:D8,a085f2d4-6945-4b3a-b2e5-1f2b957df531
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,3654,62756,11230,1769574,7576,1198,69b92aff-f0ce-4f6d-ac0b-cfb0e9fddd35,0A:1A:2E:7D:0A:33,afba5d66-2638-4895-8ab7-7f1d6941e22d
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,3899,70178,12259,848384,8360,1198,f64ddc0a-8b87-4495-b7ab-70eb464aa790,72:7A:56:29:32:F4,841ca6da-9dd2-4360-9920-0a3d6ea8e866
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,3939,54058,6395,496452,2456,1198,7ddae2ed-3a4c-45e6-aa5b-c15efd8f8c69,5A:21:69:66:FD:AE,aa212420-3d8b-41b3-a53c-08dbb57ef5ed
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4034,77092,11822,1675900,7788,1198,9d15ffbc-9e97-4afe-aca1-804f6cd7902f,DE:31:B0:7A:24:DD,a17334f0-e3b8-419b-9d9d-4c96861afb85
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,3902,55922,10421,113782,6519,1198,1f27fa7c-fb67-47c3-8460-307a2b115c99,82:F9:E3:1B:34:DD,1a7f13fb-860d-4382-854b-86a9d8d92050
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4220,281928,5900,71686,1680,1198,920f2c25-b5da-4bc0-8a3d-02d99aa7a842,FE:BD:5C:7F:50:BE,4ff09e57-78fa-4f12-872a-4f23a5d22be6
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4037,96516,17332,1305894,13295,1198,01a4ada8-152c-4a1f-bfbc-42ab852e4211,AE:D9:A6:60:0A:D9,165f0b6b-b504-4cc8-9ff9-f7b9be482e2d
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4151,57300,18332,1286646,14181,1198,9ff43555-5b77-4e66-b2cf-73db5c0b11f7,7E:AB:51:8F:82:D3,0289eaf5-12dd-4719-8d01-710cc284e531
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,3629,77051,13704,4001525,10075,1198,3ed96508-bfe7-4865-a24e-7cb92e8e1577,8E:90:D4:9B:EF:0B,e2a04418-ad7c-44e2-a326-80038e46d7a3
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4187,64422,16903,614720,12716,1198,0cbdb505-7d0c-4c88-9bb4-c7939cc73b32,AA:BC:50:4C:89:54,0152e983-462b-4b06-a248-9afad72bdb72
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4042,51930,10101,284158,6059,1198,2306e2eb-8153-4fe2-a98f-de12ad569b4c,BE:3C:0E:FE:A2:BC,ff153b38-2755-4ef6-884d-e98910c419be
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4095,43656,12613,1227300,8518,1198,08905edb-12d2-4eb2-b6b8-6361464d5854,CE:01:19:7A:7F:B1,38bf8ab3-bb7f-4df1-9ab7-d1cb4a365239
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4018,42546,9248,404166,5230,1198,4e368ad7-8f0d-4d23-8100-24ce1b4a01f6,72:BE:60:03:BE:F3,c643b0d1-ec7f-496c-8239-78bd1052049d
sampler,2019-12-10 02:35:55,2019-12-10 02:36:11,4087,46944,15865,657808,11778,1198,114ff52a-d9f8-4639-a1ed-30bc570ff197,56:71:8B:30:9A:39,089a19a5-a520-454e-a90c-bd3ea9e33b86
