Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,66,c349bc73-33de-4b18-97c1-0c0b1ede7d2e,FE:80:F2:54:AF:EB,d4cc2535-6c2d-47ff-8c98-2149c66334a1
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,57,129f2b03-7b53-4c37-ada9-998b94175e81,72:EA:99:10:FF:F3,ffd8917e-fb00-4301-b4cc-84c83a06ba6c
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,46,4b005c48-281c-48ba-9b05-c5c80db12e2a,3E:D3:58:F6:89:53,f1e4bb54-6364-447d-a5ef-a3ee21a46326
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,50,df031220-41cc-4357-bc3e-9bbe99ecbfec,D2:B8:5A:BA:D9:E8,277b297f-bce2-4144-8f43-100c4678f768
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,64,6be8dc59-5a21-4c6d-9a04-1154185cca45,B6:B1:E9:16:73:EF,2f5b8ffd-dee1-4158-a321-35948a50c9f5
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,99,28258839-2b75-4047-bf6e-1bd7803224cb,0E:88:F0:6F:C2:2B,20ac08e7-ee4e-472a-a471-7b5c7fce0b4f
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,44,312abc50-c754-46cd-9b40-82973bd833f1,7E:37:93:51:66:CB,79e94f62-dfae-4796-afa9-516938aa8739
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,53,798548ad-ffff-459c-a683-837d85de15bd,9A:BE:36:0B:FF:B3,bddb8c6a-b311-48fc-8c1b-d4c5112b3f65
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,54,974dd258-8cee-496d-a9bb-35e5aa66dd1d,42:B4:D1:2B:14:CF,7aeb589b-1f5f-486c-8efc-4082e8afb704
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,35,2b609423-98b6-4056-8b92-d2038858c7e5,12:A8:81:75:21:75,0c556d52-81be-4861-bca1-9359483a9e32
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,43,d9b6ab9e-a460-4b65-bbf6-6f6b6f07c01c,72:06:AE:74:FB:35,822087b0-bedf-4ced-b3be-5c229be0df09
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,48,835fb863-b71e-4a15-8b7b-36256744501e,E2:78:EA:D0:3D:4E,fc203ad4-a095-463b-b0c5-58b0b682c64b
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,46,840bedbe-c6d3-4a87-ba2f-c9c1bcd00f23,8A:5F:BE:D2:2C:F6,bd4a3cc0-35fb-4630-a908-f2a0994a259f
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,42,ecaf83cc-8fa0-4beb-ae5f-4b20020d20b2,1E:F3:13:35:82:B5,535f9234-79a5-4946-a3d6-b2c65e9ea7aa
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,52,7dc0a7a3-c3ad-4ac5-9c40-f0d98cc28231,92:DD:8F:5F:85:8B,66f0bd6e-a853-4cb8-8abb-523f3b17a03a
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,45,05833e32-fec0-45fe-81c9-6484447d190c,76:00:04:86:99:81,1c833b8a-faed-47f3-b27b-ce92b78e4c94
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,47,c82927d1-a228-4620-a97c-629012df0cf5,2E:51:68:3D:D0:E9,0a5f7e4c-4f44-4afb-985f-3dc4a4bea92a
thrasher,2019-12-08 20:49:05,2019-12-08 20:49:10,0,0,0,0,0,54,9e4b4e5a-6fb6-4fdf-b532-e17a8de45f2d,AE:63:BC:D3:06:C2,83ab4d32-feec-49b4-bd14-dbfd3ee6b1d4
