Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-08 21:10:17,2019-12-08 21:10:32,4130,288082,4125,47905,5,1198,0dc0d8b2-f974-4e52-8767-672ba547d87c,22:7C:73:D0:10:39,f7318b9b-5048-4c5e-ae01-fb17fcbfe42d
sampler,2019-12-08 21:10:17,2019-12-08 21:10:32,4295,52254,4141,59374,154,1198,e4f5ff66-6fc1-443b-8666-cf7a30369fc5,D6:73:68:BE:DF:50,c4e9480c-4b27-4275-b251-2a45030cc81a
sampler,2019-12-08 21:10:17,2019-12-08 21:10:32,4069,84293,4046,50700,23,1198,88b6a1e4-f704-4bf5-b922-8ee773ce9af7,5A:23:06:CA:51:FB,c79bde81-1f8b-46ee-8c2d-0d509638c546
sampler,2019-12-08 21:10:17,2019-12-08 21:10:32,4330,40850,4280,76086,50,1198,f53832c9-9c3c-42d4-93a4-c3d269ece5df,EA:53:53:84:D1:55,c7512fe7-7ca9-46c6-b992-bd79eee0e3e9
sampler,2019-12-08 21:10:17,2019-12-08 21:10:32,4061,56864,4390,53684,329,1198,559befa6-d585-4081-b943-9a8d016750e6,1E:BA:17:BC:51:7F,21c15537-f4fc-4b71-8c3c-c4966d601ace
sampler,2019-12-08 21:10:17,2019-12-08 21:10:32,4380,98290,4418,78904,38,1198,098de688-d935-4472-b184-72e43a767227,52:DD:19:A9:6A:96,3e29ca73-c211-4b62-bc86-897d2415830e
sampler,2019-12-08 21:10:17,2019-12-08 21:10:32,4352,77052,4216,91584,136,1198,eb536377-588c-4f37-8ef5-8a0bccbe5494,C2:25:9E:6E:F6:F5,6d63639b-be6c-402a-a5af-431abbe7314d
sampler,2019-12-08 21:10:17,2019-12-08 21:10:32,4366,51636,4284,66034,82,1198,3e23b01a-0764-4707-b8db-531edda91206,02:DB:67:37:1C:CA,74766a56-36dc-4405-8d2f-71e4325fe31f
sampler,2019-12-08 21:10:17,2019-12-08 21:10:32,4402,61958,4489,90692,87,1198,1970bc67-8ab3-4f51-a20b-4d0f513c80ce,D2:D6:4F:2D:B8:3D,533badb0-7eb9-4453-bc67-225c3e5ab2b7
sampler,2019-12-08 21:10:17,2019-12-08 21:10:32,3767,44616,4325,113860,558,1198,59c3266e-5a20-47e6-97d6-81da0310c2c7,32:79:CF:34:D8:83,5c8e4b7f-d2cd-44ca-8bfd-e27be04c1268
