Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4116,50096,4301,528074,185,1198,b2fd6b5f-04f1-421d-863b-38a8ddd0a24b,5E:C2:C6:BF:02:D3,d70fc577-2c66-4916-b7a1-f2a68abff305
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4281,82146,6543,314038,2262,1198,05316a08-3789-40e7-b9f3-444438ce9445,66:89:AE:8F:5B:35,ace05109-499a-4fc0-a124-ab28edf1c140
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,3883,105263,4361,95004,478,1198,1af7ee70-07b3-42ca-b7fa-5b8df33d18e1,46:04:85:70:B3:EF,df894ef0-7f5d-4d85-8a7a-9ea72f37a588
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4056,46006,4300,70427,244,1198,115a5acf-1e8a-4bdf-867e-3d0fd1bda5ca,2A:58:9B:1F:AB:40,8898f8a3-27a1-4a3e-bd3c-82260107859e
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,3758,46700,7161,411845,3403,1198,36bb9901-c4a1-49b5-ae54-b52a23f28c4a,A6:70:C7:FE:07:95,f5cebd8d-7cb0-453e-9282-63924ddd17b8
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,3587,44772,10976,469645,7389,1198,87045cd6-ce3f-423c-a983-ffe72bb4cd70,C2:83:83:2D:F9:56,261cb2a3-dd0e-48fd-b342-a4d3b99ee5ba
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4019,88498,7575,116790,3556,1198,61b7769b-f418-4b1e-b594-9d21a74381f8,2A:A7:AA:07:1C:55,05e80963-be6d-4a3a-afa5-1159c541c186
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,3506,62763,10884,141291,7378,1198,4fc6f09a-0102-4867-96b6-e33cb15dce0b,EE:CC:35:C6:9E:95,7fca7bc0-2c68-40f7-bd4b-6531f33ab0c1
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,6040,2132996,9455,151178,3415,1198,87e64d44-93e9-48c6-92f4-4f9953b649e9,0E:E9:A8:96:27:55,c6264e15-0792-48a8-b244-597344ef1bc4
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4317,348402,10147,428102,5830,1198,c597a221-f222-4f70-9b7f-6a6685601e20,E2:5E:DC:4D:AE:3A,a02a4028-8ec2-49d6-a07d-b94e08b248c7
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4186,79686,4582,54726,396,1198,993c6911-f2fc-490e-86c6-0693f96c4e86,AA:9F:DB:C8:10:9E,b2875df2-ead6-435f-bf96-1159268f7aac
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4148,86826,6225,247302,2077,1198,d6c3b68b-7d1a-443b-b59b-436679154245,92:53:E5:FA:E3:E4,fed0c0c9-3756-4d6d-b99b-eab22ccedb0e
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,3969,40960,4097,43534,128,1198,78abd75b-b4a0-431a-b2e0-52ce49b2da33,9E:9D:38:11:EE:A9,3c718373-00ed-4bee-b7dd-c96e312acd4c
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4546,319832,5237,120522,691,1198,7b474a6d-b93d-47bd-a6fa-9c815e508342,B2:44:BE:B9:FC:E1,9aa6502d-20d0-4cc0-92bc-4a9a0dadded3
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,3811,39780,5800,98912,1989,1198,202753a8-523d-4325-9fe1-1f040e3a9051,72:18:BA:FE:D0:64,eb9155ad-2997-4270-9986-ed1174245e86
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4446,51776,6322,339004,1876,1198,27367c39-1836-4f6a-9a93-880898eb84ab,12:B4:AF:7E:5B:79,4bf37865-5f3f-4508-aaf6-7efc0c3ba49b
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4164,40734,6022,166144,1858,1198,14c8624b-766c-4273-b462-4ec63630175a,3A:AD:68:C1:B9:42,551cde6a-cc3d-4c6d-9429-b47134a428d7
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4100,78888,6316,327046,2216,1198,a9ec66ae-f015-475f-bd42-30aa23ff7c44,D2:7D:76:15:73:8B,2aff70af-2491-4874-b3bb-9b98f9cbe09c
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4238,156688,6236,106936,1998,1198,036e3ad5-0c6d-4d4f-b546-79cdafa235b2,AE:12:E9:07:12:31,452c135d-b1f8-4135-b1a0-7beac9795f8d
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4232,52518,6976,386892,2744,1198,656e5886-0c37-4bc5-a822-a7c44f32d166,5E:DA:EE:C1:EF:51,25ca3a34-62a9-4738-8e11-ec1d7d14fa9d
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4343,328190,6286,589846,1943,1198,67d4cf4c-20a3-41d5-a1b8-d3aec5115447,B2:2D:B8:21:1F:C2,b6d1be55-e95c-49b5-aa66-35c2d26582db
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4100,51516,6789,712952,2689,1198,f35dff3e-e6fa-4317-a465-e6142f200897,1E:0C:C6:DB:02:EE,5f9777dd-ac57-425a-997a-4f16f695d432
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4222,225770,7252,168638,3030,1198,9953542c-3851-4c0c-9b66-d739b2d075ae,76:BF:11:8E:E2:F7,95e5df6a-bfa3-4c3e-a95f-65aa8179effc
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4275,59380,6676,416338,2401,1198,abd60bb8-12c7-433e-9d09-1126e8758908,0E:81:7F:A6:F3:C4,521b6066-b163-4410-bfb7-e128302a63c5
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4396,75354,5909,235474,1513,1198,c54c4ec7-0b61-4ffb-8cf9-17e573675d52,7E:3B:73:D6:AE:D1,6d674a59-404f-4190-95cd-bc9919f8593f
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4406,297310,8544,1141168,4138,1198,9bdfc298-e71c-48ac-a98f-c86b810233df,7E:7F:E2:BA:1F:19,afd36692-10be-4688-a2e7-4fd12ff55686
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4265,62398,6651,627104,2386,1198,318d2b3f-5a74-4310-af22-ce43d03d6879,2A:3D:FB:7C:A7:92,f198d6ba-6c78-4168-915d-1069adfbffe2
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4074,39452,5691,105664,1617,1198,24c30900-b162-466d-9fd2-117b5bcb6eab,0A:BC:F8:06:D5:EE,cb2d8070-5211-439a-98f3-53f858dd8a11
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4153,69428,6486,119986,2333,1198,5d527b95-46e2-453a-8722-77c857cef655,5E:EC:1B:79:D5:51,1ea37bf3-5c0f-48b7-b292-2ef07ddedad2
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4143,46730,7311,161412,3168,1198,f8507ca1-910f-461b-8c38-6d064289af69,06:65:F9:3E:5B:0D,bdede3c2-2bbb-4f71-8cda-a30eb2654630
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4414,136074,6623,69870,2209,1198,eb62d147-e68c-4617-945d-df6b4b7232cf,0E:38:F0:F6:40:27,4da6c564-5464-41ae-b823-459ae010e666
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4247,76828,7245,169292,2998,1198,e146a84b-b174-4f93-b341-976966474b11,22:B5:BE:A3:52:5A,407599db-2f0e-440d-8670-8bb4fab8074e
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4039,42474,6136,97950,2097,1198,fc38e430-89eb-439f-b562-18c11523e9dc,56:3A:92:64:8F:B6,ce8dcff4-f2e3-4e61-bd8e-2c8621907a29
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4325,54684,7074,513150,2749,1198,169fd458-019f-4d3b-9ed2-4c5bbbd8b8ed,66:BE:C2:9C:EA:03,9d5d15ba-5a21-43b2-bddf-c53188d81eb1
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4353,62982,6732,83526,2379,1198,3133bf68-492a-459a-b854-838ad4e12870,32:61:E9:D3:64:56,d580235e-80bb-4c05-86c4-b5d31d077685
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4385,92046,7216,800352,2831,1198,9d0f9394-9482-4e85-8179-5923f0065692,06:38:35:8C:55:B5,5f13a314-4c1b-4b74-b8c4-73ceb80a7484
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4193,82080,6030,74596,1837,1198,23e4fac4-175b-4fb9-9cd3-0c35629ebc3e,EA:1C:3F:CC:0F:48,cf2a7f13-75e7-4df4-81b4-49765816647c
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4086,98864,6418,103742,2332,1198,95e26db9-a6e6-487b-bf4b-dcc60e268d05,7A:DF:62:F1:E5:A5,1a87e7f0-0d80-46df-87ad-6c92bac1c76d
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4320,56432,6038,85378,1718,1198,a3832e77-62ec-48ae-a2db-7159dbbc9f48,52:70:80:BF:5D:6F,1b2bb5b1-2159-4f72-8851-4570776bab5f
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4132,54368,5739,131988,1607,1198,082f5425-bdfb-4a25-9564-17dfd253fdef,32:04:63:22:40:7C,12fd316b-e86c-4445-83f1-200058934dc7
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4112,54488,6283,374266,2171,1198,9c5fa12c-0392-47c4-b0e1-d7d4c1783042,22:C4:44:C8:E3:11,2a5f3930-f183-4834-8541-7a08e3732939
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,3910,73092,9050,3325652,5140,1198,da415e19-7742-4bf8-9b91-d36eeb7c67d8,CA:39:95:05:7C:DD,b3d4ad9c-c43d-4997-86b2-903de2dbe483
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4199,108930,6722,107748,2523,1198,55b9c348-6064-4615-9e0c-37ad868f98b0,AA:71:CC:B3:3F:08,8fc43fc8-4376-4815-b334-1331f253a9cd
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,3981,70778,9459,796874,5478,1198,2feeea8d-9b08-4590-9016-00964dc73e26,EE:39:38:9E:F5:46,110ead3a-bc31-47b8-9f89-9820408d07fd
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4199,40154,9348,328812,5149,1198,4d27eafe-d582-433e-b589-3678f15f0b8f,22:38:AC:B3:1A:B5,2a1b963b-7bb5-4540-aa7f-15e5244d23ab
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,4170,89738,6944,91434,2774,1198,0525f9dd-5368-4f14-9467-22c30626f915,E2:7C:9A:0A:DC:45,7f9aa1e8-4138-4366-b4e7-8857cc6925a3
sampler,2019-12-08 22:47:08,2019-12-08 22:47:24,4109,60246,8865,1326212,4756,1198,6dbf1c90-d368-4d66-992f-8e591ca2b64d,16:FF:D5:E1:C4:A8,9f01626f-e4d9-491a-9e39-83a1976bd47a
sampler,2019-12-08 22:47:08,2019-12-08 22:47:23,3905,50906,11388,791758,7483,1198,8fdd95d2-394d-405b-a6ed-4577b803e191,F6:04:93:F8:D0:A5,0a79d6de-f571-4cf9-96c9-1ae8d5049d5a
sampler,2019-12-08 22:47:08,2019-12-08 22:47:24,4261,62152,8000,365636,3739,1198,65cecaf3-6b9d-4610-ab97-fdbc78b668cc,22:3D:F1:30:3E:A7,a93169e2-efd1-4587-82a4-bf66c4ad6ef8
sampler,2019-12-08 22:47:08,2019-12-08 22:47:24,4156,59672,8067,73022,3911,1198,8a811953-d3ae-4f6c-ad54-faa5f3001ca0,16:4C:2B:BF:9B:B5,ba811172-a7a7-4e9c-bd29-78f0992e643a
sampler,2019-12-08 22:47:08,2019-12-08 22:47:24,4487,308420,8523,221840,4036,1198,8a6f5877-54a0-44cf-957f-2cb26ac80e5f,46:0E:E9:28:69:AC,5e4e7ac9-c917-4ea8-bad7-127bc31c78e5
sampler,2019-12-08 22:47:08,2019-12-08 22:47:24,4202,69020,9274,1657724,5072,1198,20765e2c-398c-4b41-98bc-58375ff3e6fa,6A:3B:F8:EA:9D:46,f59e08f5-b497-4b06-8e0c-216f000cbd24
sampler,2019-12-08 22:47:08,2019-12-08 22:47:24,4183,65074,6128,114692,1945,1198,ad1d1926-6d5f-4d89-bba2-5aad844cb72f,7E:E4:C3:32:6A:5D,6260fcc9-8378-42dd-a615-c474be4a10ae
sampler,2019-12-08 22:47:08,2019-12-08 22:47:24,4226,90912,11447,2766012,7221,1198,bfe25ff6-5970-44cf-9658-1843f99e6def,FA:7F:52:92:3F:2F,b0733718-1892-48da-83b2-a2444921193f
sampler,2019-12-08 22:47:08,2019-12-08 22:47:24,4242,83092,6069,91906,1827,1198,6b93a1b3-582b-492b-893c-edb1c7828481,12:3A:AC:99:B4:A2,e6d00330-7e3d-4a2d-9adf-f2ec40f85762
sampler,2019-12-08 22:47:08,2019-12-08 22:47:24,4484,119918,6141,112578,1657,1198,76b5ab78-9a64-4480-9940-15bff8064ed8,96:DC:C9:1A:A8:FA,29b92a7b-ad33-44e8-bc58-d7dbf34367ec
sampler,2019-12-08 22:47:08,2019-12-08 22:47:24,4072,81122,9015,371992,4943,1198,cb317309-d546-47ec-aa46-b041f798110c,62:EC:CF:B0:2B:85,8ad5ee20-cfcf-4f08-879a-c40427ca9799
sampler,2019-12-08 22:47:08,2019-12-08 22:47:24,4544,94422,4149,54562,395,1198,b890d58c-04e1-47b1-b022-1ed9cc539c23,BA:F9:6A:3C:FE:DC,835e4c64-8d7e-4ca9-8730-28611f03d4db
sampler,2019-12-08 22:47:08,2019-12-08 22:47:24,3953,231247,4978,296562,1025,1198,069fce72-c229-43d6-b2fe-138c776d0850,0E:95:BD:3E:BB:77,da1fbc30-d0a8-4b17-a6ca-99668165dabe
