Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 09:15:47,2020-02-13 09:16:02,3901,48540,4399,388902,498,1198,30414010-e75e-4dec-a147-6edbe97f0025,6E:91:11:87:60:29,760740f6-ca75-47fa-9282-8e76a4996bdc
sampler,2020-02-13 09:15:47,2020-02-13 09:16:02,4167,82182,4078,84938,89,1198,af6512b7-e13c-4d28-9c3b-114143a2dc41,9E:5F:CE:CE:26:70,a4a31235-6f30-44a7-9c51-62a3a19cae5c
sampler,2020-02-13 09:15:47,2020-02-13 09:16:02,4000,73996,4982,127236,982,1198,ca1c6094-fc74-4ce9-a515-8a497029e6f0,BE:28:5B:DE:4C:0B,abf6a63f-0f5b-4f28-ace8-1528b5684a4f
sampler,2020-02-13 09:15:47,2020-02-13 09:16:02,4389,66906,4852,91114,463,1198,5f06b5ea-329a-46f4-b759-54db0d9015a2,02:F3:9C:96:E2:BF,16b6a485-2c78-492a-803a-394817be4792
sampler,2020-02-13 09:15:47,2020-02-13 09:16:02,4915,377524,4925,366182,10,1198,ebbab62c-609c-4bea-8ba5-a0e0f748966a,E2:BD:5E:E4:0B:62,8e6698c0-0a98-4905-9f17-cb51e86bd8c9
sampler,2020-02-13 09:15:47,2020-02-13 09:16:02,4191,98610,4953,105142,762,1198,c6d84787-974e-4d25-831d-0ea671e19849,42:2D:81:A7:11:00,c6ec99bb-6ca2-4510-be17-b607008aedec
sampler,2020-02-13 09:15:47,2020-02-13 09:16:02,4408,86932,4127,67498,281,1198,ded35cdf-0f33-4bc7-8a49-7ecd699b6cbe,52:E1:2A:F1:8E:05,d5dcb93c-fda5-436b-a0bb-e46f8638dd17
sampler,2020-02-13 09:15:47,2020-02-13 09:16:02,4412,80214,4786,46354,374,1198,db0635a2-67cc-45f3-82f6-c8915aa5d21a,9E:E6:93:66:97:36,4b4c0a21-4382-4b57-a53d-3c6f1b769a8c
sampler,2020-02-13 09:15:47,2020-02-13 09:16:02,4240,69082,4514,66440,274,1198,75b74d96-ab33-40c4-9a5a-82f4e361fa2e,EA:73:13:89:F8:B5,15005796-1443-41d1-bd9d-13d94ed31f71
sampler,2020-02-13 09:15:47,2020-02-13 09:16:02,3992,53698,4022,65706,30,1198,dce69832-8984-4e29-a7e0-2c59fb1a2318,1E:C4:18:7C:79:F2,f4c5212e-24de-418c-a561-7cda224e6acf
sampler,2020-02-13 09:15:47,2020-02-13 09:16:02,4373,70404,6400,1589172,2027,1198,d352a446-fb55-4ba8-9a45-eab98667f772,DE:FA:CB:0A:63:60,6901a834-cff7-4bb1-b0b7-3080bd251fae
