Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4129,40944,4241,60248,112,1198,2694df55-b6b7-415f-b34d-ecb80ed40b59,0A:48:79:E6:79:F0,82e9ebf9-1fa0-4203-8174-049186547e77
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4207,88342,4077,67004,130,1198,211481d3-db59-4a1a-bec3-19046dda8ddd,AA:7B:B3:62:01:1C,177fb2ec-f0ad-4b51-9626-dbb1991ce56e
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4142,52532,4555,95452,413,1198,3c6ede38-6b96-4bc6-88c4-dd3399357155,72:61:71:A7:67:CE,d0300292-bcdd-4e50-a8f6-09e02dbeb9d3
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4467,303620,4278,42602,189,1198,9d26d028-84bb-4089-bc69-80c861b79fc8,C2:F5:E5:31:CE:BF,96990b6e-b4c3-4af9-b3ca-b50968cf9bf3
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4540,81394,4332,124866,208,1198,5a08b709-bb76-4af7-9c8c-b6733e3026b8,4A:DF:CA:F8:A2:A0,cf8296d7-8add-48ca-8d73-95c8dfdbd239
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4504,249578,4452,113714,52,1198,df06263e-4e08-46f1-932f-26d9ac80463d,B2:9C:3D:B2:91:86,f663fbd5-d53e-4ff0-a504-20e03e2fcd57
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4243,40584,4324,84290,81,1198,65fc0e94-ddfa-4a0b-81aa-8ffebd6db93c,BE:6C:DC:AE:A3:C8,89e40e1a-ca7f-4fb9-9a11-470b6500e7f8
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4230,37446,4192,73162,38,1198,f71e885b-3b65-4c6f-9d14-8958eae6ad91,6E:91:11:87:60:29,760740f6-ca75-47fa-9282-8e76a4996bdc
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4407,54778,4486,68856,79,1198,8572713f-fb41-41e1-afc8-5377fe77ba16,0E:C1:5D:AA:C7:C5,4acf5da1-c2eb-446c-adce-373a582f6cd6
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,3820,51890,3930,86058,110,1198,bb0cda37-6d45-4f1c-ba2f-bb9cfdd9bc97,BE:E3:BE:8B:B3:35,fb459ec6-58c9-4eb8-8815-29e110398b8d
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4094,77586,3764,36674,330,1198,225ed1af-8fbd-45d7-be7b-0eda309d17df,12:3D:73:C2:3F:BB,91ee5c8a-af0e-4de6-9be1-ec3e3493dedc
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4386,70972,4251,62356,135,1198,6c7422e2-cfe5-47a7-b63b-5d0821bd840a,36:2B:9B:1B:84:E0,48e57d02-bf7c-4f4a-8104-e7c4dd06bfcd
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4415,244608,3877,64936,538,1198,9bbd252e-1bf3-48b0-aec3-6a8f1cdbadc9,42:13:3B:AD:0E:42,5c9a1ba0-41d2-4c31-a295-f9dee7cdc267
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4087,43140,4247,322216,160,1198,920bc4df-d813-4db2-8a2c-ba18cba3f061,EA:F6:34:E2:C3:7A,38b1598d-8041-43fc-8a23-d0ff444a72a8
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4161,56264,4967,386010,806,1198,6a1800b9-fc96-4f76-aaf0-ff5a301a3477,1E:54:9B:85:3D:F6,d7e1f0d7-7c71-4b7d-aa98-690663745340
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4170,60380,4049,37264,121,1198,24257147-39a1-4c86-a6a7-da6122056bc3,06:63:5A:BB:63:74,ff2a6daa-6225-44c4-8597-2ebb28b2ab2e
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4073,87582,4311,86170,238,1198,14a4122b-bbd3-4944-b5e6-46c2dd57debe,5E:61:FA:09:BD:FE,d519b496-be04-4492-b1a0-ec36786514ea
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4172,42696,4015,83004,157,1198,f7b1dd95-1822-4804-a397-50119de535f3,52:F0:95:99:20:AC,c662e44f-61e7-4cfc-a125-105b8caecb40
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4231,45082,4117,70230,114,1198,2a888afe-e470-490a-95c6-933fe17f70a3,86:E2:EC:91:2C:BB,a0b11fae-869f-423f-afdc-e84f6c55f09d
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4312,59996,3925,51086,387,1198,a5b1e75b-b53a-4a06-bba9-a6817aacac55,52:C4:47:18:40:01,4191af53-44f1-4f0f-b24f-babb4c74ed53
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4302,73958,4656,219854,354,1198,e99683f2-256c-418f-a953-10ec46e65fab,36:F9:5B:44:62:C0,36be91ea-44c7-4458-a74e-014858993430
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4239,60242,4522,138254,283,1198,30bcbcc4-7d41-4127-b77d-d3c028da2a79,9E:C6:50:F7:DC:0F,d0e19be3-1563-454b-9a3e-655903e38fa6
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4251,78284,4215,81644,36,1198,337de753-6fa0-4355-a478-67faba37dc58,1E:50:81:60:CE:9B,149058c6-d201-48e4-8cbd-4dfe0ff6f785
sampler,2020-02-13 09:08:52,2020-02-13 09:09:07,4437,87532,4492,153446,55,1198,30dea71a-c08e-4db9-85e7-d354cfc87bda,B6:4D:68:A2:D0:99,f41bf452-47e0-44ab-aba3-934c08df2b41
