Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4629,396444,4421,71368,208,1198,a9affc25-97eb-4f5e-9a3b-797d78a63306,1A:49:98:E3:53:37,f2929da9-2b09-4faf-82a4-86e5a7f1dae7
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4542,121104,4171,36878,371,1198,f422f15b-b2fb-4bf7-a08e-fb3ad1960c5c,3E:6B:92:E8:CD:06,9e09dc05-f492-4d48-8681-10db79dbff8e
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4270,77238,4156,44132,114,1198,1f502b9e-9f38-4959-9ee7-e82aec85661b,F2:C5:C2:7E:33:0C,cf44215e-cd24-4ea2-87ea-a93f070baee4
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4154,46358,4213,43864,59,1198,88daa7af-b878-4306-a4bd-fce48085a41c,F2:22:71:21:FA:8F,c95a13ba-bf8f-47b2-8db8-91f4f1a7bc3d
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4285,78006,5094,241060,809,1198,a862646c-70a4-449d-a60c-99ed882160ed,5E:44:5E:DE:12:6F,1c75c9e5-8a4c-454b-8047-aec94a7a0073
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4503,319138,4337,96348,166,1198,1f08d3f1-4f0c-4d69-b099-d53664a1f259,4A:AF:59:E8:9A:60,cdbfd468-4d7b-4869-874e-e51afcf1950b
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4405,64700,4513,65476,108,1198,cae0f283-7779-45a0-953c-9b5fe3f9ac8d,AE:8C:28:11:36:0B,bb61b698-7e46-403f-bfb1-f0d32194d289
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4254,229742,4807,320902,553,1198,ce5838e2-93eb-47cb-90ee-32075770a981,22:4D:02:49:38:BC,b49b1142-522e-4c50-8f8e-0fbac71c550b
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,5543,1785660,4273,108400,1270,1198,cb4fac9f-fd92-4e0d-94d3-e62ea1fda5ce,16:1C:39:F6:60:AB,c24f2aa0-960d-41f6-9a91-70d072640976
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4339,117838,9059,5455150,4720,1198,0c1bf43e-d816-439a-a37d-691b36de9fb8,62:4D:86:05:B4:44,b623d296-3d90-43d9-a4b9-3a68b0eb826e
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4409,282408,4336,223900,73,1198,831d92de-1242-4fbd-8671-ba1a26bdbba1,86:13:F3:27:DD:47,2c516bcc-216e-4675-9b15-b9ee967355ab
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4347,68584,4107,78900,240,1198,c94ed40b-f174-4b8b-8d88-c002fe0e8398,22:13:89:7C:4C:7B,eb61f697-e89b-4df0-b90b-e969cbc1496c
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,3839,39324,4372,88742,533,1198,7585ea66-5eba-46bc-8b74-56c38299290a,BA:86:3F:32:4A:26,3da8294b-7c24-4bcc-b82f-39b69cda5395
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4294,92662,4692,61164,398,1198,8eebd5a7-e757-4778-a977-5dcaf392818e,DE:42:56:FC:33:55,7210f79d-9ddf-446c-a471-9160a847170a
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4380,65872,4121,210892,259,1198,0d21e4f3-b69f-43cc-b5a7-cf8792e7104a,92:AB:C8:1F:F0:85,370c614c-3955-4f76-a093-e6662442b5a1
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4006,39382,4488,67052,482,1198,de3106ba-bd8b-476b-87bf-dd4e1cd64867,02:34:74:E9:F1:75,3455f3ae-2d23-4982-8e08-ab798e516db5
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4380,400790,4349,218914,31,1198,8451a573-8043-4dc2-ae03-76151e797bfa,2A:A4:FA:AA:43:A1,885cb9da-0773-4526-9742-2389ae6e5c4b
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4148,75932,4972,329560,824,1198,7c520b80-6ab3-4a88-b5e3-cb7113671240,46:6D:F4:FF:B0:93,74dc92ed-b44b-48b4-8c20-7d5833c81289
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4212,106078,4383,109966,171,1198,7f995b2b-411c-4906-ae0a-a51421d95c45,AE:4F:42:3C:EE:09,80e779d8-ecea-4492-a7bc-53a4e7f3557c
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4045,116276,4468,304688,423,1198,f90872b8-a10d-4686-921e-2a340cfca818,16:DE:44:58:29:0F,63752132-965e-43ee-8832-1020993774ba
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4188,39816,4269,60762,81,1198,8536a2a3-f503-4c59-bb30-792b351b290d,7E:58:F8:A2:24:DA,14c53f3a-774c-4975-b783-704106f74103
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4083,81570,4476,77568,393,1198,0af70e95-4d5d-4b99-a8a3-f60eb8962896,8A:E4:AD:6A:F7:6F,c3fbc182-a6d2-47d3-a68d-8badafd84158
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4163,53592,4708,44978,545,1198,780fa404-52ff-4d40-a229-40f2874ed864,06:4B:1C:F8:CA:FA,7b74d15e-0e66-4bac-9f6f-ff330dc15ac7
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4138,80788,4432,79270,294,1198,b46f0c73-87a4-4135-bee9-45bd8da95009,9E:E1:2C:A6:2E:C8,28def089-e81e-4d2d-8817-a0e7603ff758
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4335,73846,4532,101108,197,1198,7137729a-cc6f-47c6-9d92-9eae5637f283,EA:91:6C:33:7D:11,03262018-3248-462c-a63e-da575e531d5e
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4486,410098,5596,364382,1110,1198,6b750d57-f8cb-47ac-8996-9bdffc01eaa2,1E:03:41:77:F2:EA,f73a5683-1334-4459-99ed-235f8dd133ce
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,3974,51946,4690,100824,716,1198,0fe56b07-508f-42ab-867a-cd9c6f7bca09,7A:F8:1D:E7:C6:A9,54713cc8-7ec0-4d6e-90f7-752b99d40b34
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4402,416944,5218,113826,816,1198,cc0e0756-7a32-4a54-b9b3-ec14feb607b6,26:E7:4A:62:46:72,f4eeb8c3-b6aa-4bf3-adeb-a10e87c59b6b
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4294,130292,5224,85570,930,1198,ef466466-4253-4e8e-9d9c-53c4ebc9f9e4,36:3A:60:14:BE:F5,8dc405f3-522f-4590-a6cd-9e72b9fb753d
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,11207,7987676,4836,86058,6371,1198,08723655-8bcb-4554-96b8-056fed2c4b11,46:56:72:CD:EC:2E,f20f60e9-6ece-42ba-942d-91109eba2908
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4086,44750,5257,374680,1171,1198,3968c02a-6eee-4574-97b1-c214f3841ec9,B6:F2:76:69:84:B8,72e4f2bc-a9a8-4a7a-b8db-e97a647548d6
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4139,39898,5167,84304,1028,1198,28b1b5b3-65cf-4da3-a63b-2567608f4142,1E:0E:A7:64:10:0B,8f917352-c2f2-41fd-8538-d449ecfc357e
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4416,197490,4945,64166,529,1198,373e1c94-a670-4fb3-ad09-c3c8a1df83fd,A2:4A:4C:76:7F:31,e4760980-275d-4a02-9533-f1c87d5a30dd
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4220,54774,5899,1161742,1679,1198,cf979a19-5038-4c78-9a93-49114d646566,16:23:83:B9:F1:5A,0484faf2-1f1b-43b5-9738-54c204f7e875
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4217,37680,4744,80586,527,1198,a7b13545-b60c-4e5c-b6d9-a83a26342fec,96:B6:4D:DF:9B:B3,e42e7758-0775-4819-9258-89529b815698
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4631,297632,4358,40422,273,1198,d890d40d-5161-43b1-b2e7-d6216ac9ab3f,22:DB:29:96:E7:22,bbf9b42c-7f94-4269-b4aa-d4cb99d48330
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4287,43376,5029,118320,742,1198,a0ab7ec4-74e5-47b1-af0d-30c0b7e83596,A2:E3:8F:71:FB:8C,9ad536f4-5e31-4cd8-8c88-03d33d0321fd
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4181,57712,5999,525344,1818,1198,7b70bd32-7ee2-4743-aa9e-731d2e3fc61a,26:65:0F:2F:F6:E1,c2b75b6f-62a7-456f-ab69-fa09c7cd0921
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4110,51266,4786,92546,676,1198,d9721d01-e4ea-4a81-b137-270ec30f8f75,16:28:F7:27:B2:98,273bd2d9-bfc7-4301-a99f-050673a2969b
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4219,83734,5364,87022,1145,1198,1dac32cf-ba98-434e-90bf-2892d1767e52,02:7F:3A:C5:7B:BF,fc2acc74-7f99-4215-8e6f-fc6a74365342
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4364,61084,4262,67130,102,1198,0ea4439f-1e8b-4957-9faa-f30f99de45e5,B6:C7:4C:6E:49:5A,6ab12538-e032-43aa-8703-051a39291475
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4276,80102,4168,120564,108,1198,9deb690b-b7dd-488b-bbc3-ed7fa1a0db1b,1A:37:BB:26:A3:82,d0da4b32-e0e9-42ab-b7fc-f32f8fa1618f
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4083,61710,4846,468710,763,1198,5d386a9a-5e7e-45fe-a0be-c02e9327bb5b,C2:8D:E7:B6:93:5A,db89edf0-f162-4d42-920d-d314ee6ae600
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4654,416234,4405,69812,249,1198,3a4e8c35-6085-4f16-8f79-0031837cba65,06:E6:9A:33:43:F6,818cfb12-f590-4ea4-9a20-acc18cec0992
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4460,335926,5372,279686,912,1198,baf5d5d5-9a01-4519-9a95-7d0fdaa8f077,2A:5B:BD:26:BA:B0,9d079cd1-5dda-49f2-bf8c-51e45d21cf75
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4218,54146,6186,1936136,1968,1198,2c379666-c152-4b82-970b-ea1c78b74c9a,F6:28:F3:C6:F8:6D,4b37d3d7-325b-4045-ae8f-6713264791c0
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4098,39952,4890,132056,792,1198,a90ee7e5-a492-4fb6-9d0b-8f5eca1f46a5,2A:17:13:E1:D0:AB,e97f8144-6d0b-4699-a6cf-62bc377a0005
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4180,48570,5896,373448,1716,1198,d95c988e-6ca3-4c98-ad56-63841e266eed,AA:6B:FC:26:3C:FE,265f9869-a3cd-4b47-83b2-8d878ec38cdb
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4245,80910,4486,82090,241,1198,c0abca6e-5832-47e0-84b2-6ff20a3a3b7f,C2:A8:EC:CD:B0:D7,8d42dcd3-b08b-4e10-ba59-15181663f0d3
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4199,102352,4951,54978,752,1198,7ec42683-b537-449c-bd06-1d67887f9049,B6:B6:09:CA:EA:A6,91ebc252-2b7a-42d9-a941-b14ccd614fa5
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4260,87112,5222,453044,962,1198,edcd9d17-669d-4532-9abe-4d6e283a5412,52:14:76:C4:B6:0F,80c396fc-2abb-4067-820b-7dbbb22544ec
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4329,90790,5222,86768,893,1198,32cf11c2-8262-4070-af19-f76b886346eb,FE:84:69:9D:90:77,078e2006-5ddf-41f6-b286-6561f6f47b6b
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,3986,39362,5956,190886,1970,1198,39ea0179-2b56-4708-a7d9-6f42442f8463,DE:4B:3C:99:8B:F8,17c786f9-70b8-41cf-bd1a-712ae0436977
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4501,358664,4381,82584,120,1198,04479218-ccdc-4394-a27a-3fa0c2abf9d0,BA:B0:10:A2:4B:A9,08eebd4b-5042-42b5-b8eb-3cfeea602fa9
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,3931,85228,4645,306268,714,1198,88c75088-3540-4ebf-b207-eeac97dd3f6b,A2:53:57:4F:AB:92,0344b186-e6ac-4c61-842b-62122baada20
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4180,141166,4319,81698,139,1198,8145e90f-058c-458a-9c44-02e1f56c7ec3,BA:93:CB:3E:4E:43,25260b8b-be5f-4a23-9148-1c43092050a0
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4230,59600,5688,148076,1458,1198,97703ad8-846d-4ce6-a63a-660ffa205cdb,52:06:9E:A2:8D:A1,a397877d-4dd3-4801-ae73-f8f99396f4ed
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4261,71212,5536,109022,1275,1198,a9b5cf12-9d7c-4c80-955d-1581a89243c7,BA:41:7A:53:2F:9C,17ed0fdb-2925-4928-8aab-cc438e76624e
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4419,142764,3996,74562,423,1198,c3da6ba9-1b09-48fd-a447-38776ebe4563,8E:C9:02:7A:04:F2,ca10d69f-e886-4d51-a036-64ff18a280ed
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4036,61028,6340,185162,2304,1198,b91d536b-e7d3-4dca-b782-c49a5c02bf8c,8A:8B:37:5F:23:5B,93e7c846-722e-4af9-a6a3-6a5eaf4d23b5
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4555,52582,6311,402806,1756,1198,8f2edd3f-f343-425c-8ce0-52425b136002,02:D2:F1:4E:8A:2B,fe8798c9-1fa6-4cb3-b801-3a79ac55c545
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4261,79670,6365,157498,2104,1198,a849303b-d062-46ba-af8b-5a01af9a656f,EE:13:C2:29:90:D7,7cbd99f1-3908-4726-a8a7-4a540869944a
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4433,86200,4741,108904,308,1198,411c729e-09ab-4ec7-a7ee-f44f98d0b80d,D6:D8:3D:D4:74:BF,7757f14f-db47-49b7-926c-6d26ace3f134
sampler,2019-12-09 04:22:27,2019-12-09 04:22:42,4409,84446,5837,139850,1428,1198,70f737a5-1caf-4bba-8c65-61952c985784,2A:C0:67:B3:CD:F7,194749d9-58a7-4e33-8fe4-ed80f4935916
