Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 08:47:19,2020-02-13 08:47:34,4048,127730,8651,3685672,4603,1198,f7f209da-7580-454b-ae20-425a9ba20996,26:45:4B:E0:EA:16,45300fda-c863-4e77-8a7c-0bef4059e0e9
sampler,2020-02-13 08:47:19,2020-02-13 08:47:34,4367,70952,5122,104024,755,1198,56582eab-ed1e-4ee8-ab11-a255a94d08f9,32:A4:45:3A:C9:8D,70b9c3d3-886b-4b92-8444-f8201b3087ed
sampler,2020-02-13 08:47:19,2020-02-13 08:47:34,4173,125250,5334,419628,1161,1198,a07f61fb-b31b-49cd-b85c-7c1c592d2e34,AA:81:D3:1C:A2:84,7561476d-5569-4169-ba25-c8d7fad81c2b
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4244,83910,5065,359374,821,1198,7453ccaa-e6a6-44e0-940d-298eb1326c03,F6:9E:71:E7:24:9A,1ff4f501-190a-4f45-94ed-833ded90dd8d
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4250,49088,4024,39950,226,1198,4db58803-1fe5-4215-8a12-173df31affa7,86:C8:22:86:DE:1B,4fd5f5b1-98d0-40f7-8dad-d956603917b8
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4507,70506,4953,65600,446,1198,da60a379-6b99-41ef-8aa8-ea695aebff9b,4A:D1:0A:5A:FF:77,baa5917d-4241-453e-84f9-e77922e21b4e
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,3943,59508,3949,42660,6,1198,96d212e3-8788-4750-9d99-2b2db692afba,92:80:96:24:40:32,e6c1ff0b-f05c-4f8e-be00-6027c1ee53c9
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4312,126954,4001,55050,311,1198,e6255ecd-f956-461c-a5fb-4707db6ff741,32:69:00:B1:02:68,53e38a64-26bc-42da-98cb-a963955e3064
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4572,121176,4532,57788,40,1198,e8fddd3b-3f7b-4ce5-81f5-af86ac8dc452,FA:76:BA:DE:B8:4D,bd8250ed-73be-48fd-a16c-b5138a78f055
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4186,43340,5139,89292,953,1198,8a220e6b-2054-4aa0-bb32-85795694ad7a,86:B4:8D:0E:BD:55,35ea3c4c-4f66-48e6-8b21-149918cbb12d
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4387,88152,4995,107216,608,1198,1b42dc85-ef3c-4415-9d71-6f6885f1c551,7A:E7:21:1B:D3:8F,335e8ec7-e975-41a2-89a2-2d1a3e6749c0
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4189,54508,4102,38572,87,1198,6dfd24c2-ffac-470a-b9e8-7381b17b2ef1,32:C6:7F:3E:AB:CA,ca222c1d-0164-4fc7-91ac-00e6d91fdc51
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4173,59068,5449,53270,1276,1198,d14c9adb-0007-4ed8-9831-a7fe893b823f,42:9E:92:C1:71:C5,2d88b95c-8c10-4c49-be97-d6a50da0d38b
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,3978,81720,4859,62844,881,1198,e7bac223-80d5-455b-92a7-0913fb650a6b,B6:02:02:57:DC:50,0cc6d2f4-63a5-420b-9d0f-1aa6f4fa5555
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4312,119550,4538,54974,226,1198,0acb0757-f5e3-41b1-891b-183c1ebe874d,9A:2A:7C:88:80:2B,6661076d-7fcd-428a-a0e8-8075aa223ab3
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4129,44514,5061,301434,932,1198,9ca559f6-89d0-42c3-b144-a450e7ee02c7,86:55:FE:3C:6B:CE,9076d781-9ad1-4851-bd99-bc77f04a3216
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,3625,50856,6188,503044,2563,1198,5c05617d-feae-4d34-b2a1-b9073986b405,A6:AE:99:D5:0C:5D,f89fb2a4-d7fc-406f-87f3-56b6fce755b9
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4175,325148,5095,99720,920,1198,fe236a20-6224-401f-bcf1-87a686e14082,6A:62:27:A9:C3:AA,a6c43353-d213-48ae-8e7d-6674f02bd4bd
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4102,79294,5027,103340,925,1198,bfe9cf77-92dd-4eae-8d44-30273d7f95eb,62:62:28:3F:5C:00,bc1b35c0-c186-4dc1-b280-f116bdbf2496
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4472,359600,5688,400662,1216,1198,22ecd52b-e6d4-4afe-ba5e-748ac7cf4a42,2E:EB:3C:37:09:E3,fdc81fad-74cc-448f-a260-3c2f25f5fd9c
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4760,97686,9147,2052134,4387,1198,c89c9aa4-e14c-4b88-b4e0-36acaf256150,BA:06:80:82:FA:B7,13d6ce21-28e2-4a7b-98d4-3f7193296d1d
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4398,55286,5134,71136,736,1198,30a7fa2e-7e2e-4373-a858-414f2b636c0d,96:55:BE:D8:CC:7C,e879c3ca-8cd8-4e2e-9e37-0c31b852ff3e
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4564,103860,5377,155702,813,1198,79f18e59-681b-4161-95dd-c467c4f15e9a,82:03:74:CD:42:DD,323b50aa-3f27-4c70-9180-ed7071e1bb8f
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4448,86284,5272,81470,824,1198,a7fec3ff-03e4-457e-8cd3-e7d024c35ceb,3A:A5:E0:B0:92:BA,dae9ccbd-66ab-4abb-a9d0-d614e4009e7e
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4242,146088,6242,83416,2000,1198,7b35a588-4f42-4c0a-a0f3-11babfb37e9e,D6:7C:B0:43:5C:38,5138fe31-6c28-4cc8-a1a9-a7836cca862a
sampler,2020-02-13 08:47:20,2020-02-13 08:47:35,4424,230288,6307,351040,1883,1198,33713a0b-59b8-4fb9-b227-4b1d78fc12d7,72:CF:0D:9A:3B:43,f868431f-c6cf-43d0-88c5-91ef7b324fdc
sampler,2020-02-13 08:47:20,2020-02-13 08:47:36,4330,75290,4644,466620,314,1198,d5ad5438-cac3-417f-86f9-623cfc4e12a1,36:11:C7:28:5F:C4,b1669487-8bd0-4273-8244-faa5d6a34663
sampler,2020-02-13 08:47:20,2020-02-13 08:47:36,4325,117696,4055,83660,270,1198,40273e1f-f44c-4830-b431-46468528d071,D2:94:BB:9C:62:84,bf68d98f-3915-4a36-9419-d02bb633b9b3
sampler,2020-02-13 08:47:20,2020-02-13 08:47:36,4167,52278,6179,150100,2012,1198,18614615-64ca-4799-86cb-00795a5be61a,7A:15:6E:88:67:63,6b92eb0d-a0f6-491a-814d-464ae181dc12
sampler,2020-02-13 08:47:20,2020-02-13 08:47:36,4749,407776,5065,55052,316,1198,79623046-49d7-4716-83c5-2157af12a3ca,5A:05:F2:19:62:F4,990d4777-e823-4930-b1ef-616c6a459d67
sampler,2020-02-13 08:47:21,2020-02-13 08:47:36,4324,72254,4355,74244,31,1198,a90a363b-4829-4a4d-b840-133f29e9f872,C6:B2:D9:B0:7C:FD,ce366944-e3ad-4ebf-b169-6d026d9ee968
