Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-10 02:39:51,2019-12-10 02:40:06,3926,52208,5894,2116970,1968,1198,b7459bb2-fbf1-4a04-9a48-0972b001c0db,7A:2C:41:BB:0E:EA,be03582c-502f-42be-835e-41fc3d42cd2c
sampler,2019-12-10 02:39:51,2019-12-10 02:40:06,4067,40830,4051,52576,16,1198,0b9ad25c-d982-4e58-b79d-9a4c89ed60f4,D2:47:5A:B6:AF:6F,fbf7a7be-5ded-4eed-a38b-e416540d6edf
sampler,2019-12-10 02:39:51,2019-12-10 02:40:06,3951,85872,4046,116862,95,1198,6d1e9927-cb68-46df-98af-75e02a90e5ad,02:F4:B9:51:E4:AB,d1bf0d82-4e92-4cbe-a98c-5d5acd8465f0
sampler,2019-12-10 02:39:51,2019-12-10 02:40:06,4269,81678,4215,50578,54,1198,d4d5a70b-3fe2-4ef2-a00c-ebc944cbb4a0,2E:80:1F:D7:7D:63,1c0bb955-fe11-4245-87dc-1a7307c9dc11
sampler,2019-12-10 02:39:51,2019-12-10 02:40:06,4044,60958,3989,118206,55,1198,447393c8-16d3-4532-9236-324af4a551c2,06:35:31:FA:0B:42,028c3dd0-0d21-4457-9a27-0133110f7748
sampler,2019-12-10 02:39:51,2019-12-10 02:40:06,4156,97826,4736,81674,580,1198,82cafcc6-d1f5-4bc8-8198-c81fbd9ad42a,12:F1:F2:D0:10:E9,34caaac5-a889-4a98-824f-f91615207c89
sampler,2019-12-10 02:39:51,2019-12-10 02:40:06,4339,53572,4811,78820,472,1198,6663c04f-9d65-4d0d-aa1a-d1b74f672ab9,CE:6E:50:DB:17:14,dc4e0da8-a092-4497-a663-786064cdf463
sampler,2019-12-10 02:39:51,2019-12-10 02:40:06,4051,50038,4124,60548,73,1198,933ca991-814e-443b-af9f-4e4d1e12974e,EE:8E:6B:69:D8:54,347ea5ca-a0b2-4038-ae52-0ee50859a902
sampler,2019-12-10 02:39:51,2019-12-10 02:40:06,3994,41736,4395,56346,401,1198,9e94bd06-dbd9-4d5f-b3a7-43d82d45eae5,EA:75:CD:97:0C:28,a2b65b58-d43f-4c25-832e-c9086e803f59
sampler,2019-12-10 02:39:51,2019-12-10 02:40:06,4022,54924,4070,73876,48,1198,fd98ef0d-273c-4bc5-a973-1860fed5bd88,1E:E0:91:B3:C6:44,e9e2847b-a2b4-4e3f-9b45-61f2b22fb0d2
