Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3896,69222,4071,90882,175,1198,98362597-fa00-420f-84b3-f38964b92272,E6:54:87:D8:B0:86,795a50bd-ac4d-416b-b164-b1d340492bc6
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3545,34022,3674,75170,129,1198,744055e6-63a0-4845-b3a9-2d998bdfe41b,AE:F2:D4:13:C2:36,5211ecad-826a-4a16-95a2-d648d28442d0
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3841,44934,3816,57918,25,1198,b3f0b7bc-7c60-4b6f-aff9-8ab794a31868,32:C4:5D:38:C2:C6,5fa0275b-2a83-40d7-9c5c-05e49f1e8162
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3946,460742,3616,55172,330,1198,868fbfd2-2ed0-4f06-9e9d-6d76c3f965ae,06:8D:3A:E7:7E:86,bcb6140c-100a-4e0f-a8bf-47bc97629810
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3780,382058,3880,98342,100,1198,8794e2c9-f0d4-49e5-9a17-956e29018223,72:D7:DB:BE:E4:AC,0320dc33-e4b9-487d-9668-bc14ce4f1655
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3808,38746,3799,42348,9,1198,ad3c5786-e6bd-4288-a813-df00bf9d7513,FE:FE:9C:8D:E4:2E,23e7f635-50f1-4bf1-bad8-badffaa926d7
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,4160,40658,4212,87362,52,1198,7b873e4a-a073-4f2e-ac44-0f0db7a1d224,7A:B3:AB:61:7C:CC,5d70cebe-59f7-48b3-84b7-ea0c7c08ef03
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3514,38600,3643,72196,129,1198,585810ef-6575-4490-a098-e974c2c34b0a,4E:D8:F7:8A:AE:51,eca42e5b-e2a5-4da7-9a3e-3795aece3f48
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3986,51448,4032,106020,46,1198,43f599e4-a8ce-4982-8a49-31e217411adb,2E:A2:E4:64:CC:DF,3be54a3c-9a1f-44a2-9039-00bbc1d3dd74
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,4260,522574,3715,35792,545,1198,d450bf94-2fc9-484d-b2c6-21f1b0272500,E6:15:2A:54:3E:F5,9296742c-2a78-421e-81b5-aafe531e54f0
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3725,61352,3756,44868,31,1198,64e39e8e-7c88-46ed-9612-36424542f602,6A:45:62:F9:1C:68,bfe8b55d-3313-45e0-8e24-e7e7b162548b
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3531,83062,3498,67444,33,1198,7e64311a-deff-41cf-9cf3-9de826e9f4db,CE:6C:AB:CE:A5:A5,c3adff2d-46d3-4421-b1b0-66531c573c13
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3593,34944,3975,380892,382,1198,fc290072-bb90-40e5-9c1d-6ef3f982492d,FA:DB:10:02:0A:0F,f3aad1c1-1b4e-411d-8fe2-2c2bf0baa9bf
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3870,56922,3804,81906,66,1198,a138ea9c-989c-4860-a102-d2a342db7212,3E:C2:4B:C6:82:9E,5d4d69e2-18be-4658-ad69-9c3ed7284069
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3755,37172,3663,27086,92,1198,cb0f4ef8-855b-4704-8ac7-27f7a1032b85,8E:0B:A1:00:AF:D4,f070ea3a-d44e-4284-9051-9e511c3954bf
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3713,96264,3625,57494,88,1198,0be7ea96-1102-41d0-b978-8b4443c54d2a,DA:83:B1:90:93:C1,7dc14d06-67e2-45df-a14e-c1f240c28eae
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,4278,192694,4037,94492,241,1198,78e0e3eb-b5f9-4b19-9f46-76783b27eabc,7A:0E:D8:E9:87:9E,c7d2b818-8d3c-4d04-9373-f93730fda5ec
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3615,25806,3842,58974,227,1198,52f34252-c277-4de5-b443-449f16b2a0c3,C2:08:8A:24:D9:ED,0f933bfe-565f-4b14-a89c-426f779bc21b
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3753,39736,3716,33344,37,1198,60d43719-7ff5-4c41-8f15-298e08cd0d27,B2:DC:78:83:7D:CB,644b3f84-7d29-4d4b-b55a-12549b34c281
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3796,44674,3738,40462,58,1198,99eb212f-e77c-4b29-84b9-626447dd2c55,F6:62:CD:A9:F9:C3,1ae0c916-5f41-44cd-93f8-0c28e68abf6c
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,4256,52198,4311,88956,55,1198,1811ee12-3339-44a4-88ca-9866135af9fe,8E:06:29:FF:3C:54,934764f7-999c-4823-965b-8fb1ebe8318d
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3829,89676,3661,36134,168,1198,02576c1c-bf9b-4310-89bf-21ca53252412,DE:4E:CA:67:6D:E3,1371f24b-57cf-4e37-86a7-1e11e35ba8be
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3939,144596,4011,298240,72,1198,ea101bf2-5162-4866-b072-0263a0f388f6,02:A1:C4:72:FA:40,7605bc6b-0c7b-46d9-ac01-30a3ccc02476
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,4173,321132,3789,38340,384,1198,0579aad5-5e07-45d5-8620-94553a354ba4,0A:8B:57:D2:F4:5D,2dcb51c7-ba32-47ce-9e9f-32703197feb4
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3955,60406,4009,47486,54,1198,b85407b8-ffd7-49e1-aefc-04c6bcbc7cbf,62:43:14:DF:81:7A,046a2406-c3b6-4bf8-9415-81ad14e0e2c7
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,3589,55168,3567,41300,22,1198,576d2de6-2c97-4c7a-bba2-bab0906e510d,AA:2A:60:FF:A4:CE,6e22c868-4b13-4626-86f1-f2b2e2a0249b
sampler,2019-12-10 02:37:35,2019-12-10 02:37:50,4577,555248,3692,36022,885,1198,1bbb43fe-06da-4bd6-8288-2bd68e2e8ea0,3A:86:7E:E1:92:4D,9ea75a0c-17b2-4e78-b66e-1f46e805c8df
