Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,4025,93224,4174,71546,149,1198,ce2e97ff-ff0a-43da-8057-2545f6fc3911,4A:AA:4E:1A:97:0E,ca449331-2662-468a-b989-54274f1fa176
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,3728,66050,3907,77842,179,1198,cf6dab4e-0cae-4391-ba33-db3526c4210b,D6:9F:1C:12:4B:92,e6381a1a-86b6-4582-9b23-df723143354d
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,4421,331212,4024,80940,397,1198,d87eb4b1-9df2-4646-9c65-2b58e9404956,96:1B:FF:5B:C8:15,f357bb64-28e8-4d60-9033-915c71fc6345
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,4142,293160,3770,37912,372,1198,536d04ac-82bc-4553-8fc1-67c12a977a3d,7A:3C:E6:1E:DE:D4,78a547fb-5642-41d9-bc50-e5a2843bf610
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,3781,53940,3807,48336,26,1198,4d3e71f1-b43c-4be6-8d01-37082ecbe0f4,56:BD:E7:D8:4F:60,64903500-fc58-4cfc-887c-888dcb6de306
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,4113,84230,4216,401714,103,1198,d86ffcdf-5113-4a8c-8726-db471bbc0aff,C2:94:DA:C6:72:87,4ecbebb4-aa3f-43f4-9f77-78e462c3d57c
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,3850,53880,3761,78660,89,1198,468e56fe-2b4f-4062-93d3-f6cb6708ac10,C2:03:A8:D9:4B:A8,8eafeaa2-7708-4219-bc57-2ed0fc914b46
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,3690,35968,3894,69586,204,1198,241a35e7-ff57-4950-abaa-ad1ac4db64c9,E2:75:68:6A:28:9E,b33656ae-c778-4306-b764-a4138b92435c
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,4547,400078,4180,99122,367,1198,7ce408ad-5c5d-4b92-9195-c005e55070d7,0E:15:5E:5D:F5:C8,c4de169f-7664-4f51-a2cb-473f269e043c
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,4122,237820,4478,49562,356,1198,887897d2-b1e8-4a53-a545-8155f00815a0,12:81:BB:9D:11:86,d0a99b5f-392b-4728-833e-ea2f8fcfdaf1
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,4113,63072,4174,78516,61,1198,98754a79-c9e1-43f4-8d20-8c14d41ebc50,7A:07:9A:E6:17:66,ff6f8805-dfa9-44c6-8896-f80764093f95
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,3992,53638,3878,45038,114,1198,2f10edb1-8e25-422b-9baf-9b73df43e335,C6:37:CC:9D:B3:E3,7e927d1d-db6d-43f6-ba86-3dcad28b3873
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,3756,82438,3802,53406,46,1198,5e78ce4c-ffe3-45fe-a7b0-db149a4c3128,62:6C:98:98:27:58,1151838d-2b6a-447b-a0b9-6ae9bc5aa69c
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,3919,51432,3930,92556,11,1198,ae5d0a1e-3627-4ab8-8449-c0d56711f6e3,12:38:94:9C:0C:F4,0bcdd0da-16b8-4323-84d8-485579b953e5
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,4294,208318,4212,42428,82,1198,beab8fdb-a2b9-45b9-aaec-54ead1e6fd15,96:FC:6B:58:6E:96,8c6fa9f5-c632-4538-8ca8-d28ed25081d9
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,3978,139094,3921,95228,57,1198,e726dbbe-3111-49ff-b9cc-a5835f35418a,4A:B4:58:7A:B1:9C,9abfff6d-9d75-49d5-a9e4-d6594c570fd9
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,4241,73640,4112,45148,129,1198,1739d295-d07f-4859-96a6-c88b812636a8,EA:81:E6:15:8E:13,00830846-cbef-49c8-b528-82577f20b2fb
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,3794,37164,3953,40294,159,1198,58e1f827-345c-451d-a2a8-e1559f90e3b2,1A:81:F9:DC:BB:CA,c0b264fd-f0d6-4d22-b0a4-cb3741ad8d6d
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,4252,300768,4164,98962,88,1198,00f8583d-3395-47a7-bce5-ffaa1b081434,26:E0:F7:D6:17:E8,831f8250-eaab-4d48-9d19-717daac6b24b
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,3742,36532,3887,61008,145,1198,0ed176e1-138c-4bb0-9632-7a3f62803603,12:F8:83:0D:00:A5,9b7602f6-f8b5-42ec-b58d-7af9e5cfafdb
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,3893,84808,3674,42876,219,1198,08bc6038-f8b2-4d9d-a73a-b774d1087d16,D2:C1:C6:3D:EA:87,573211d3-e58a-45fb-9dab-4e17c9e748a8
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,3675,28468,3820,50302,145,1198,71a7daf5-564c-4664-8536-6dba863fc16a,62:2D:C9:17:A0:D6,f41c447b-8e40-4dc4-ae5e-fbba75a2daf4
sampler,2019-12-08 23:22:33,2019-12-08 23:22:48,3741,45708,4109,103728,368,1198,4afb4a72-a152-44c6-9671-fc986f6d035a,EA:9C:A3:C8:12:F9,b20a2564-792a-49c3-bbbd-c87072fa2a74
