MAC Addr,IP,Duration
f9:fa:b3:23:b9:88,localhost,21.756340265274048
e3:61:9a:1b:da:90,localhost,21.85882019996643
17:da:02:2a:9f:e5,localhost,21.83912444114685
d7:78:c4:c5:26:1f,localhost,29.21900773048401
ed:0c:0e:05:0a:f4,localhost,25.654940128326416
45:27:f3:0e:d4:cf,localhost,25.59585428237915
41:a5:0e:61:55:4a,localhost,25.427016019821167
2f:18:61:bd:da:e3,localhost,29.54713487625122
8d:e4:f4:ae:24:90,localhost,29.632416009902954
3d:70:b1:a7:b4:19,localhost,28.8076810836792
9f:2a:c3:0b:79:26,localhost,29.182469367980957
df:3d:1e:c4:6f:4b,localhost,28.629637479782104
e3:84:94:62:91:14,localhost,28.243114471435547
a9:d7:84:45:cc:72,localhost,31.258342504501343
ad:c9:ac:a1:55:49,localhost,31.742807149887085
cb:83:03:91:54:52,localhost,30.373168230056763
0f:14:da:12:76:44,localhost,30.814586877822876
3d:64:ab:70:cb:34,localhost,31.23049283027649
13:ad:37:9b:fb:27,localhost,31.973684549331665
f1:7b:7d:6a:72:7b,localhost,30.880048751831055
6d:4c:b0:af:b4:ed,localhost,31.0048348903656
8d:4f:88:9b:b2:f6,localhost,32.197558879852295
f5:5c:38:c1:89:c0,localhost,31.8183434009552
77:3f:5c:3f:d9:74,localhost,33.07428979873657
df:c1:ca:23:55:f8,localhost,33.192023038864136
35:23:95:98:ff:84,localhost,35.099098920822144
a3:a6:45:0c:82:54,localhost,33.74580216407776
57:be:b0:96:54:80,localhost,33.31750988960266
1f:02:9f:57:56:44,localhost,34.43944978713989
47:1a:f2:95:d9:5e,localhost,33.58685636520386
59:ac:aa:b1:a1:4e,localhost,32.591306924819946
73:cb:c7:9e:bd:54,localhost,33.2012619972229
a7:00:9e:e6:a0:42,localhost,33.65781021118164
cf:19:1c:76:07:76,localhost,33.94793486595154
71:f9:57:43:46:f5,localhost,34.80482530593872
53:2c:09:75:9c:50,localhost,33.10355877876282
8b:e1:96:8c:59:c2,localhost,34.8229660987854
91:7e:b8:4b:cd:f4,localhost,33.63423275947571
8f:a2:47:b5:bb:f2,localhost,35.13064241409302
9b:b7:d3:8a:a9:df,localhost,33.049981355667114
e9:71:8e:30:29:3a,localhost,35.47232127189636
33:85:57:d2:ee:20,localhost,35.49840521812439
33:5a:a2:43:a7:5d,localhost,36.47372102737427
51:70:38:6a:72:f8,localhost,35.62115669250488
bd:58:16:7f:70:83,localhost,36.35931849479675
0d:aa:b7:47:ee:bb,localhost,36.72730875015259
6f:cb:1a:2d:7b:a5,localhost,37.5140495300293
9f:dd:1b:ea:4a:3a,localhost,35.75738835334778
25:fb:62:89:ca:fc,localhost,35.68690729141235
19:40:1f:b7:e9:d9,localhost,36.71948790550232
33:58:04:86:93:45,localhost,36.18753623962402
85:34:aa:f7:2e:7e,localhost,37.43542265892029
6f:19:05:0d:53:ce,localhost,37.10024309158325
95:26:75:1b:40:46,localhost,37.950660943984985
85:72:d2:a9:42:80,localhost,37.11631631851196
7b:19:23:46:7e:e5,localhost,38.25366282463074
97:ce:af:b1:19:6f,localhost,36.19082260131836
73:b4:d7:dd:c2:56,localhost,37.01775765419006
3d:17:56:1e:06:9b,localhost,37.90306615829468
8f:46:89:a4:c3:de,localhost,35.7015175819397
3d:b1:ff:e3:02:d7,localhost,37.92786955833435
cb:0b:32:04:4c:39,localhost,35.68794536590576
9b:57:97:ef:8c:da,localhost,35.795207023620605
27:9a:ef:b7:b3:fb,localhost,38.96564960479736
ab:37:b6:1d:43:a0,localhost,38.09994149208069
77:e1:0d:2e:74:ba,localhost,37.630844593048096
1b:f0:40:42:10:0f,localhost,38.39285206794739
db:21:c4:40:89:e3,localhost,39.62606620788574
6b:44:7c:fe:4d:3e,localhost,35.118860721588135
99:6d:06:26:48:b2,localhost,39.11978459358215
85:8a:33:8c:65:f2,localhost,39.60558843612671
c3:6b:fb:59:0f:72,localhost,39.664780616760254
5b:c8:31:7a:f2:ef,localhost,37.6824095249176
e7:82:52:6f:24:a1,localhost,37.666194438934326
6b:6c:9d:15:23:60,localhost,39.155033111572266
03:ec:95:ff:b9:4a,localhost,39.65381479263306
97:1b:6f:98:4c:73,localhost,39.28324341773987
15:63:e5:08:98:60,localhost,38.04765462875366
23:55:aa:c7:84:d9,localhost,38.376450061798096
3f:6f:2c:b8:09:58,localhost,37.18471908569336
1d:d7:46:e3:cd:67,localhost,39.775492906570435
d1:3a:0e:be:5c:f6,localhost,40.88352584838867
27:29:c8:93:85:be,localhost,40.375824213027954
11:93:7c:f5:3f:8c,localhost,33.62053942680359
d7:47:16:56:2a:2e,localhost,34.33034682273865
7f:6f:54:52:d8:16,localhost,34.24535250663757
c7:38:6c:9f:1d:fd,localhost,40.54662013053894
7d:69:d5:68:49:6a,localhost,40.39342975616455
63:a6:5f:3d:f9:64,localhost,40.867639780044556
55:39:14:b2:aa:73,localhost,33.96348714828491
e3:3b:c4:06:a9:0a,localhost,41.27414536476135
0d:c1:63:b1:23:e6,localhost,40.9021360874176
8b:05:f2:fc:0f:5b,localhost,35.38201665878296
89:50:ed:1b:a1:1e,localhost,41.21067214012146
81:20:f6:42:cd:d3,localhost,40.30137896537781
19:23:44:3b:ed:80,localhost,41.02716946601868
09:07:09:c9:bd:70,localhost,41.97355628013611
a7:67:e6:61:70:d7,localhost,41.354116678237915
3d:2b:76:f1:74:6e,localhost,41.84908866882324
a7:4c:9e:19:29:32,localhost,40.793447732925415
0b:a5:d2:7f:52:23,localhost,41.50376772880554
a9:10:78:b1:a5:2a,localhost,41.618507385253906
d3:b7:60:90:87:4c,localhost,42.52226996421814
51:81:54:a7:35:22,localhost,41.83194613456726
e5:4b:fb:bd:53:ae,localhost,42.542290449142456
d5:7a:1c:12:fb:12,localhost,41.40006136894226
db:53:84:99:a4:be,localhost,42.01834416389465
3d:39:bb:ea:4c:da,localhost,41.098848819732666
4b:12:10:a9:fb:73,localhost,42.39825654029846
57:29:05:52:33:3c,localhost,40.08409905433655
d1:86:f3:77:c1:e9,localhost,40.97538352012634
11:55:7b:85:c3:da,localhost,42.13511300086975
b1:05:c5:29:25:23,localhost,41.88253688812256
a1:09:15:e6:01:33,localhost,35.428678035736084
c3:2e:f7:63:69:66,localhost,39.295822620391846
4f:20:6f:e1:cc:f2,localhost,43.06939148902893
c1:b8:69:68:8d:1b,localhost,41.6973078250885
f5:91:30:35:4c:0d,localhost,42.19370651245117
9b:a1:91:a6:93:b8,localhost,35.92693257331848
ef:4a:8f:70:39:a6,localhost,43.755136251449585
13:7b:35:a8:7b:ce,localhost,42.77415657043457
9b:2d:0a:9d:11:33,localhost,41.552494764328
1f:8b:61:52:7d:63,localhost,42.50879645347595
